time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370281503.64,2,1,0,2,1,6,1,0,0,25,1
1370281505.3,0,1,0,0,1,37,0,0,0,25,4
1370281506.75,15408,10958,0,16993,16206,657618,6184,15169,0,25,347496
1370281508.21,8198,7311,0,3476,6571,16031,2271,1514,0,0,60953
1370281509.81,2430,1271,0,5136,4244,13933,2945,2548,0,0,33401
1370281511.39,17782,16332,0,12183,6453,49981,2885,2787,0,0,70771
1370281512.83,5305,19716,53,7967,16347,21275,3786,5769,51,0,28053
1370281514.46,3003,6989,66,7410,3128,15629,4151,2559,53,0,41654
1370281516.05,1156,2307,75,2592,10352,9629,5620,4153,47,0,20491
1370281517.71,6734,5179,67,7115,7518,590740,2938,2730,37,0,121149
1370281519.28,4821,26521,35,723,6449,126557,675,746,38,0,51171
1370281520.93,4644,4203,23,1377,6309,80505,590,505,41,0,23377
1370281522.39,2121,3976,38,6471,6367,16847,1657,3255,54,0,8948
1370281523.79,12058,2975,53,2137,2857,16882,1221,2193,87,0,7729
1370281525.21,4750,1711,84,4712,16427,7087,3360,1140,70,0,21937
1370281526.67,10338,5132,97,5296,10007,12373,8890,3493,78,0,18232
1370281528.08,10073,11459,81,3274,4408,13400,1824,2538,93,0,15316
1370281529.49,12400,1405,87,4601,1716,8449,2532,1114,84,0,15993
1370281531.1,6965,4416,75,3480,3523,3686,3538,2780,90,0,44961
1370281532.71,5665,2230,77,3148,2512,12770,3521,2712,91,0,10427
1370281534.28,6511,9189,84,4735,6069,40944,3687,1700,90,0,9179
1370281536.14,2516,5519,78,4554,12789,43906,7729,4142,69,0,48274
1370281537.57,2636,7708,97,26724,6428,77693,9943,20976,69,0,12956
1370281539.19,14226,1688,100,16001,19742,6108,29730,12608,61,0,22157
1370281540.78,24593,26857,78,5454,6660,1293121,12669,12376,56,0,81493
1370281542.33,34191,172483,69,60452,106130,410219,53761,78278,64,0,743285
1370281543.86,48802,62857,56,37165,12457,957891,51777,18962,81,0,65997
1370281545.46,1612,2569,48,2004,3447,150355,2148,2940,83,0,9869
1370281547.05,1961,4840,56,2323,11275,24539,1773,2280,74,0,16310
1370281548.59,1715,8879,60,4467,6865,33187,1771,2082,74,0,34666
1370281549.95,7028,10738,56,5653,4267,374637,3914,2964,66,0,21754
1370281551.4,12948,25631,56,14248,15736,1353243,20067,7556,66,26,63466
1370281552.99,3391,3181,60,3802,2401,529745,1055,998,69,0,9752
1370281554.39,8698,12458,56,4427,3906,170083,947,1042,78,0,38158
1370281555.85,14138,37433,57,27596,50125,1342321,12768,7424,75,0,191225
1370281557.56,10470,1053,53,1932,865,509666,1201,734,77,0,14259
1370281557.9,21707,35747,44,17222,34003,1642847,29156,12244,80,0,212637
1370281559.72,9213,6799,48,6189,4092,149056,2948,2440,77,0,62328
1370281561.22,37735,59512,34,6868,21793,1532592,4637,3308,74,0,129634
1370281562.85,63420,12910,20,5965,21837,718643,2458,851,54,0,192643
1370281564.27,46138,65146,11,9608,30929,758152,2476,2016,60,0,291853
1370281565.7,25252,13343,4,6126,12729,727186,2110,1174,63,0,110151
1370281567.18,29837,21057,14,14547,20587,885941,20574,3490,56,0,98184
1370281568.83,3724,2931,24,1316,2352,173954,1070,227,57,0,12542
1370281570.41,5900,22470,34,5057,2660,230740,321,232,61,0,51822
1370281572.18,5958,26246,40,15338,24483,890284,8998,3400,54,0,164182
1370281573.81,36612,105186,44,43026,28862,981229,8414,9585,63,0,112941
1370281575.45,7845,7123,40,3023,5609,552335,1202,1072,57,0,51933
1370281576.86,1255,11447,50,7855,6785,110666,3913,1878,51,0,35560
1370281578.44,15226,27232,48,5656,12402,1527992,5530,2558,67,0,42195
1370281579.86,14818,51139,48,15571,7797,179328,10204,5210,74,0,37112
1370281581.28,50585,41827,50,16238,6814,479591,6572,6120,80,0,170256
1370281582.66,63267,2067,41,18487,17431,1094094,11641,9607,80,0,255396
1370281584.24,16515,3475,41,12110,23468,553859,2759,2985,57,0,160895
1370281585.64,16911,9687,29,1454,5167,17328,2083,1861,61,0,9320
1370281587.0,5618,3493,37,4794,2756,10944,2520,4423,54,0,25111
1370281588.59,3920,9829,53,9173,6422,57462,6880,1745,64,0,10342
1370281590.22,10432,20051,48,6376,21863,134094,7054,3714,69,0,138385
1370281591.8,15372,16169,56,33748,7332,637362,11259,8054,41,0,282673
1370281593.22,13062,15699,51,6806,10442,43439,5104,5790,43,0,65568
1370281594.69,36526,146818,23,7522,12232,409573,5231,11672,44,0,279527
1370281596.47,36179,68356,37,6134,19700,395300,7504,5503,77,0,222545
1370281598.15,6435,788,24,3396,4669,456089,2283,2371,64,0,114870
1370281599.58,4217,11733,17,1166,4643,317300,1819,762,61,0,26503
1370281601.16,27425,8086,10,5420,6742,125815,3515,2755,50,0,48098
1370281602.62,3884,1077,20,1123,2587,94500,682,447,47,0,13740
1370281604.07,2124,12813,14,2156,7123,102276,405,684,53,0,128670
1370281605.66,12511,8728,20,2808,2327,30522,2037,1550,57,0,25550
1370281607.09,19319,35823,21,17370,7244,153590,9529,7423,48,0,192722
1370281608.55,16073,43738,24,16519,29032,1148186,3172,6170,50,0,128154
1370281610.18,6782,54551,53,34593,22074,1633512,18659,10220,69,0,36598
1370281611.78,3079,12442,61,5941,4909,1132885,1863,1106,66,0,21667
1370281613.34,68712,104207,57,67008,83827,849799,8021,7579,57,0,1232631
1370281614.77,1005,4187,54,2232,4895,186092,949,1015,50,0,26765
1370281616.36,3316,23384,35,4182,3935,97191,347,1030,38,0,101870
1370281617.82,1071,807,26,1131,1306,88315,508,195,20,0,19746
1370281619.2,11012,28541,34,18258,7181,2473684,3632,1096,27,0,111303
1370281620.63,23558,30678,29,11329,13714,1083067,5404,1808,35,0,184395
1370281622.24,6608,22506,24,2143,2325,1157410,1669,2835,38,0,87075
1370281623.77,60150,141851,27,27783,45228,705656,22497,51707,63,0,151266
1370281625.2,7511,10430,23,2347,1559,264644,1610,2082,74,0,24145
1370281626.79,7408,14121,17,3509,4157,590785,4133,3062,70,0,86329
