time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370329032.19,3642,1406,23,1664,1813,57022,1241,1369,30,0,16244
1370329033.5,7487,6185,16,6202,12466,71528,4164,5428,13,0,55826
1370329034.92,2730,22849,16,5910,13590,9076,3345,4008,37,0,11531
1370329036.5,2060,13988,20,4929,4161,508542,7546,2931,43,0,29411
1370329038.14,2862,6671,10,1352,2641,88711,901,940,51,0,24869
1370329039.54,1993,19310,13,4871,9421,7594,3738,1828,88,0,21065
1370329040.86,4028,1941,13,2116,2667,59838,1905,1771,70,0,9063
1370329042.27,8434,3260,4,4266,4423,83310,1132,1153,47,0,63000
1370329043.97,7920,23413,37,15960,8701,357711,4940,8954,69,0,11552
1370329045.28,8722,16523,54,15934,4928,30844,21361,11483,70,0,9927
1370329046.62,50025,22614,54,29960,16620,626842,21492,19613,67,0,124345
1370329048.0,6029,34899,48,8184,23183,716918,10897,11905,67,0,464209
1370329049.3,5066,12234,48,4492,4650,1137715,1316,753,67,26,56537
1370329050.88,190998,71491,48,167005,84761,2153206,38327,12115,67,26,545665
1370329052.41,124680,231174,44,191607,290274,1875382,55998,20756,53,0,460784
1370329053.96,39181,204506,44,330989,81714,736419,81542,23831,53,51,120195
1370329055.29,134175,9293,44,96769,19442,1204790,28160,29780,53,26,368645
1370329056.78,94952,98687,43,73498,6660,146569,13918,2286,56,0,44542
1370329058.37,15447,26733,43,26705,96514,431395,9881,3633,56,51,18771
1370329059.95,37462,12731,43,51255,25620,1613228,59477,42196,56,51,264148
1370329061.35,27628,33645,43,25231,14464,1442571,4592,6886,53,0,173976
1370329063.07,75037,21777,56,40002,20670,1123629,7878,3120,70,26,432755
1370329064.47,10306,5781,69,19668,31919,436320,4307,3449,69,0,25191
1370329065.84,29499,58198,56,18055,25764,2006858,6151,4281,43,0,375193
1370329067.4,5852,27666,35,4678,11281,2116873,2261,1639,38,0,201747
1370329068.98,5753,4668,35,10273,11501,769801,825,496,38,51,22950
1370329070.44,182779,57121,17,42137,164992,528006,40279,66953,17,0,1207912
1370329071.8,3044,19921,1,4629,3547,1248381,7448,1622,24,0,65303
1370329073.18,23997,9111,1,8538,15489,357224,6936,15478,17,0,221881
1370329074.75,53096,23429,10,48882,117414,1761143,52265,44973,13,0,503615
