time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370247430.63,88646,167863,0,156471,33093,667981,75041,34280,0,80,281343
1370247431.81,636591,637296,0,411426,594701,1441733,262671,306494,0,80,715763
1370247433.04,45892,76142,0,33481,12217,667656,38903,25348,0,80,203899
1370247434.24,9977,20861,0,25876,25717,70208,11793,7480,0,80,41836
1370247435.47,135258,212425,0,310333,90770,178660,79547,47269,0,200,415777
1370247436.66,104795,29537,0,49047,41725,827366,24257,20358,0,200,140458
1370247437.87,26874,55853,0,21536,10861,721692,7622,5813,0,200,81309
1370247439.08,17566,14185,0,4666,3171,766110,2221,1013,0,200,27120
1370247440.3,120528,141105,0,60139,41884,1049599,37096,6250,0,200,275855
1370247441.51,19458,21070,0,5748,7472,636998,7183,1568,0,200,102010
1370247442.72,17531,61864,0,55755,43977,817050,14682,11041,0,200,166486
1370247443.98,2921,63665,0,19274,21146,504375,8844,14976,0,200,57899
1370247445.19,260545,86148,0,388022,371252,2016813,116209,175621,0,200,332584
1370247446.42,29819,19607,0,84322,77387,415584,8826,12916,0,200,224486
1370247447.62,23410,7232,0,8591,4755,149354,5179,4248,0,200,34698
1370247448.83,16438,44976,0,47074,22065,372816,24941,15914,0,200,95997
1370247450.01,10093,33158,0,74768,11840,1356335,104749,80222,0,200,125251
1370247451.23,53804,23808,0,25123,21165,458795,11585,6361,0,25,32374
1370247452.42,34215,22068,0,50116,52031,483058,19414,15494,0,51,7323
1370247453.66,19497,113249,0,32227,48199,187389,49343,13253,0,25,460035
1370247454.82,211147,58728,0,91248,213011,914258,84879,24463,0,51,98040
1370247456.06,65219,41347,0,32752,43029,1556204,9835,7522,0,51,127258
1370247457.22,4912,11217,0,10014,27768,1230490,1021,517,0,25,32164
1370247458.48,1090,5549,0,3650,4271,790484,1919,1676,0,0,26109
1370247459.65,1357,2806,0,1604,880,37750,1177,725,0,0,3782
1370247460.9,2334,2985,0,993,786,26351,510,1187,0,0,10305
1370247462.08,6372,18011,38,6476,3580,67129,5155,3250,44,0,46071
1370247463.34,30459,26635,57,42519,30480,178760,5850,6230,43,0,122286
1370247464.58,3296,2005,61,1359,1766,75522,602,288,53,0,6549
1370247465.83,11679,27661,67,14561,7539,1146464,3302,1933,56,0,80793
1370247466.99,3906,13632,69,5816,7885,296696,1409,1560,51,0,41683
1370247468.24,10022,5867,53,5751,6315,332036,3739,1341,54,0,33543
1370247469.39,775530,881587,74,1270053,1076250,1658454,142423,129251,53,0,909018
1370247470.66,24019,33741,70,35072,21024,494793,11746,7757,47,0,184865
1370247471.82,13072,10388,75,5389,6128,656371,3929,2388,64,0,11151
1370247473.07,31288,40360,75,45715,63448,602736,14281,4082,64,26,254302
1370247474.23,59194,98292,90,198912,227990,1416609,41600,11752,54,0,364673
1370247475.46,13360,9329,90,13218,24726,820706,4491,1009,54,26,29642
1370247476.64,35775,8108,75,33004,16866,498846,25302,12487,44,0,121000
1370247477.89,61267,56640,70,20984,13879,1475127,13322,7284,66,0,73484
1370247479.06,95075,126349,67,140725,100050,2036441,33264,21191,41,0,828738
1370247480.29,39089,10495,61,43748,14382,364632,34491,4186,48,0,119693
1370247481.48,41446,43984,57,25707,100223,607111,3865,4743,57,0,53925
1370247482.74,29032,39625,57,9853,48216,471407,4444,1695,57,26,175196
1370247483.93,60727,82407,57,76355,68102,1125287,8759,2663,57,51,133015
1370247485.23,37231,182307,57,59104,181069,1702599,18091,11365,57,26,208319
1370247486.39,23500,13471,57,10805,19820,978263,5756,7000,57,26,21188
1370247487.63,35490,23642,57,95048,103486,1013675,19167,19091,57,26,283021
1370247488.81,29773,51326,77,42501,71552,557937,17583,7583,47,0,40397
1370247490.04,8692,27217,56,5108,17786,318169,8283,1820,54,0,89198
1370247491.22,8021,102484,27,11899,15856,215763,7120,4374,63,0,175485
1370247492.46,1741,1868,11,1187,1181,286553,1413,1627,51,0,15223
1370247493.64,11895,15125,1,3630,8325,1010445,3557,3465,43,0,83545
1370247494.86,32426,16050,14,65207,16323,769067,7605,3927,40,0,106671
1370247496.06,2272,3654,43,1581,891,217015,1298,852,53,0,1247
1370247497.26,74238,51238,35,26631,101666,527730,15690,12709,50,0,674952
1370247498.46,12002,20020,35,2493,9547,562200,11189,8990,43,0,151900
1370247499.59,15337,105468,1,22187,23641,2696264,13141,8120,34,0,903943
1370247500.8,1638,3592,1,1818,2247,141760,1300,673,1,0,38350
1370247501.94,75529,41181,11,126949,95974,1653987,26276,17730,1,0,796995
1370247503.15,74099,34292,11,55614,109355,719741,20085,9403,1,26,273070
1370247504.34,74851,135742,50,152483,455593,658535,98221,37514,1,0,241805
1370247505.54,168770,105593,50,449331,573815,1929639,115775,72719,1,26,479770
1370247506.69,20346,28749,81,37272,27048,23920,3375,3699,11,0,61749
1370247507.87,7569,36523,87,50293,31042,461541,25767,11369,7,0,766124
1370247509.04,130195,85109,80,61604,41803,645899,35723,9552,24,0,563162
1370247510.22,2289,4981,70,15501,3620,435413,8650,4181,13,0,83083
1370247511.44,1872,8337,54,3103,7868,236881,2300,1959,13,0,29610
1370247512.62,29378,31653,67,16242,33358,1830742,15250,13975,47,0,30791
1370247513.95,8144,12535,75,9181,9210,21294,6392,7950,81,0,13407
1370247515.16,5560,5636,81,9274,11356,70280,11109,4969,74,0,23748
1370247516.36,3273,5390,69,1652,2452,221802,1989,941,77,0,21374
1370247517.54,12119,3921,91,38816,10112,28442,14639,7697,60,0,17087
1370247518.78,8338,3248,81,4478,11619,13216,5708,6761,50,0,18425
1370247519.96,14533,7992,74,7877,5401,27441,9129,5148,63,0,15806
1370247521.2,3321,2311,87,3644,1379,45239,3663,1670,66,0,8949
1370247522.37,3498,4805,87,32122,4337,70327,9508,4222,63,0,10881
1370247523.59,9983,12354,78,11655,15496,512190,7135,9967,53,0,104744
1370247524.84,27712,2060,69,18220,11024,529924,8533,3794,38,0,129597
1370247526.08,5632,3607,54,4650,4274,946280,3680,4371,21,0,67761
1370247527.25,7375,11911,27,15602,25870,1456061,16094,16198,10,0,205023
1370247528.5,68406,35532,37,83290,44159,1319978,25658,14127,16,0,278627
1370247529.66,23150,49288,29,16878,6766,403802,8756,3726,20,0,240004
1370247530.93,24974,11781,35,50773,6170,722985,29086,11921,14,0,390431
1370247532.1,8796,4095,41,13921,11422,1376572,5233,10107,21,0,71444
1370247533.35,7711,47414,27,10954,11700,700681,7779,6168,21,0,194026
1370247534.51,113090,47196,27,22597,27377,378862,18722,7204,35,0,169435
1370247535.75,28902,30543,29,19120,44570,353063,21480,12247,54,0,99359
1370247536.92,32713,20446,17,6050,5568,2020122,1761,1442,74,0,81171
1370247538.17,4522,9333,27,6550,4636,70516,5417,4140,75,0,34775
1370247539.33,14649,2437,34,10491,22179,259765,15683,5733,56,0,75637
1370247540.58,3119,1268,51,8264,7594,45866,5074,9660,50,0,2928
1370247541.76,6908,6586,61,5139,1191,851111,3364,3850,43,0,31353
1370247543.02,9793,16475,47,4968,1204,162798,6385,5120,34,0,176831
1370247544.18,29486,4017,44,7985,20462,1120700,17275,14309,47,0,54712
1370247545.48,9572,25129,29,23716,4291,266673,10881,13681,50,0,94270
1370247546.64,27839,34607,16,8923,9709,702865,3701,3799,43,0,245901
1370247547.9,2064,16171,27,4237,3711,665072,975,1594,60,0,31138
1370247549.06,6245,2042,26,6686,8616,65051,7706,3935,41,0,71017
1370247550.32,24893,10607,23,8660,4754,938446,11429,12778,50,0,47245
1370247551.49,4340,22404,30,7999,18998,761967,6129,3218,53,0,73390
1370247552.74,3993,4765,38,4154,3413,220750,2730,1145,51,0,15202
1370247553.9,9248,10468,38,2697,5969,625128,983,693,51,26,38883
1370247555.15,10250,9648,35,13578,11078,1351800,8214,10454,50,0,182705
1370247556.3,7160,5494,43,8868,13857,1056508,2911,1320,41,0,19927
1370247557.5,6478,5224,41,3923,11137,1776676,4289,2617,34,0,60299
1370247558.66,4432,860,30,2806,7230,222455,3271,1931,16,0,39250
1370247559.83,1914,2522,23,549,653,28848,924,1085,27,0,18665
1370247561.02,60579,209429,7,31491,44816,1953048,98302,33876,35,0,505886
1370247562.17,11597,20478,8,10966,12488,691418,6454,7793,40,0,123030
1370247563.38,47000,73496,10,13068,14139,1314217,6050,5477,74,0,46478
1370247564.58,4290,9745,10,2266,891,587160,1264,305,74,26,30811
1370247565.79,8149,10848,20,6598,4072,143348,1764,453,74,0,66543
1370247566.95,13106,4624,20,9194,22511,670625,7929,5069,74,26,126225
1370247568.21,715,6617,20,2526,4058,699506,4097,1694,74,26,41002
1370247569.38,22385,53200,26,9198,38865,1934081,3095,4011,81,0,20959
1370247570.63,26054,11581,37,17533,5764,659799,1384,1786,93,0,31007
1370247571.89,1883,1045,51,4464,826,663088,1242,720,54,0,11410
1370247573.14,7210,27887,56,16995,31730,73894,33199,7961,56,0,28688
1370247574.31,8243,24176,43,8199,13639,324901,9003,5001,43,0,154249
1370247575.55,59504,32010,37,9815,43796,691470,10534,4704,43,0,198929
1370247576.72,8887,17181,21,10388,5218,148323,3862,4847,41,0,171710
1370247577.96,35263,5907,21,25804,17941,371695,24777,14501,40,0,63398
1370247579.13,14174,39704,14,4012,2817,1473652,12599,3859,48,0,116595
1370247580.39,23002,21172,11,3356,11334,627955,4336,1015,47,0,131876
1370247581.56,29572,89286,21,60472,160531,1226588,29843,7614,56,0,181314
1370247582.82,65255,306515,4,24262,28417,1888749,38437,42739,67,0,295281
1370247583.99,185576,59045,29,239781,112924,1192189,76434,36491,66,0,336885
1370247585.29,25413,27912,50,38507,92560,914848,11301,8084,61,0,147144
1370247586.46,4313,4225,50,1338,1194,269522,417,157,61,51,6199
1370247587.7,240,3830,50,1572,2217,286315,797,224,69,0,3022
1370247588.86,8737,28077,60,14957,5777,584205,8796,11205,51,0,115937
1370247590.11,20833,49786,51,27354,28741,487663,12196,19290,56,0,85244
1370247591.28,376974,313027,51,494650,1019571,1168536,220441,106721,56,51,329760
1370247592.54,34735,9801,48,20721,41402,1013534,7315,4765,57,0,139169
1370247593.71,4140,3399,48,925,2335,580794,569,526,57,26,17592
1370247594.97,6430,42791,44,22584,21444,3480176,8092,4474,51,0,94408
1370247596.14,9854,26921,44,12549,14589,528723,22880,7366,51,51,134026
1370247597.38,4236,6019,44,1360,2478,41564,457,268,51,54,17245
1370247598.54,56508,306210,44,171812,419254,1286289,185073,127658,51,80,274684
1370247599.76,71941,151872,44,170887,258911,1737197,99770,65853,51,80,971780
1370247600.95,49456,57322,44,23840,40440,1456283,22267,25318,51,80,406956
1370247602.21,44336,85692,0,35866,21526,214939,28227,30991,0,200,107710
1370247603.4,70088,43180,0,21563,65314,1766623,24992,17293,0,200,120889
1370247604.59,98,24,0,77,149,3799,58,46,0,200,624
1370247605.86,390162,236010,0,30720,73053,798809,23427,13887,0,200,489046
1370247607.08,61292,78329,0,43792,83510,716386,21542,4973,0,200,249780
1370247608.29,13892,22066,0,15120,1411,265302,3535,1895,0,200,80639
1370247609.49,36741,14190,0,11937,9805,162108,2563,1867,0,200,209834
1370247610.69,20328,29525,0,11855,8302,222970,10798,1547,0,200,44345
1370247611.88,213205,126789,0,281266,173488,1416617,91054,48715,0,200,419629
1370247613.08,29437,146925,0,191832,129587,1189942,114094,89042,0,200,494881
1370247614.21,150020,169929,0,242211,148027,543910,269383,61344,0,200,142802
1370247615.44,52964,213596,0,52511,33316,308112,48703,49273,0,200,84121
1370247616.55,1113364,488268,0,1172599,75460,1593068,929902,471483,0,200,1041127
1370247617.78,243985,500062,0,256603,314265,2216653,233343,287367,0,200,2291902
1370247618.91,131700,12138,0,76025,40712,102112,43000,76898,0,200,33193
1370247620.11,119323,229172,0,129909,174554,254424,196511,71109,0,200,83754
1370247621.26,109733,181226,0,145049,240532,375235,127064,77598,0,200,565785
1370247622.43,153060,166418,0,58237,70007,784107,53608,55076,0,200,127080
1370247623.62,83483,188395,0,128149,143312,760779,102044,44803,0,200,356039
1370247624.85,18375,11228,0,32130,20837,78938,50530,13420,0,200,62702
1370247626.11,18224,122346,0,558566,35525,1696945,149448,92948,0,200,292127
1370247627.28,73730,69286,0,569592,138713,1317410,175867,74738,0,200,162205
1370247628.61,497553,133931,0,276118,329075,713592,196533,141476,0,200,372262
1370247629.82,17006,20639,0,33460,39801,666801,14129,11489,0,200,40116
1370247631.03,347994,712276,0,269469,292955,615617,111272,44286,0,200,729363
1370247632.24,47101,13381,0,32427,35567,1588973,28371,27283,0,200,170151
1370247633.44,8094,16583,0,4225,5941,676173,1339,2095,0,200,107812
1370247634.62,20794,26193,0,7990,12089,234936,5229,8283,0,25,95920
1370247635.85,859,6517,0,3066,2407,19053,1380,1330,0,0,4379
1370247637.02,20113,56611,0,6749,24525,52519,5250,1811,0,0,29991
