time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370248032.72,42135,16331,57,3782,6597,15879,3265,2340,70,0,13870
1370248033.89,8844,958,61,3847,4024,36341,4149,7049,75,0,10477
1370248035.14,7417,7373,60,4031,1874,2081,3728,3536,81,0,22611
1370248036.31,10545,6039,70,9015,3836,75496,6163,2471,75,0,22149
1370248037.56,3225,4250,75,3439,6071,8431,5381,3578,47,0,34413
1370248038.71,11233,698,80,6327,7569,28882,5968,3492,48,0,6222
1370248039.93,10367,6062,93,9382,1247,33798,4367,3904,56,0,2884
1370248041.1,4658,8110,80,4111,5807,62143,3669,2482,44,0,70272
1370248042.32,20296,33833,75,3270,9344,4293,3019,3201,74,0,8525
1370248043.5,16474,3070,61,4812,9141,20747,2299,1724,69,0,32792
1370248044.68,28103,19564,41,5017,855,12043,7890,5769,67,0,32639
1370248045.9,38198,17300,51,10670,12623,29235,4327,2183,91,0,12497
1370248047.08,58090,8785,56,6125,12224,12596,4164,4847,90,0,14517
1370248048.38,22637,9179,51,2437,6042,1806,2235,2078,100,0,9673
1370248049.56,5403,11868,63,5728,5307,11087,3478,2287,100,0,6838
1370248050.78,4527,5899,57,3154,6489,15526,2605,775,84,0,25815
1370248051.95,2300,5553,61,3414,2450,11544,2545,1937,64,0,23302
1370248053.19,3559,9157,63,4776,6024,41769,1042,1981,40,0,65255
1370248054.37,2943,5343,56,5357,2036,23447,4622,3327,24,0,30247
1370248055.61,1731,19907,57,2581,9725,20163,3086,1789,38,0,6961
1370248056.76,10425,7182,56,2642,7673,69961,1090,1710,50,0,12019
1370248058.0,1717,7296,74,6948,2465,8615,2972,7970,61,0,9007
1370248059.17,20826,2874,54,784,5650,13105,1807,1036,77,0,17252
1370248060.43,22479,22571,48,4642,7873,50578,2416,2053,67,0,70186
1370248061.59,10820,27262,48,5671,3765,18494,1887,2622,70,0,24573
1370248062.82,12831,21651,30,4998,3081,54278,2976,1969,74,0,46020
1370248063.98,15504,15554,38,3127,7993,50220,2169,1011,69,0,34743
1370248065.23,6931,3174,53,8495,5406,14339,1693,1945,60,0,38278
1370248066.41,9791,10996,66,16091,8827,21740,3978,1718,51,0,17007
1370248067.72,7366,16821,75,5726,3362,13700,1961,1147,54,0,19002
1370248068.87,9186,7242,90,6380,8699,19836,4968,2843,56,0,9236
1370248070.12,27425,4724,81,5277,2280,19188,2827,3635,69,0,36030
1370248071.27,11935,3856,67,3061,5234,21697,5091,2340,75,0,13053
1370248072.48,5736,6747,64,2548,9776,10788,4500,1084,69,0,13754
1370248073.64,15183,26412,60,7951,9691,26322,3201,3246,78,0,8063
1370248074.8,1780,15034,64,2619,3124,61843,1907,3320,83,0,7688
1370248076.0,17766,21445,64,5931,4421,19553,3459,3419,90,0,16233
1370248077.14,11244,12039,61,5935,2835,11617,2721,9983,83,0,74051
1370248078.38,5111,9774,51,3123,8439,80311,2028,2509,64,0,41840
1370248079.5,16210,4745,47,2986,2424,8156,7504,5016,57,0,24010
1370248080.73,8944,13685,53,5907,4665,22519,6087,9843,56,0,7065
