time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370315870.7,84,119,0,27,59,709,10,6,0,54,305
1370315872.41,2,2,0,0,0,7,0,0,0,54,0
1370315873.95,288,79,0,171,200,6889,108,244,0,29,341
1370315875.36,4710,14867,0,14396,12529,86324,3127,633,0,29,100157
1370315876.91,13234,29036,0,14012,14010,366670,10968,1540,0,200,32849
1370315878.49,9899,1697,0,3156,1710,34105,4877,470,0,200,13259
1370315879.82,14654,24832,0,10925,8830,413612,16166,1837,0,200,80183
1370315881.43,58733,339786,0,41078,24530,813647,23383,3643,0,200,500627
1370315882.83,19698,105677,0,14691,24231,194072,11920,2351,0,200,62643
1370315884.26,9161,4406,0,10836,10559,512678,17894,1460,0,200,118718
1370315885.6,3142,4548,0,2303,1173,144984,1918,364,0,200,10301
1370315887.18,155358,56037,0,66241,20598,812795,77245,2232,0,200,251252
1370315888.6,109966,143208,0,109959,39013,698379,19912,4168,0,200,239587
1370315890.02,275192,373612,0,46650,41450,804269,90723,49690,0,200,635650
1370315891.36,172438,362404,0,533119,152999,2065447,40624,25077,0,200,1190127
1370315892.83,61342,39711,0,78492,144966,1180003,61465,5207,0,200,505356
1370315894.42,12628,44662,0,12193,13529,627578,10433,943,0,200,129724
1370315895.85,43302,138632,0,49528,52686,1400952,69958,2459,0,200,137567
1370315897.41,82460,120492,0,28491,27352,1999196,39024,8070,0,200,528469
1370315898.76,124984,104189,0,62793,45212,1432446,19907,5935,0,200,525287
1370315900.96,210761,373879,0,172276,526402,791868,93702,31621,0,200,1262653
1370315903.83,78181,104454,0,98592,28173,898402,16212,4970,0,200,693797
1370315905.36,26166,3583,0,10379,6697,211765,16351,977,0,200,80838
1370315907.1,10979,10243,0,6819,22760,180332,6737,641,0,200,97811
1370315908.84,20501,162097,0,57921,23401,1205159,21638,3209,0,200,298959
1370315910.39,187170,660613,0,146841,145696,2070249,275998,27032,0,200,344012
1370315911.93,76414,133787,0,78408,85186,1230423,39366,3493,0,200,333202
1370315913.34,38308,122988,0,8420,24623,367087,21691,892,0,200,63585
1370315914.84,68021,207103,0,111527,45670,378098,32423,10953,0,200,678533
1370315916.39,9931,13461,0,11825,19453,498170,6837,2928,0,200,69346
1370315917.94,58286,115883,0,43315,35643,912224,27504,3897,0,200,576042
1370315919.54,21635,15576,0,8085,17583,447746,14843,2173,0,200,43887
1370315920.93,19340,29437,0,10411,11148,1696145,10130,949,0,200,61896
