time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370383401.75,6819,4266,64,6813,4149,152422,3253,777,48,0,27345
1370383403.09,18278,14041,67,9845,15186,1502348,6054,3330,51,0,51820
1370383404.45,20825,11258,66,12485,14337,144930,23262,6193,40,0,80659
1370383405.97,31703,5263,67,9243,8740,6106,4657,4342,61,0,6742
1370383407.3,17967,70212,50,7492,15499,480051,5977,9156,74,0,76595
1370383408.63,62869,7659,41,19452,20466,2872167,9298,8746,67,0,249023
1370383410.18,10904,7887,41,3712,6342,1912796,2759,1287,80,0,13965
1370383411.71,108717,43985,26,14418,34253,1863067,15976,26047,78,0,60175
1370383413.01,57500,58544,21,12009,27959,380223,20959,10386,70,0,249168
1370383414.4,11567,5490,38,4398,5016,4540,2567,2700,90,0,4868
1370383415.92,24833,27697,27,9131,33430,1000259,11528,5311,78,0,112888
1370383417.3,17873,37489,13,10152,27841,284170,7066,4156,54,0,328315
1370383418.73,34046,24574,26,26331,15376,301147,11997,17210,47,0,240956
1370383420.16,4325,9881,4,3331,9049,173109,1794,2481,23,0,74597
1370383422.04,36761,29489,47,9807,7474,1157598,6243,1825,51,0,62014
1370383423.45,102190,111416,21,14524,165343,658051,32326,37491,56,0,427873
1370383425.03,25672,6157,48,19242,19060,188046,25269,18789,60,0,44291
1370383426.62,1749,159,56,7054,9610,127993,4172,1650,41,0,11148
1370383428.16,22566,18386,80,20764,19157,148584,9661,5364,40,0,10791
1370383429.7,22795,19060,100,11586,28236,176528,7901,9475,47,0,22900
1370383431.22,2932,15596,100,10947,7402,16652,2855,2824,50,0,18138
1370383432.77,35701,21898,100,34913,74933,1428001,24406,15415,50,26,475324
1370383434.19,9859,4248,100,14668,24019,185380,16071,13374,64,0,15460
1370383435.76,9721,22500,100,24039,15635,80107,12179,25193,54,0,59278
1370383437.34,12280,9808,100,12195,4393,11163,12153,9601,53,0,21462
1370383438.75,7895,13301,100,14926,17689,251465,18990,4586,50,0,16794
1370383440.3,17887,14661,100,12069,7220,18136,10441,4202,67,0,7079
1370383441.75,4066,3526,90,3716,4608,373283,3298,3124,61,0,37204
1370383443.11,6380,6658,93,15072,13722,28247,8855,6895,50,0,30731
1370383444.43,10592,3477,81,6121,2250,36185,2211,1159,53,0,20139
1370383445.97,8690,1771,74,3164,5418,75756,3852,3523,43,0,8467
1370383447.35,2047,2641,80,2607,3828,243828,5576,1318,48,0,13599
1370383448.66,16544,16578,84,30399,28386,128345,7807,7096,57,0,13369
1370383450.2,29427,30172,78,20280,25081,1003978,6686,6385,53,0,138271
1370383451.75,4801,4921,51,1477,4095,83430,2217,1585,38,0,53105
1370383453.3,1048,7423,26,494,3069,104588,844,317,44,0,18624
1370383454.85,11800,20405,7,9208,16275,62379,8630,5568,43,0,43554
1370383456.19,6029,10095,4,4360,3569,361834,3063,1776,44,0,38472
1370383457.6,2624,4773,35,3474,2736,26071,2244,2456,57,0,8110
1370383459.07,4318,8866,48,3496,3393,145902,2147,1059,51,0,43862
1370383460.95,7382,17345,48,5275,32698,49132,6145,7082,30,0,54942
1370383462.38,5695,22081,26,2875,2583,41625,1542,761,50,0,17924
1370383463.77,19948,41079,16,12888,26882,314024,14766,6613,44,0,225235
1370383465.13,33123,10237,26,20181,15735,883152,6248,10788,48,0,169417
1370383466.74,1612,417,17,592,2044,70361,826,1283,37,0,16011
1370383468.32,1343,15438,26,5046,3456,1158524,5395,3474,29,0,22029
1370383469.88,38198,12433,17,12952,20837,697315,20500,7475,21,0,458575
1370383471.22,38216,109457,7,15719,26470,920075,16915,22614,29,0,299239
1370383472.62,32040,7195,14,14636,10429,1340302,8988,12380,35,0,191669
1370383474.05,7838,30452,14,18239,9060,1122791,5112,5850,27,0,93406
1370383475.63,2864,2573,21,894,1628,84694,525,921,40,0,15044
1370383477.15,55355,17507,30,13343,45375,1600373,14090,11814,41,0,74297
1370383478.77,47422,30243,27,14114,28482,2509125,11170,11910,47,0,225845
1370383480.15,4881,4360,7,794,3890,69793,1561,1085,44,0,28687
1370383481.55,29942,86621,11,18478,40279,825957,31819,18789,53,0,146256
1370383483.09,45032,6341,11,24763,65541,2115222,21461,19634,41,0,203421
1370383484.61,14830,20843,16,5371,6677,326262,8660,3220,50,0,41414
1370383485.94,32481,93284,23,10495,11922,1144472,7183,13690,57,0,217233
1370383487.49,9690,9240,13,3792,18142,1785087,5064,3103,43,0,97709
1370383489.02,4301,4922,17,6948,3149,1169402,3687,5716,44,0,36113
1370383490.56,28165,14155,17,7360,10550,669685,5092,5811,41,0,77504
1370383491.88,42151,67009,17,8252,30394,462064,12202,11430,43,0,147001
1370383493.25,19884,12557,26,5958,4543,427479,9561,3529,53,0,64826
1370383494.64,56219,16019,23,36115,40020,550876,19442,37424,51,0,287379
1370383495.98,4246,16298,14,2546,7984,222100,4513,3707,50,0,49085
1370383497.38,6483,11084,21,5170,4633,596352,2374,2367,38,0,78638
1370383498.86,55483,89115,13,12772,36696,405466,17111,14686,40,0,264107
1370383500.6,4674,18906,30,3524,6967,111829,1241,2031,51,0,55675
1370383502.2,38476,35737,23,18362,45571,145801,5083,8436,44,0,144025
1370383503.8,43839,85866,26,24743,37891,2259382,10367,10011,57,0,239734
1370383505.15,1333,1327,23,1120,1674,178531,472,660,41,0,14039
1370383506.53,5991,6136,26,2104,5308,110325,1475,1098,41,0,25177
1370383508.12,4058,3558,35,3861,2978,102087,1504,827,40,0,17982
1370383509.69,6425,8830,23,3757,6974,57289,4572,6135,24,0,120469
1370383511.26,16234,5039,35,11586,26375,32660,7204,6075,29,0,49473
1370383512.63,13365,12147,40,9607,23383,144697,6819,6897,23,0,93349
1370383514.16,21543,57561,24,7915,20146,39875,5303,4512,34,0,86064
1370383515.57,4528,958,43,2591,4023,55975,1442,406,41,0,16826
1370383517.14,5125,102434,40,27268,11339,189035,5935,7064,53,0,111671
1370383518.62,48177,17659,40,13820,15068,53456,5446,7605,63,0,117871
1370383520.16,5816,7595,51,3748,3086,65166,1061,804,61,0,13853
1370383521.67,5691,12432,56,6456,10348,13250,6338,2554,70,0,12699
1370383523.17,71171,64978,40,17404,53751,1573909,9669,7664,63,0,418924
1370383524.7,13360,10734,35,16171,21051,747845,5483,4781,40,0,323360
1370383526.08,18244,11875,26,16891,9567,344289,8213,1790,21,0,227280
