time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370384850.8,1,2,0,1,2,2,1,1,0,25,5
1370384852.5,1,0,0,1,1,75,0,0,0,25,3
1370384853.96,36897,85010,0,49670,39466,1941266,16686,35276,0,25,1743525
1370384855.57,6414,7511,0,5836,3474,362568,4313,2260,0,0,42029
1370384856.98,14056,14079,0,19865,36133,37332,7767,19370,0,0,66624
1370384858.59,5440,6594,0,39546,20102,907099,22572,9885,0,0,118276
1370384860.05,7926,1169,35,9052,6947,208333,4091,8422,40,0,56956
1370384861.68,20481,12399,16,5500,3120,896587,7864,3992,63,0,52113
1370384863.3,26973,14582,8,17902,70407,341921,39073,3647,70,0,124553
1370384864.93,29198,21965,1,20266,17965,159777,10049,10534,88,0,120724
1370384866.4,23934,16387,10,15940,28830,1089032,4673,15974,100,0,51716
1370384867.91,50451,23577,10,14395,30238,1284278,23843,12967,96,0,212125
1370384869.32,3453,1903,34,11012,8184,385544,8995,9880,88,0,23730
1370384870.78,75754,92456,21,10604,22953,343222,15352,7787,96,0,186387
1370384872.41,6315,10497,11,5340,4281,397169,1354,812,84,0,67061
1370384874.04,41493,70661,13,17498,15569,580424,18008,11119,81,0,347608
1370384875.51,7908,12559,1,12415,7484,153774,15288,3095,83,0,90903
1370384876.96,13970,35444,14,27004,16376,196535,9009,7518,63,0,222049
1370384878.38,18180,22996,13,9458,15712,405211,12255,5678,64,0,132778
1370384879.83,63379,106234,20,102293,53401,1919775,31934,48187,50,0,1578140
1370384881.34,3526,67514,20,10173,12308,861096,3959,6736,69,0,18868
1370384882.97,42309,56489,8,38695,25527,67012,21072,8340,61,0,810571
1370384884.61,47825,23830,30,64887,77299,637484,14212,8208,54,0,158783
1370384886.19,41188,20878,51,34213,26409,468545,15359,9917,67,0,104705
1370384887.63,22871,60519,40,40041,44056,710677,30705,17242,40,0,621299
1370384889.17,3628,8803,63,13966,13632,543149,2425,2712,43,0,50401
1370384890.59,24457,9165,50,16856,7770,225892,9787,11986,43,0,129024
1370384892.01,10338,45576,44,17441,26402,1383035,12014,18170,47,0,70049
1370384893.59,4898,7980,63,9181,16472,324531,12492,3587,53,0,29149
1370384895.16,7893,13150,63,3532,9817,172836,351,227,53,51,41267
1370384896.52,860,1382,56,1662,1792,257814,811,812,53,0,10448
1370384897.94,98212,120304,40,43418,29690,1315549,32358,23198,53,0,887178
1370384899.55,10395,4520,40,2226,6900,600716,772,547,53,51,5858
1370384901.03,28101,33095,40,9898,9664,1205903,5074,2420,53,26,52205
1370384902.48,54876,17643,29,7707,13219,713832,6644,6159,61,0,44487
1370384903.91,4683,6347,29,995,1899,646679,782,1221,61,26,22264
1370384904.33,12340,7066,7,2051,4314,101424,3249,1399,60,0,30929
1370384906.12,19630,42151,4,17093,2642,3159181,8482,1551,57,0,198416
1370384907.63,27569,62304,4,10618,9587,1038584,5922,6271,57,51,214797
1370384909.06,17780,44024,7,7612,6098,567768,9430,2119,75,0,44427
1370384910.49,45626,75012,7,56900,85947,303018,49020,33124,75,25,210611
1370384911.96,809,1548,7,2903,2472,306463,664,199,75,51,15819
1370384913.42,221648,190587,7,231748,148745,1606456,8106,6377,75,51,1209097
1370384914.86,2808,4368,7,1985,1099,241624,2808,1371,75,51,17528
1370384916.45,8186,16799,7,2341,6006,317319,592,1297,75,25,49018
1370384917.88,59675,25373,1,4753,14493,375211,7099,4729,87,0,142614
1370384919.52,24063,30548,1,8579,17933,139651,4636,1463,81,0,127207
