time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370464559.91,0,0,0,0,0,2,0,0,0,25,4
1370464561.37,1,0,0,0,0,0,0,1,0,25,1
1370464562.71,16287,48209,0,11892,17546,493551,4665,3345,0,25,363827
1370464564.23,221,24,0,124,139,13500,86,54,0,25,6720
1370464565.66,40837,58426,0,7359,13358,375687,2001,629,0,25,94895
1370464567.44,5040,15536,0,11678,11761,88349,6660,2079,0,0,111659
1370464569.06,20971,29607,0,36680,42521,1834631,11568,7818,0,0,263622
1370464570.86,1491,23854,0,17053,18008,626501,4620,3124,0,0,76446
1370464572.5,45686,11073,51,48402,11582,2427370,13494,8969,54,0,81658
1370464573.94,9540,11197,60,18219,13403,488996,5666,4665,57,0,55000
1370464575.36,22399,20348,60,6515,7725,957330,933,837,57,51,62475
1370464576.71,26490,12016,78,62385,62163,1262687,23391,5534,54,0,104304
1370464578.13,58562,31899,83,31994,20911,1142724,11771,2083,78,0,67371
1370464579.55,21795,11416,56,23112,22441,1199575,7590,10085,44,0,401501
1370464581.12,13562,27042,48,15930,15054,1408913,9973,4257,50,0,76703
1370464582.5,4376,736,27,1318,4043,80770,1201,703,64,0,6314
1370464584.03,695,48136,7,10077,19816,223881,2493,1355,44,0,147612
1370464585.46,1539,14967,3,2426,3957,183511,884,606,70,0,47740
1370464586.89,5673,1265,11,4478,6680,30218,1832,2443,66,0,15127
1370464588.45,3151,817,1,837,1580,28545,567,862,48,0,23233
1370464589.98,7585,15680,3,4209,5182,58316,1906,887,60,0,37066
1370464591.6,12950,10471,14,3907,12488,36880,3068,2855,64,0,36500
1370464593.14,6265,55598,1,6655,21994,236303,3623,786,75,0,102707
1370464594.72,2012,585,7,862,682,107104,356,285,88,0,6169
1370464596.28,18465,13455,1,2119,2826,786465,3316,2325,67,0,181530
1370464597.89,759,973,1,264,932,90042,196,200,51,0,8897
1370464599.3,2088,10972,24,8009,7945,31430,2409,1687,50,0,14594
1370464600.85,2161,3578,34,3635,5522,17756,831,1475,37,0,25320
1370464602.26,10689,3004,61,4314,4549,35295,2631,1211,64,0,9533
1370464603.81,570,1187,80,1854,2187,345996,480,421,57,0,9954
1370464605.34,4647,22705,70,7900,8127,33915,3012,1676,63,0,35791
1370464606.88,13441,4282,70,5581,6349,89476,4493,2847,81,0,28602
1370464608.38,3192,11021,60,4454,7107,554269,1479,3906,54,0,67656
1370464609.77,10632,11216,43,2278,10999,26035,5255,5930,69,0,57516
1370464611.19,2827,4176,34,1094,1975,139983,671,1234,63,0,16442
1370464612.67,25220,6352,30,4506,9387,383532,4046,1431,74,0,9552
1370464614.21,5575,6842,44,4377,5454,12258,3803,2664,90,0,10070
1370464615.98,4076,8060,56,5130,3328,34886,2925,3877,40,0,24061
1370464617.53,3290,8281,48,4490,5896,180734,765,1309,17,0,96080
1370464618.89,19029,27921,50,15704,12686,424818,3481,2863,17,0,64244
1370464620.32,13205,43361,43,2989,8818,65937,4439,3252,41,0,49514
1370464621.78,19220,4437,40,3816,3833,17673,5550,1202,57,0,9841
1370464623.31,672,1055,50,1044,1202,56765,367,494,63,0,8084
1370464624.68,4476,12213,37,1988,3151,199329,1211,523,61,0,39764
1370464626.26,7711,3666,48,2241,9703,11083,1922,3179,53,0,11482
1370464627.67,25060,20598,50,8591,12471,112145,3341,3103,50,0,26196
1370464629.06,6662,15536,54,11624,8336,922111,3906,8443,57,0,42803
1370464630.61,692,1869,74,2752,1503,83565,6520,4430,50,0,8492
1370464632.07,6554,5744,93,34020,7341,46975,21230,20066,38,0,22806
1370464633.5,23924,5302,100,36781,6113,495360,41555,25727,26,0,30118
1370464634.89,7660,31192,93,9165,12975,321289,13350,6182,24,0,107704
1370464636.22,21975,5322,87,5778,1100,11794,1867,4672,54,0,6635
1370464637.6,5618,9082,66,2222,6773,26754,3915,2536,74,0,7769
1370464639.14,8751,8346,53,3657,6328,27005,2122,2240,83,0,8758
1370464640.67,26446,72469,50,6735,5183,11041,1294,2656,100,0,57642
1370464641.98,3770,27801,47,14019,9966,114329,2023,1672,75,0,113583
1370464643.38,13846,4330,40,4961,12707,33328,985,2151,56,0,71125
1370464644.92,5242,7765,38,4910,7859,39268,2601,1697,43,0,26307
1370464646.45,14945,20309,53,11038,30625,59649,1218,3901,34,0,19751
1370464647.79,27912,5833,54,5204,3553,4717,1566,1674,61,0,5467
1370464649.22,10307,4291,60,6390,11198,43941,2865,2910,61,0,56003
1370464650.64,6761,834,51,982,1877,23092,1136,679,64,0,12076
1370464652.29,5797,9833,37,3190,4220,714150,438,1396,53,0,66105
1370464653.81,41942,5585,51,18767,66981,892401,1496,766,51,0,44854
1370464655.17,71158,171102,51,122733,126662,1831860,59988,45711,51,51,73534
1370464656.76,40623,34690,51,29929,23005,892745,4327,1968,51,25,90679
1370464658.19,14930,25391,44,10580,20893,2009063,5699,3226,43,0,177413
1370464659.62,18864,7729,40,1717,1626,787589,1049,474,60,0,12886
1370464660.95,11875,6924,30,1878,5550,79617,1841,5174,48,0,41545
1370464662.38,1414,7836,4,392,1770,1256602,363,278,48,0,25783
1370464663.94,2803,7267,1,1369,5182,160819,525,499,51,0,34157
1370464665.53,17160,22265,4,4477,12211,23718,1964,825,47,0,23348
1370464667.1,30416,7805,16,6016,23995,23213,697,1753,56,0,9113
1370464668.66,7744,8085,38,6110,11610,6593,1395,1381,54,0,39051
1370464670.0,15168,3803,44,3111,1608,94691,2732,2026,64,0,26736
1370464671.44,5876,4767,60,8501,10805,5912,2509,568,50,0,17801
1370464673.04,16748,26871,54,5896,5050,25275,3025,2973,50,0,31575
1370464674.59,672,3742,60,2009,2266,71665,733,352,53,0,7177
1370464675.87,4974,6867,64,3513,3470,5271,1497,2106,50,0,17902
1370464677.28,5741,3241,61,3153,4462,15192,1430,1291,63,0,4644
1370464678.8,10440,18178,61,3971,2728,17012,1277,1724,61,0,22215
1370464680.13,4144,39487,54,5657,3600,42490,2184,1342,74,0,34470
1370464681.52,902,8460,53,2877,7499,3636,2287,1064,67,0,21204
1370464683.07,7994,6007,50,3331,1668,31238,2100,974,70,0,7930
1370464684.6,1203,3726,47,1809,2065,36514,602,310,50,0,27081
1370464685.96,5885,34535,54,10621,12072,414672,2620,1755,48,0,20763
1370464687.34,3638,14843,43,6031,6907,122355,1616,2160,38,0,166333
1370464688.93,13369,9239,35,4716,5470,81382,1510,1649,23,0,58119
1370464690.37,5009,5027,43,4621,4071,60680,2103,1356,30,0,22811
1370464692.3,4971,2556,74,5192,6807,3188,1978,2011,24,0,35217
1370464693.73,3895,1224,78,5857,5144,19396,2272,1520,24,0,11572
