time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370326535.06,2784,5867,0,798,1610,246634,329,183,0,54,39649
1370326536.46,0,0,0,0,0,1,0,0,0,54,0
1370326537.84,2,0,0,1,0,6,2,0,0,54,2
1370326539.35,0,0,0,0,1,25,0,0,0,54,1
1370326540.83,29,49,0,29,20,1825,24,41,0,200,122
1370326542.35,50468,48729,0,10013,13236,686146,11091,1214,0,200,217019
1370326543.9,54952,73577,0,337428,19376,895735,16578,3720,0,200,424716
1370326545.33,81290,35847,0,313774,33455,121039,16613,4823,0,200,524921
1370326546.68,113471,91017,0,166472,24492,309873,63539,2703,0,200,1151968
1370326548.23,71983,21174,0,403158,23529,160506,14459,3545,0,200,212445
1370326549.62,85299,51274,0,155694,16520,508117,59686,2179,0,200,890844
1370326551.04,70186,82772,0,142212,81353,1146329,28519,7799,0,200,385841
1370326552.4,44681,3328,0,15869,11606,193487,31540,1192,0,200,17762
1370326553.95,10485,27137,0,55887,9338,105109,3010,1167,0,200,43558
1370326555.58,134919,83888,0,375084,18467,260922,24797,5961,0,200,64469
1370326557.15,48893,35777,0,44272,31704,1736197,108876,10626,0,200,555104
1370326558.56,5199,6208,0,24939,5533,1899749,7955,1160,0,200,77996
1370326560.13,34049,9094,0,31743,17456,451263,8004,3265,0,200,171042
1370326561.92,5888,764,0,6908,3519,501107,1135,364,0,200,13209
1370326563.33,55492,77776,0,260989,21091,874432,17136,4903,0,200,195066
1370326564.66,19983,25007,0,10731,8057,194616,9082,1585,0,200,194745
1370326566.48,7331,3830,0,8163,1292,623998,995,316,0,200,33368
1370326568.25,10219,4504,0,6017,1094,241477,5398,282,0,200,11510
1370326570.03,11668,40374,0,83173,3130,1449645,1892,2701,0,200,48590
1370326572.04,14350,17814,0,5669,10398,400731,22372,2092,0,200,66914
1370326573.65,33058,18091,0,8160,9033,429710,11657,800,0,200,29514
1370326575.24,15341,2361,0,13368,8480,179881,12052,903,0,200,21203
1370326577.13,69692,8138,0,69831,40479,1013975,38690,9695,0,200,354106
1370326578.64,6211,13078,0,2659,3218,206650,4405,1012,0,200,25454
1370326579.94,76159,42559,0,50447,30189,1691725,57467,3085,0,200,71392
1370326581.48,14540,40136,0,9317,7399,907899,26819,2894,0,200,56786
1370326583.01,2479,6603,0,1456,2069,1288222,4781,363,0,200,38518
1370326584.53,6691,6326,0,2441,1579,142460,4641,740,0,200,6479
1370326585.85,84852,101386,0,34222,23869,2536182,92166,5957,0,200,298905
1370326587.44,3415,1759,0,5362,11909,280390,3930,1008,0,200,15468
1370326589.02,3669,6636,0,1899,2352,317935,3419,97,0,200,15921
1370326590.59,14693,22037,0,7103,12692,263474,21170,2179,0,200,104396
1370326592.14,23807,2898,0,10949,7328,161337,32445,949,0,200,47852
1370326593.73,55752,23612,0,24772,38949,518383,59454,2079,0,200,243123
1370326595.35,3996,2739,0,1427,1313,232473,4664,165,0,200,15497
1370326596.71,9160,3390,0,2229,2403,56407,3589,241,0,200,9109
1370326598.07,20436,12270,0,7439,2377,151040,15450,1112,0,200,22495
1370326599.5,104556,51366,0,30379,23102,1382738,81417,6917,0,200,96921
1370326601.06,59963,9738,0,24426,51951,567421,44326,2612,0,200,104410
1370326602.39,14383,20163,0,15121,5921,498182,13892,582,0,200,31133
1370326603.95,45949,10513,0,21121,17114,1895536,119649,3798,0,200,250944
1370326605.53,14273,6696,0,6571,3060,841132,12564,573,0,200,29899
1370326607.1,13842,18021,0,5822,3956,421649,8254,261,0,200,29630
1370326608.5,14808,15632,0,6352,6681,344311,13377,560,0,200,84062
1370326609.85,6555,8698,0,8596,3705,487063,9022,394,0,200,12657
1370326611.23,41766,4351,0,12408,22485,1814799,22557,2275,0,200,191982
1370326612.75,7625,53535,0,6169,8235,424638,8428,361,0,200,37262
1370326614.09,36162,23714,0,27352,35172,2075312,44763,2771,0,200,190783
1370326615.47,36194,15536,0,22182,64932,672634,26193,4250,0,200,203705
1370326616.84,9558,28625,0,34427,9014,1156711,2090,1810,0,200,77585
1370326618.37,54347,75396,0,9933,39714,1010869,8979,7610,0,200,315785
1370326619.65,452,2625,0,203,247,39652,189,381,0,200,30772
1370326621.24,18033,81532,0,57138,56445,1240653,18250,3110,0,200,382712
1370326623.13,52405,23658,0,18339,21398,1531476,26646,2421,0,200,376551
1370326624.93,109167,69223,0,23654,35594,1302332,31290,2062,0,200,247625
1370326626.33,226549,58539,0,18060,16709,895497,25698,2209,0,200,218486
1370326627.72,84957,40701,0,26809,32210,713519,14980,1652,0,200,267126
1370326629.08,7409,14413,0,4396,5383,65629,5375,565,0,200,117026
1370326630.61,14654,57119,0,14087,26074,1048336,6156,4175,0,200,427679
1370326632.18,10110,6970,0,4981,5208,316783,3330,433,0,200,244121
1370326633.77,3425,14966,0,3289,4723,328744,1083,536,0,200,69259
1370326635.22,58645,511074,0,85885,71247,1733956,52227,7076,0,200,505541
1370326636.76,11750,17381,0,5638,3141,239158,2645,473,0,200,17595
1370326638.12,15077,20303,0,10534,22238,1155256,6300,3372,0,200,434333
1370326639.54,19353,22452,0,8978,15163,774934,3820,2141,0,200,232245
1370326641.16,4575,5449,0,2797,2188,553239,1836,460,0,200,16027
1370326642.92,1513,3508,0,859,2016,248277,425,293,0,200,24633
1370326644.48,2463,5868,0,984,4401,131023,348,285,0,200,17146
1370326645.86,6332,11034,0,4903,13244,483993,2479,877,0,200,77801
1370326647.21,5366,11299,0,1820,3468,19702,789,237,0,200,52519
1370326648.62,3715,26723,0,12945,13755,987515,5979,2827,0,200,124672
1370326650.19,35989,42151,0,6420,17701,1119184,6677,2342,0,200,55582
1370326651.76,2742,12377,0,2761,5631,126279,766,1332,0,200,45522
1370326653.25,8972,6737,0,3273,6485,134748,1420,3219,0,200,112239
1370326654.73,29508,46661,0,18527,34225,1602610,10887,5525,0,200,395340
1370326656.32,10093,35015,0,14546,12728,869534,17322,8483,0,200,128869
1370326657.86,1089,7048,0,1025,873,22906,987,1153,0,200,30272
1370326659.23,56144,67515,0,77295,153041,875277,15743,5995,0,200,1178718
1370326660.72,826,4956,0,2188,2541,153644,887,438,0,200,36770
1370326662.07,11824,27298,0,17275,14103,420786,7052,3232,0,200,245615
1370326663.45,7255,40756,0,11058,12322,617097,3177,3005,0,200,90283
1370326664.97,7476,9992,0,9917,12354,443050,1911,1030,0,200,25965
1370326666.32,43234,14587,0,4579,25309,823048,3925,2031,0,200,106218
1370326667.85,8328,66317,0,19430,25006,968113,4669,1758,0,200,127948
1370326669.28,13368,57871,0,13364,33646,2762617,4031,3904,0,200,609695
1370326670.86,8776,6563,0,8914,3346,1490786,2316,2464,0,200,57089
1370326671.14,1640,1018,0,951,2269,64632,501,704,0,200,26367
1370326672.76,23907,17164,0,8941,4319,347389,3294,2173,0,200,54041
1370326674.17,18231,20492,0,5569,17655,332466,4273,2680,0,200,139722
1370326675.62,25412,53843,0,31322,32673,825286,2961,2572,0,200,111402
1370326677.16,7536,4721,0,5837,4335,369920,3391,1311,0,200,92785
1370326678.71,15528,23303,0,2229,7768,422206,2193,1187,0,200,101329
1370326680.29,6388,46924,0,4023,9253,319868,1019,3389,0,200,42365
1370326681.72,15631,1502,0,1405,2832,455030,3270,937,0,200,5347
1370326683.3,14461,25991,0,8859,5328,1135530,1656,948,0,200,61563
1370326684.62,8448,27882,0,6152,9826,611829,3449,3091,0,54,137330
1370326686.17,32808,103418,0,532240,511797,1716407,241041,263496,0,29,330833
1370326687.75,2107,5394,0,1678,178,63918,998,649,0,29,20315
1370326689.32,5908,18119,0,5732,3273,7486,1848,2754,0,0,15774
1370326690.72,6060,4211,0,16122,11130,3495,4440,7467,0,0,18687
1370326691.99,5087,2805,0,7306,8279,11820,5137,4972,0,0,20205
1370326693.37,9180,3504,34,6278,5047,7346,4944,6844,38,0,24928
1370326694.9,5609,12332,30,6538,8339,25376,2868,5785,48,0,9013
1370326696.48,7225,9622,35,8112,2577,14112,2372,6434,57,0,12087
1370326697.97,1944,5040,16,2522,3328,23215,2863,4624,51,0,20113
1370326699.31,5349,1779,26,6687,14493,5572,6925,5263,41,0,17799
1370326700.84,13548,2867,8,9043,17941,134893,1171,2072,13,0,160312
1370326702.37,10864,62863,1,4736,15345,51593,2687,3174,21,0,36992
1370326703.9,7011,6848,4,3679,4186,7449,4185,4156,40,0,8374
1370326705.43,6027,9929,10,5704,6081,13215,2680,2732,66,0,4419
1370326706.95,8357,4728,43,13089,14131,8769,4836,2525,84,0,9542
1370326708.5,4675,6715,64,3995,3969,9198,2095,1564,78,0,6342
1370326710.22,5751,1171,54,7188,4509,27909,3132,4372,37,0,31358
1370326711.64,14005,1396,48,6668,6404,5568,5069,2284,35,0,22577
1370326713.03,6836,5507,48,5544,11178,8736,4496,4634,29,0,28508
1370326714.56,4401,37684,27,6008,3914,11047,4102,4891,50,0,22188
1370326716.17,5095,8384,21,2982,14441,4154,2003,5647,64,0,9393
1370326717.56,1622,4445,8,1594,2627,33376,970,779,57,0,19151
1370326719.12,3392,3913,10,7499,6612,7341,4142,2866,48,0,39620
1370326720.52,10562,12224,17,6629,6750,12456,2405,3548,41,0,15992
1370326721.84,18066,6703,29,9132,12096,11385,1757,6185,51,0,4204
1370326723.39,13371,10117,26,6439,6136,215869,7681,4840,47,0,105403
1370326724.8,5907,11306,30,6985,4853,14837,1956,2702,69,0,12215
1370326726.36,6804,21099,13,5739,12575,231968,3567,5253,44,0,213591
1370326727.72,7460,8170,24,15057,4370,7562,4667,4834,37,0,10086
1370326729.1,7095,12262,43,4507,3121,7660,4037,3655,56,0,15145
