time,alpha_high,alpha_low,attention,beta_high,beta_low,delta,gamma_low,gamma_mid,meditation,poorsignal,theta
1370477363.21,0,0,0,0,0,0,0,0,0,25,1
1370477364.2,0,0,0,1,1,28,1,0,0,25,2
1370477365.2,4475,41671,0,6343,11919,397767,6557,2924,0,25,355359
1370477366.21,4658,10629,0,4715,6156,25329,1700,2884,0,0,38720
1370477367.19,7214,7987,0,8383,5201,7010,4490,1414,0,0,25030
1370477368.19,9644,13139,0,5403,5533,20391,6100,4211,0,0,47368
1370477369.19,1774,10505,50,13073,15496,21447,9046,4664,30,0,51540
1370477370.18,9737,11783,47,8769,7052,177368,14050,9090,37,0,68613
1370477371.18,5679,4758,61,9635,5142,275473,8838,6696,37,0,34521
1370477372.18,32149,38503,43,8181,7575,406460,15760,9709,47,0,201044
1370477373.16,15676,56605,14,8228,39012,567459,16332,8185,57,0,276764
1370477374.17,17213,17392,37,34459,14354,251423,22440,11511,57,0,89041
1370477375.18,12589,7979,30,10476,7377,280527,6328,11950,67,0,46265
1370477376.15,18330,25421,40,9797,22308,902907,13149,11066,57,0,165124
1370477377.16,22087,76644,56,13924,5550,387966,9559,7704,78,0,84917
1370477378.16,17139,12731,43,17028,9405,395324,13114,12699,67,0,127625
1370477379.14,17734,36733,14,7872,9788,462520,12788,8326,51,0,273085
1370477380.15,6986,18539,26,7477,6746,47188,6118,13292,57,0,49453
1370477381.16,3293,6613,51,7955,9484,212090,4973,5513,43,0,6789
1370477382.13,13086,14592,50,5667,3563,138742,3603,5538,69,0,23879
1370477383.14,8149,33630,66,10458,29001,231754,6047,11129,78,0,103375
1370477384.14,6685,9197,53,2654,8068,665677,1970,1697,74,0,44478
1370477385.12,16194,11959,38,6992,13474,23463,3658,2397,84,0,14427
1370477386.12,2807,6175,23,3476,3611,392710,1286,2499,48,0,70268
1370477387.11,4163,2511,24,2638,5882,16720,1250,1670,40,0,25618
1370477388.11,4680,5181,44,3037,1370,17377,1489,2950,61,0,5542
1370477389.11,6754,22512,34,3984,8972,127297,1584,1233,61,0,26787
1370477390.09,36134,9589,41,5158,10089,51603,2909,3104,100,0,24280
1370477391.1,7115,7003,50,3949,11468,107816,4744,4197,100,0,16570
1370477392.1,3769,4918,41,3340,6558,176748,737,944,87,0,23918
1370477393.08,6931,3286,50,2795,2337,22579,1279,1647,80,0,10446
1370477394.09,1177,14148,44,3671,5406,222485,986,1275,54,0,50514
1370477395.09,10670,7393,30,2415,4118,11955,2813,2600,57,0,28846
1370477396.07,3755,13500,35,6430,4033,6431,2394,746,67,0,28935
1370477397.08,3324,3717,29,3386,8687,11259,4322,3484,44,0,32182
1370477398.08,9894,4040,35,3290,13565,15268,2232,2007,48,0,28456
1370477399.06,7748,3866,47,4797,6917,9687,3042,1909,40,0,28068
1370477400.06,20252,1096,47,9293,12483,66896,5388,3707,29,0,53535
1370477401.07,10230,17693,50,5830,4672,22106,2143,1789,57,0,22044
1370477402.05,2999,17587,51,2424,2415,22118,6364,2955,81,0,8332
1370477403.05,4722,5721,41,1708,5019,5436,1074,1393,87,0,15768
1370477404.06,5737,11394,37,2688,7556,5919,2313,2566,100,0,12925
1370477405.05,2383,9714,37,3989,7739,4559,1842,1410,81,0,23982
1370477406.04,5118,3963,54,5877,6837,11793,2910,2280,60,0,11717
1370477407.05,6668,8280,64,4714,2154,9048,1965,1339,61,0,21075
1370477408.03,13360,13402,66,4857,12399,13589,2768,6540,60,0,22444
1370477409.03,1149,7222,69,5841,6527,32115,2823,925,53,0,30075
1370477410.03,4657,11827,57,3940,4006,25893,1445,2893,61,0,18937
1370477411.01,18295,10062,51,5969,18158,66197,3328,4539,60,0,33179
1370477412.0,2418,8544,69,5371,2087,18650,2330,2211,63,0,5005
1370477413.02,18835,15365,61,6330,5800,222324,3228,1670,83,0,35074
1370477414.0,18137,7400,66,12907,14846,41569,4334,1618,70,0,48590
1370477414.99,8417,3161,69,12140,15578,148060,9461,6972,48,0,97339
1370477416.01,11071,53077,56,15759,11746,24669,5280,4909,44,0,56775
1370477416.99,41970,12087,67,17159,9222,389537,13182,8232,47,0,38609
1370477417.98,10666,15588,67,8781,8808,63663,9997,13436,53,0,27936
1370477419.0,8627,16294,69,4696,12185,38044,4966,2510,83,0,18296
1370477419.98,4769,7079,47,1231,625,98381,920,399,69,0,31041
1370477420.96,4053,7235,37,3654,14283,10254,2156,1983,56,0,21489
1370477421.99,27407,21857,10,2945,10436,75082,4832,4181,54,0,86490
1370477422.97,8709,16981,1,6249,11842,440736,3497,1689,38,0,104280
1370477423.95,32975,22872,16,5866,10201,67496,4039,3032,61,0,12661
1370477424.98,7267,59861,13,8169,3349,7486,2567,5011,84,0,35622
1370477425.96,19490,12448,48,19349,4824,92785,7061,4340,84,0,33734
1370477426.94,3796,9113,57,5505,6226,22284,1846,3482,88,0,39794
1370477427.96,3522,3655,57,2492,2484,320102,578,384,61,0,22960
1370477428.96,11503,4126,75,8290,9810,31115,3310,5339,44,0,16869
1370477429.93,10401,7611,66,4651,9071,30725,1343,2122,47,0,14983
1370477430.95,7805,10032,60,3803,7629,17971,2299,3253,51,0,39263
1370477431.94,5599,14595,61,3258,3405,5980,1902,4146,67,0,15119
1370477432.92,5578,13246,51,7115,16710,27502,4405,3043,63,0,34203
1370477433.94,16112,24627,53,8287,10670,69703,2081,5870,70,0,17164
1370477434.93,23083,10325,69,13187,8821,26008,2426,3568,84,0,21042
1370477435.91,11184,2317,77,4287,4151,25263,2478,2206,77,0,16896
1370477436.89,6539,5759,88,6675,5649,40883,6324,3462,87,0,7578
1370477437.91,4949,2154,81,6365,6033,14226,1492,4645,51,0,59823
1370477438.9,2892,19054,74,9332,6769,48422,4569,6018,37,0,58377
1370477439.88,4913,8865,81,6228,5808,14601,4079,1195,38,0,10465
1370477440.9,4143,7631,50,1965,3945,37945,3368,3756,23,0,50235
1370477441.89,6825,3769,51,3952,7023,34037,2508,3327,37,0,32140
1370477442.87,10778,226,43,5997,16667,469824,4888,3500,23,0,71192
1370477443.89,2856,7267,34,5250,2665,12945,1576,3386,10,0,29258
1370477444.88,948,3663,41,1402,2995,60774,964,786,10,0,18267
1370477445.86,2226,9308,34,2158,4974,145998,956,1548,14,0,29579
1370477446.88,15197,9251,29,3300,5859,24649,2399,4472,37,0,32905
1370477447.86,5650,7786,30,3101,8913,30896,2289,1311,50,0,8618
1370477448.85,4937,6471,16,812,1793,244534,793,463,47,0,66549
1370477449.87,5980,760,35,4987,4772,7413,2888,2878,38,0,23419
1370477450.85,9808,21104,51,19032,4883,781630,12424,9344,27,0,91334
1370477451.83,10360,6230,56,4537,3850,22507,4002,3608,35,0,9780
1370477452.86,11181,2381,84,2158,4519,3946,2451,1097,66,0,1949
1370477453.84,41286,13082,78,18911,20717,369555,4961,2137,70,0,184216
1370477454.82,3565,928,90,4715,7022,7082,2302,2831,69,0,5453
1370477455.85,1762,18545,80,3637,2381,30354,4449,4229,57,0,35450
1370477456.83,14162,13392,78,11690,26778,516394,5714,1093,34,0,63984
1370477457.81,3555,3443,84,4171,4522,23676,2622,2723,34,0,20937
1370477458.84,11861,20868,60,2696,6483,3133,2535,2150,53,0,20745
1370477459.82,17574,22355,61,5788,4521,27536,3063,4612,63,0,30729
