timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371359854.8,25,0,0,0,6488320,11730944,3670016,2949120,851968,851968,393216,131072
1371359856.37,25,0,0,0,5818370,14932737,5138690,7757570,16430337,1162241,14598144,1061632
1371359857.37,51,0,0,0,3113240,141317,8646913,8019200,13578497,9821952,10967808,10496256
1371359858.36,26,0,0,0,15855622,16533760,10954496,9443584,14158592,13047552,9372416,4654080
1371359859.35,26,0,0,0,9562894,3075,9310464,1329664,15351296,11032064,74240,13698816
1371359860.36,0,0,0,0,1991455,5424902,15821312,6400512,15517697,14584064,3365632,15342592
1371359861.34,26,0,0,0,5933071,592385,2713600,472832,4332800,4986112,16255232,7930880
1371359862.34,26,0,0,0,6649365,1071360,9419008,9715712,3040256,8409600,16651520,10487552
1371359863.34,0,0,0,0,9155586,15944449,8613632,4944640,412160,11954176,8456960,460288
1371359864.33,0,0,0,0,12904716,5507073,3021568,10638080,10296064,9456128,11865856,10486528
1371359865.33,0,35,51,0,3079191,4294144,16459264,992000,8523520,9048064,12190464,8717568
1371359866.35,0,53,60,0,9587732,7365632,144640,6686464,11481856,14494208,2098432,2360832
1371359867.32,0,74,54,0,4807681,14115841,7290368,13702912,7882240,3111424,7342848,13173760
1371359868.32,0,60,69,0,8348163,11587840,7689216,12074496,8994560,11014912,15468544,1377536
1371359869.32,0,63,66,0,10693146,3492356,1383681,8134401,1156096,8167424,3088128,16260096
1371359870.31,26,63,66,0,4684050,6181376,10956544,12263168,13832192,8520960,5636864,12779776
1371359871.31,0,41,60,0,6287121,365058,11101952,12669696,12884224,7094784,9506048,6621184
1371359872.31,0,8,63,0,2869771,7217921,11408128,8201728,15211776,7148032,4522496,10617088
1371359873.29,0,3,57,0,8688642,9922816,12982016,14293760,8653312,13763840,14745856,1180160
1371359874.3,0,1,67,0,1978894,12082944,7425536,8133632,11807232,15600896,7803648,13305856
1371359875.29,0,24,75,0,10520832,10165760,15140352,9966848,15537152,3678464,14288640,3082496
1371359876.29,0,38,100,0,2967041,10888704,10106112,12397056,8330496,6624000,7275776,11142400
1371359877.29,0,44,100,0,11360258,1501185,13481217,4871937,13007104,11880960,8787968,11540480
1371359878.27,0,35,87,0,3335948,10718208,11798016,7801344,6882816,10420992,2752768,262400
1371359879.27,0,13,93,0,3264001,7043840,3412480,3822336,6489856,13179648,8130304,7343104
1371359880.27,0,14,80,0,10293760,4480768,13046528,14819328,13241088,14487808,14553344,4786944
1371359881.26,0,35,78,0,10259456,13834752,14424064,3222272,1447680,12193792,12914176,8785664
1371359882.26,0,77,90,0,7346432,3608320,9372416,5311232,10030848,7608320,266496,6489856
1371359883.26,0,91,88,0,6578176,69888,4918272,14750464,10227712,12916992,13175296,10946048
1371359884.27,0,100,97,0,15613440,7541248,3147520,12725760,10032640,464384,8525568,15735040
1371359885.25,0,100,93,0,5454848,6625024,8000000,8855808,16191232,14164480,12781824,7933440
1371359886.25,0,100,94,0,2909184,12196608,11670016,526592,16128000,4204032,15928576,16057600
