timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371359523.26,25,0,0,0,4325376,1638400,524288,327680,196608,196608,65536,65536
1371359524.82,51,0,0,0,6400034,7649538,16532992,14235136,6428928,10995712,14954240,14813440
1371359525.83,25,0,0,0,1520130,12853504,1377536,1377792,13828864,10093312,14942208,8192000
1371359526.81,0,0,0,0,10785536,7238912,15484160,975616,2169856,4531968,3607296,9309184
1371359527.81,0,0,0,0,413199,12278016,7805440,2180608,11800320,13509376,9636096,12780032
1371359528.81,0,0,0,0,11485447,15509504,3152128,13961472,4916736,11733248,13501696,14943744
1371359529.8,0,34,38,0,3280395,12625664,11414784,4732160,12271872,13438464,16384768,1442304
1371359530.8,0,44,35,0,12799748,8265472,10945536,16058368,4195072,11012096,1573376,9043968
1371359531.8,0,30,34,0,7307529,15739393,13779456,9255680,9646336,13504000,3804416,15140352
1371359532.79,0,34,34,0,3905295,9986818,3576320,8167424,9579008,1855488,1910272,7541760
1371359533.79,0,30,37,0,3656455,16440320,6196224,5378304,3219712,5050368,2688768,1049088
1371359534.79,0,21,26,0,6139152,13014274,4275968,8991744,12782337,1985280,472576,4068352
1371359535.77,0,41,27,0,13369605,13149440,13642752,12138240,6562560,7217152,4854784,13959680
1371359536.77,0,35,16,0,9711361,11156992,4195328,2296064,12720640,6489088,8127232,13434880
1371359537.78,0,48,4,0,6870801,12547588,15684352,1877760,4047360,15440128,5847040,6169856
1371359538.76,0,43,13,0,4335364,5618432,594176,6300416,9968640,9506816,134400,13763328
1371359539.77,0,40,8,0,1217809,16080387,9033728,3949568,610048,11626752,5839616,8790528
1371359540.77,0,61,1,0,3118852,12946176,5836544,11929344,281856,16394752,4589824,5112576
1371359541.75,0,50,13,0,10411790,2845952,15868672,9186048,14225664,264448,8979200,3475200
1371359542.75,0,61,20,0,8208643,4895233,8824832,2112768,11802112,3435520,2033664,16454400
1371359543.74,0,75,35,0,691201,12149248,2981888,946176,14688000,674048,1379328,987904
1371359544.74,0,77,60,0,3344389,2959360,15149568,13446912,5378560,1779712,13304064,9438464
1371359545.74,0,88,69,0,4309506,14436096,9062656,2116608,8586496,9115904,854528,16580864
1371359546.73,0,60,81,0,3693062,1220096,11447296,16722432,10422272,3082240,11995136,3933440
1371359547.73,0,60,80,0,12900610,1460224,2443520,26112,5902080,9844224,6233600,11994880
1371359548.73,0,37,74,0,5448195,16681984,2372608,11998720,5903360,15273472,197632,5702400
1371359549.72,0,29,63,0,7835396,11074049,7205376,5216256,13134848,3752960,8392704,11012096
1371359550.72,25,29,63,0,12044290,14289920,16581632,6684672,6423040,16581376,12845312,14483456
1371359551.72,0,57,50,0,4086544,13292034,10817025,15765504,1772289,9810176,6778624,10234368
1371359552.71,0,57,41,0,4903438,4816384,11030784,5836288,8587776,15280128,9962496,13239040
1371359553.71,0,56,34,0,7457027,8153600,11407104,3016448,6096640,15140864,12387072,3866880
1371359554.71,0,54,48,0,11582979,3872256,1445888,13258752,4983040,14485248,16581632,15991040
1371359555.7,0,53,61,0,13666560,16137728,6123008,13919232,16330752,13378560,6753280,9569792
1371359556.69,0,47,80,0,4868352,12655616,7609088,10932480,14290688,8462336,13175552,13895936
1371359557.7,0,50,100,0,14297856,145152,11345408,35584,4856832,1839616,396032,14091520
1371359558.68,0,51,80,0,11064835,7458560,1583872,7876352,10174720,15603968,4985344,16582144
1371359559.69,0,44,75,0,10746628,46080,8999424,16423680,10041856,15605760,11405056,1574656
1371359560.69,0,44,53,0,7289089,14395648,16342528,13635328,1675520,15933952,4731904,6360576
1371359561.67,0,44,54,0,3398145,13187072,7480065,9457152,15025408,8003840,15337728,3868416
1371359562.67,0,44,69,0,3907334,3323136,12065024,4472577,4012544,5976064,9442304,4264448
1371359563.66,0,56,61,0,7332864,8088832,604672,9831424,11801600,3152896,5051648,263680
1371359564.66,0,54,78,0,216064,14964736,16607488,12361984,3685120,2892800,6099968,4655872
1371359565.66,0,53,80,0,7344896,7417344,6371584,14411264,1778688,2627840,1969664,4326400
1371359566.65,0,56,84,0,8548103,13541632,81409,837632,16729088,7488256,5249024,14228224
1371359567.65,0,67,84,0,15264512,12687360,12462080,5985024,9059840,7828480,9320192,13764608
1371359568.65,0,61,91,0,11589120,14041344,7740929,4120064,3816192,16131328,10684928,5180928
1371359569.64,0,83,77,0,5389568,15083520,12852992,13059840,14760448,4861696,2755840,8590848
1371359570.64,0,87,77,0,9241856,13507584,13900544,12936448,531200,2561280,7015424,15271936
1371359571.64,0,64,80,0,5064193,1463040,11216384,12926464,3689728,14290944,7867392,9047296
1371359572.62,0,70,66,0,1339137,6799104,14586368,6242304,13112064,12657920,16454656,4852992
1371359573.63,0,51,70,0,9422081,6213888,15626752,10527232,11602688,13969664,8784128,1837824
1371359574.63,0,35,61,0,6673158,8087297,11285248,14339328,11614976,7870976,4655616,7341824
1371359575.61,0,35,67,0,14965761,5714688,4141568,3809280,10946816,6098176,15271936,13435136
1371359576.61,0,35,66,0,500994,9061376,13312512,3677440,12193536,12061952,11666176,5505536
1371359577.62,0,51,70,0,1009152,1317888,16606720,12808960,16129280,15482112,5572608,16450816
1371359578.6,0,67,84,0,5645312,16525824,9265152,3052800,15603968,9906944,3476736,9372672
1371359579.61,0,63,93,0,1715200,2312448,2206208,3901696,1577984,2234624,592896,15336960
1371359580.6,0,77,97,0,15216384,14952960,6437376,13657088,13182208,2567168,1248000,11929600
