timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371359272.4,25,0,0,0,262144,0,0,0,0,0,0,0
1371359273.97,25,0,0,0,5046272,1441792,196608,0,655360,589824,65536,0
1371359274.97,25,0,0,0,16185863,11316225,6871296,11685632,10522880,8344576,401920,1641984
1371359275.95,26,0,0,0,7451416,13790473,8448258,14385922,992003,5275650,3620352,279552
1371359276.96,26,0,0,0,6489861,9988096,3419648,5248512,6574848,10951680,9767168,1574144
1371359277.96,51,0,0,0,5636371,4871942,2085120,277761,12945924,13479937,3565312,13639936
1371359278.94,26,0,0,0,16750609,15811074,5978112,3953664,5324800,12872192,2564096,7472640
1371359279.94,0,0,0,0,3762445,15464960,5992960,13833728,11031040,94720,6490368,8913920
1371359280.94,26,0,0,0,14242063,14017536,4704000,13714432,12616192,11222528,14823680,12065792
1371359281.93,26,0,0,0,7304473,14421508,4169218,9645057,1309697,13851648,9910016,8721408
1371359282.93,26,0,0,0,843794,2108417,5968128,6972672,16394240,7610880,14877696,16711680
1371359283.93,26,0,0,0,2699017,14254592,6105600,16066816,1318400,15142144,16188160,12321024
1371359284.92,0,0,0,0,6150150,8808712,12333824,5198592,643072,5660160,12329216,199936
1371359285.92,26,0,0,0,10821906,4711681,5815296,763392,13980672,1351680,5180928,526592
1371359286.92,0,0,0,0,6991897,2851840,11480064,5051904,9307648,5184768,16254976,12780800
1371359287.91,51,0,0,0,170786,8741633,2330624,10298624,12594176,8720896,4850688,11993856
1371359288.91,0,50,53,0,4660234,1337344,11738880,13706752,7673344,14493184,7145216,15860736
1371359289.91,0,57,70,0,16745473,796928,1186560,13981952,13006848,7674368,3805184,10224384
1371359290.9,0,66,75,0,7419925,1645057,9574400,9381376,995840,4603136,12783104,6818304
1371359291.9,26,66,75,0,14409225,2646017,14945536,8120832,11954176,6510336,13372672,8655872
1371359292.88,25,66,75,0,3897114,13998593,938240,9062144,6050048,5421568,12916736,3084288
1371359293.88,0,64,77,0,2565379,5587970,14430464,3093504,928256,13578496,5900800,8651520
1371359294.89,0,56,77,0,14326019,4722432,6752000,11142912,5510400,7865088,13304064,11665664
1371359295.87,0,57,70,0,7929111,411648,13506048,2695936,4857344,8068352,4917760,13828352
1371359296.87,0,53,90,0,7521538,1253120,6622976,6429184,13764608,16058112,14090496,9240576
1371359297.87,0,57,100,0,12580866,14200576,14099712,16016128,1781760,8331520,16516608,14090496
1371359298.86,0,64,96,0,15813125,16190721,10425856,2178816,3549440,16665088,15731456,9767424
1371359299.86,26,64,96,0,11924744,4560640,9512192,864256,16524032,4926720,6752768,2425344
1371359300.86,0,63,96,0,7863820,4846080,2377472,12156160,14454784,16076032,2964736,4787200
1371359301.86,0,61,93,0,1370376,8660736,10956544,1903872,9710080,198656,11338240,12518144
1371359302.85,0,56,84,0,15240966,11033344,11995904,3346432,14488832,9898240,13238528,2294016
1371359303.85,0,51,94,0,10677255,14622209,9511424,14800896,2978560,544000,4655616,198656
1371359304.84,26,51,94,0,11812365,229632,16520448,12985600,3411456,6423808,8454656,2228480
1371359305.84,0,41,91,0,9344770,8566784,8470528,205568,9596160,16191488,15664384,3867136
1371359306.84,0,43,84,0,8933386,4925440,7276544,11077376,4653824,12125696,4654080,16515072
1371359307.83,0,48,93,0,828459,7499008,14435072,10100736,2963968,8263680,1574912,9765376
1371359308.83,0,37,100,0,8203020,11209472,11339776,11210240,15402496,14483712,2163456,8454144
1371359309.83,0,43,100,0,4367630,14051585,6977536,606976,9078784,2309888,6032384,6226944
1371359310.82,0,43,96,0,723463,7330304,3741440,3880192,11674624,15278592,854016,12976896
1371359311.82,0,41,94,0,10657310,1107460,8501761,585984,4223232,15974912,15741184,7344896
1371359312.8,0,51,91,0,10361371,8540160,7490048,12526080,3421696,6400,10488576,3738624
1371359313.8,0,50,93,0,6617091,4332032,15598336,12063744,8067584,3867648,4718848,11927552
1371359314.8,0,47,90,0,10591244,13552384,4788992,14951680,16472576,268800,203264,9438720
1371359315.79,0,56,87,0,1378313,9479169,5178368,15319808,11357440,2264064,3613184,4262912
1371359316.79,0,44,81,0,2179594,10088704,8013568,12985344,2100736,15601152,10094592,6489600
1371359317.79,0,48,90,0,2426389,13387520,5035008,6624512,13835776,8200960,13764608,9046016
1371359318.78,0,60,97,0,3184385,3353088,11867904,1906432,14945792,13900544,6620928,5767936
1371359319.78,0,53,94,0,8290833,10410240,15485952,3349248,13910272,14755840,12520704,1508864
1371359320.78,0,67,100,0,2294281,9132544,2904064,16136448,6428928,9184256,13896192,7734272
1371359321.77,26,67,100,0,1205264,15424771,11119616,11711744,15666177,7888896,1644800,13764096
1371359322.77,0,51,78,0,12570633,9565697,3094272,139776,4265472,462848,13960960,13436672
1371359323.77,0,30,74,0,16154115,10532096,4201984,3547904,1120256,11012864,9241600,10486272
1371359324.75,0,27,78,0,4454682,8329989,10309632,16692227,1036801,7202560,13979392,12801792
1371359325.76,0,17,69,0,1120784,4993025,12209920,4077312,12851712,2628608,2427648,2494720
1371359326.76,0,37,75,0,4500497,9481217,16714496,5809408,8691712,4217856,13900800,14357248
1371359327.74,0,43,69,0,500744,14248963,10904064,4492288,2254080,12275968,13633280,854016
1371359328.75,25,43,69,0,14919171,2169600,394752,7473664,12387840,4130304,7209728,3997952
1371359329.75,0,50,74,0,6174235,14157827,13926913,4591874,6174977,4337409,6971648,8596224
1371359330.73,0,56,80,0,14330639,10487041,1219328,16639232,10135040,12145152,3683840,9841152
1371359331.73,0,38,70,0,3063821,272389,3433984,8409344,8680704,1846016,11866880,2820096
1371359332.72,26,38,70,0,1143834,9831425,7214592,4860160,12919552,6828032,6038528,5703680
1371359333.73,0,27,70,0,4246044,3284481,1907712,16658944,9334272,5442304,530688,1444352
1371359334.72,26,27,70,0,14760471,11808514,9274625,15132160,13387008,5966337,16403200,5508352
1371359335.71,0,10,60,0,9177119,4264962,9129472,1915648,6498816,10753024,1313536,2492160
1371359336.71,0,1,47,0,11197726,2450440,13139200,9068289,14620417,10713344,2966016,15995904
