timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371359655.09,25,0,0,0,0,0,0,0,0,0,0,0
1371359656.66,25,0,0,0,4587520,262144,65536,131072,0,0,0,0
1371359657.66,25,0,0,0,8335119,1073163,15424258,6976512,11619072,7418368,4266496,13187072
1371359658.64,0,0,0,0,6409734,11025922,5531136,6173440,8589056,8530432,13571072,13507328
1371359659.64,0,0,0,0,16163602,3961347,13835264,1975808,1314048,15011328,13968128,8790272
1371359660.64,0,0,0,0,9977357,2959106,3219968,9803776,11349248,1066752,15338752,7539712
1371359661.63,0,47,53,0,16131842,7357185,15174912,9058048,12654848,14360320,2295808,852992
1371359662.63,0,66,75,0,7597060,8849152,593152,7603200,8193024,14746368,2753024,1245440
1371359663.63,0,78,84,0,8274450,4684546,5661440,3915008,10372352,4015104,15797760,2820096
1371359664.62,0,80,87,0,16484650,1937926,15908096,5944576,493056,2577920,15866624,14945024
1371359665.62,0,88,87,0,14010641,5611777,5230336,740096,9054208,475904,5575168,16454400
1371359666.62,0,91,77,0,13197312,6175744,10031872,4529408,529664,11082240,3999488,16253696
1371359667.61,0,94,84,0,818435,12535296,16331776,338432,13174272,3085568,9964800,198144
1371359668.61,0,93,80,0,5671184,13787396,8225024,10556416,6492672,10693888,8848896,15926272
1371359669.61,0,84,74,0,9300994,11874305,2110720,14949120,15600896,1054464,10028800,657152
1371359670.6,0,77,77,0,3934976,3562240,6034944,6894848,11994880,463360,3278848,10945536
1371359671.6,0,81,74,0,15150080,11541248,10755584,7801088,11473408,1117696,10749184,6882560
1371359672.6,0,100,91,0,14360320,12656896,1250304,2038272,6292992,14881536,11143424,2098944
1371359673.59,0,100,100,0,628224,2703616,15948544,11282176,15341824,16059904,5967872,7144960
1371359674.59,0,100,100,0,9052160,13046016,4393728,15210496,790528,13308672,15928064,5702400
1371359675.57,0,100,100,0,5246720,10753280,14094848,3155968,14617856,331264,5571840,3081728
1371359676.58,0,100,100,0,11340800,4995584,200448,3290624,4590336,5772544,1509632,3146752
1371359677.57,0,93,100,0,10133521,10764550,14677761,12860416,9335296,12016128,12919808,1705728
1371359678.56,0,67,83,0,2833153,13272577,16652544,16128000,13376512,5967104,1180672,15074048
1371359679.56,0,61,75,0,4591619,13531136,5657088,1315072,10885888,11997952,6362112,6949632
1371359680.56,0,67,66,0,1938688,14235136,15077120,596224,12984576,1711360,2952192,15729152
1371359681.55,0,70,60,0,10309892,8454401,14295296,14553856,12068608,6885376,8917504,11013632
1371359682.55,0,96,69,0,9838336,1971456,15073792,15402752,7734784,13240832,12256000,16581376
1371359683.55,0,100,64,0,13251840,8208640,15273984,3215616,3739648,1248256,15466752,3736576
