timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371359440.09,51,0,0,0,309765,4868352,15996160,2099456,15991808,12321280,1835264,11599872
1371359441.66,25,0,0,0,6123527,8408321,8272384,10359040,13907968,8923136,12780800,1639168
1371359442.66,0,0,0,0,16756745,1836289,4285696,6582784,11808256,16462336,3415808,11930368
1371359443.65,0,0,0,0,13146894,26882,10964224,6691329,13746176,8006657,8928512,14292224
1371359444.65,0,0,0,0,16364084,7519746,8427009,3078145,13988098,4948481,8664322,13590529
1371359445.65,0,51,30,0,1520924,13338369,3564544,15678976,9558530,1704962,6140416,1207808
1371359446.63,0,48,47,0,5568515,5268480,4534016,7815936,140288,926720,7083520,16450816
1371359447.63,0,48,51,0,5199878,2426370,1060096,16698624,9197312,10929664,3178240,13245184
1371359448.63,0,41,64,0,12385799,9525506,6529537,14905344,1932800,16545024,5460480,3092736
1371359449.62,26,41,64,0,14136065,23552,9325824,10258432,11291136,3547904,6035200,5377280
1371359450.62,0,14,74,0,13113618,15856145,2998274,14109697,985089,2907649,11424256,8797696
1371359451.64,0,21,70,0,4493827,6690817,67585,8539648,10825728,13419776,1452032,6097152
1371359452.61,0,13,74,0,10680074,12215553,16276480,12092160,12122880,8929536,1264640,5573120
1371359453.61,0,24,61,0,13514014,10846980,3937281,606977,15043842,15549698,7309056,12270592
1371359454.61,0,29,60,0,16369412,4972545,13454336,5921792,4276225,16271104,8796672,11538432
1371359455.6,0,26,63,0,206347,8493312,1338624,8799232,9310976,6506752,10826752,10293248
1371359456.6,0,30,57,0,11062821,13251603,3456514,6210821,3320584,5072133,15020801,14200320
1371359457.6,0,24,70,0,6975765,4019459,10475522,5159936,9733888,16665089,712448,732928
1371359458.59,0,26,75,0,14782227,10634502,4019457,3803393,10577410,1441024,12679168,15692544
1371359459.59,0,27,70,0,5970196,11859457,7150081,409601,14330624,15999233,13060352,9122816
1371359460.58,0,27,70,0,736771,7477253,8615680,11708417,8145154,8619265,4475136,5125120
1371359461.58,0,29,56,0,12031756,5674500,1985536,4720641,11331584,15479809,6573824,5645568
1371359462.58,0,35,47,0,12487442,5487370,2475776,16511232,1827585,7688962,16033024,4137472
1371359463.56,0,37,35,0,5443077,12296704,7216640,1778944,14497536,5592320,11871232,15926784
1371359464.56,0,41,40,0,2086176,12856065,256768,15064576,9850370,13239553,9329152,9376768
1371359465.56,0,40,37,0,1998341,3111681,7483392,10821120,4809728,4346368,15277056,11208192
1371359466.55,0,34,51,0,1088783,9862913,5400064,6646016,5906176,7156736,14227200,10160896
1371359467.55,0,27,56,0,4606221,1040896,11228672,1195264,12558336,5522176,402944,15468800
1371359468.56,0,14,47,0,9439770,14570753,2044160,5976320,365056,10102528,6228736,11143168
1371359469.54,0,11,56,0,15433497,15601414,6293250,6914048,3128064,5768193,14617088,987392
1371359470.54,0,21,53,0,7617557,1263619,15467521,15699712,4898048,1274625,5453056,7081984
1371359471.54,0,21,56,0,13512213,6400257,8070401,3834880,10261249,3905536,11873792,16393216
1371359472.53,0,30,74,0,10073097,2378240,5061632,2442496,5982464,6436096,3584,7013632
1371359473.53,26,30,74,0,7137551,7380481,14853376,10011392,10649088,11530752,2696704,14159872
1371359474.53,0,47,74,0,5043733,8125442,1693184,16635649,9178881,4960259,9848320,13246976
1371359475.52,0,43,75,0,5428742,5080579,12333569,8895232,9262849,202753,8613376,2301440
1371359476.52,0,37,57,0,3266058,9533448,7546880,2689281,13059842,11063040,15557632,9245952
