timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371360401.4,0,0,0,0,14545929,7685376,15024640,8789504,14891008,7542528,4327936,2099456
1371360402.96,0,0,0,0,6122496,2910720,15475200,15546624,10099456,15478784,12193024,2492672
1371360403.96,0,0,0,0,1052929,1725697,6433024,10366976,8067328,3609088,657920,3280128
1371360404.95,0,51,51,0,5066240,4919552,9970432,16455936,4528128,13897728,2625024,8520960
1371360405.94,0,66,69,0,13380096,7868928,3219712,11609856,14091008,4332544,6555904,1966848
1371360406.95,0,90,64,0,14165248,3150336,918016,6623232,9966080,13768960,5638400,15270400
1371360407.94,0,100,64,0,15294720,12330496,6493952,2950912,6688256,7279616,6293248,4327680
1371360408.93,0,96,64,0,14426112,537600,15934720,2307072,7999744,5508864,11275776,10552320
1371360409.94,0,100,53,0,9330176,7738112,5309952,4929024,137984,733952,15209472,7932160
1371360410.93,0,94,63,0,5842176,6560256,395776,14622720,13897216,6492928,8262656,13044480
1371360411.92,0,90,69,0,3084544,15081216,8786688,10035456,4464640,9244672,12388096,9634816
1371360412.92,0,100,75,0,15744768,2164736,15926784,15939072,8655360,7016448,14878976,16253952
1371360413.91,0,100,66,0,5712128,394496,7671040,8000512,10356480,5984256,12586496,11012352
1371360414.91,0,91,77,0,2694656,7014656,13767680,4598016,2167552,11277056,3017216,13633024
1371360415.91,0,80,69,0,14428928,3293440,15796992,9837056,4002816,920832,3213312,11666176
1371360416.9,0,67,64,0,4159232,8013312,15612416,4283136,14225408,13640192,4852224,2754048
1371360417.9,0,50,67,0,8466176,16655104,6820096,14420480,7276800,8065024,14681088,11338240
1371360418.9,0,57,57,0,13635328,14747392,5508352,3088128,8852992,206336,7415296,13241088
1371360419.89,0,70,64,0,11276544,12915456,2432768,3213824,13437184,1189632,3092992,14287872
1371360420.89,0,83,53,0,4722944,6753536,13440000,2622976,9703680,530432,8981248,11601408
1371360421.88,0,84,61,0,3152896,2759168,10165248,13901568,11407872,12655360,16648960,1116928
1371360422.88,0,70,51,0,9572096,16406528,15075840,465920,14681088,4985856,6818560,11929856
1371360423.88,0,66,63,0,12794112,1116416,8660736,13440000,2299136,15799296,14551552,14288896
1371360424.87,0,66,51,0,10101248,4399616,3803904,2361344,2956032,1974784,14552832,6688000
1371360425.87,0,64,40,0,15607040,8528640,4067072,6033408,9512448,266752,16517376,3016192
1371360426.87,0,64,61,0,1195008,3676672,403200,8463616,16450048,13438976,7148544,591872
1371360427.85,0,64,41,0,3349760,15345920,8521472,6032640,14813696,5706240,1508608,8128768
1371360428.85,0,63,57,0,4000000,597248,12918016,12918784,8983808,11282432,2696192,15536128
1371360429.86,0,61,67,0,9056512,137472,7737856,4330752,4131072,5181184,15141120,2956032
1371360430.85,0,56,63,0,8586752,1910784,14430464,6300416,5835776,14028288,6949376,5965056
1371360431.85,0,51,84,0,14885888,4659456,10762240,3550720,16650496,4265728,13175808,4787712
1371360432.85,0,44,84,0,5319680,5640448,8464896,4920064,4208128,12980480,11275520,5441280
1371360433.83,0,50,84,0,6358784,13242112,1514240,1774848,4395520,16128512,1775360,10487808
1371360434.83,0,61,75,0,11890432,15012608,7604736,13311744,4396288,1448192,5053440,4131328
1371360435.83,0,63,56,0,12841216,15948544,2694400,16585984,1968128,2300928,7606528,5507072
1371360436.82,0,61,60,0,9910784,3350784,9643264,5513984,11738368,12784384,7475968,12190976
1371360437.82,0,54,54,0,1116416,7227136,8993024,12845568,7214592,400384,2954240,11601664
1371360438.82,0,60,50,0,7409664,16061696,856320,9571072,12716288,11936512,3411200,15468032
1371360439.81,0,67,54,0,677888,12657152,5054208,6493440,15997952,4925952,16266752,15337728
1371360440.81,0,77,40,0,14053120,9509632,6948352,9572352,14096640,5903872,12987648,15206400
1371360441.8,0,91,38,0,8001792,986368,2296320,1119744,14487552,12594944,5971200,5113856
1371360442.8,0,80,53,0,2689024,13637632,16267520,3415808,1445120,1317632,8197120,12591104
1371360443.8,0,80,48,0,2427392,11609344,1052160,6297600,9447680,10626816,9375744,12259328
1371360444.79,0,78,60,0,13111040,3808000,266496,16392704,7473408,1908736,6099968,15670016
1371360445.79,0,74,60,0,7543808,8980736,9372672,9245696,4855296,3479040,12918784,6754048
1371360446.79,0,75,43,0,8196864,9184768,14159872,13440000,13904128,10162944,13572864,13831680
1371360447.77,0,75,51,0,2824704,11079424,2821632,13767168,12784128,6166528,12127744,1116928
1371360448.78,0,87,37,0,4988416,12257280,4589056,2167040,3152384,14761216,5252608,16123648
1371360449.78,0,69,48,0,10032640,13707008,15937536,5315072,9832704,15928064,10886144,4984320
1371360450.76,0,81,43,0,3214080,15668480,6162944,331264,8594432,3089408,594944,267520
1371360451.77,0,80,40,0,3744512,3560192,1191936,4132096,4851456,6503936,8001280,6622720
1371360452.76,0,56,61,0,2184962,5790464,2064384,4477440,6499584,11087104,10557696,3869184
1371360453.75,0,69,47,0,2104320,2364160,15143168,15142144,8201984,1316608,3216640,2694144
1371360454.75,0,60,56,0,5448192,13513728,332544,3099648,3552000,7088384,3086080,7932928
1371360455.76,0,61,64,0,4666368,14223360,2624256,8526080,16389120,14291968,14356480,12913152
1371360456.74,0,75,40,0,69888,7674880,15534592,15074560,4924160,2563072,15667712,12652032
1371360457.74,0,70,38,0,8463360,14753792,3739136,9112576,3807488,2232832,10360576,5311232
1371360458.74,0,74,44,0,8596992,1843968,7544064,15870464,659712,598528,11144448,13176832
1371360459.73,0,78,43,0,15995904,9636096,13832192,11607040,14814208,13446400,9443840,5507584
1371360460.73,0,74,56,0,2294272,7742208,7545600,5835520,6492160,12656128,4004352,4326400
1371360461.72,0,63,74,0,12297216,6259968,14320384,15623424,16060416,14360576,13443328,4132096
