timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371360480.71,25,0,0,0,16621056,1536,8192000,5636608,5308672,10094336,11468800,3670272
1371360482.28,0,0,0,0,1590528,16721664,16523776,4395520,660224,10231552,8523008,5703936
1371360483.28,0,0,0,0,13058048,7348224,10161664,12257280,10557952,13572352,1314304,2100224
1371360484.26,0,0,0,0,12852480,12129024,9637120,9569536,921088,10230528,4130560,5899264
1371360485.27,0,30,51,0,6293760,1587968,8987648,8522496,1248000,9442816,3736832,10159616
1371360486.26,0,17,50,0,8269824,2044672,3146752,11081728,8067072,12782592,11339776,4720640
1371360487.25,0,1,60,0,4392448,6041088,12387840,15342592,1511424,5507328,396544,7406592
1371360488.25,0,7,70,0,13962752,13113088,11864064,1580288,11079424,14621952,2429696,11929344
1371360489.25,0,14,75,0,16393984,7739648,6228224,4658176,9044992,2626304,9176832,11275008
1371360490.24,0,17,100,0,7015168,6560256,9124608,3938304,1247488,5510400,2757120,7145216
1371360491.24,0,17,100,0,14159616,4730112,4927744,3476736,9372160,16190720,3351296,13239808
1371360492.25,0,11,100,0,9769984,10430464,2495488,5575424,9438720,8919040,8654592,9439488
1371360493.23,0,1,100,0,16655616,1518848,9125376,14824960,13114368,15337984,9569792,15336704
1371360494.23,0,14,88,0,6163456,14158080,1049088,6035712,12259072,10622464,2623488,2950400
1371360495.23,0,27,53,0,8852736,10643456,15532800,13571072,11275520,14883072,15403264,6096896
1371360496.22,0,37,67,0,6627584,3739648,10045440,13241856,15013120,11936256,11342592,2950144
1371360497.22,0,56,63,0,9245184,13043968,8982528,7151360,12457728,6884864,11339776,7275264
1371360498.22,0,51,63,0,8327424,3084288,10160128,3674624,8655360,14750208,14092288,5834496
1371360499.2,0,51,93,0,929024,9316352,15471360,5908224,11866112,9507072,9572608,264704
1371360500.21,0,44,87,0,12137984,15482624,12793856,5907200,333312,3022592,3672576,11208448
1371360501.19,0,40,80,0,8201472,992512,2104064,268544,11606272,15732480,7932160,13042944
1371360502.19,0,34,90,0,15337472,14422272,3539968,15146496,11470848,11931136,1509888,13174784
1371360503.2,0,34,94,0,6101248,9377024,11082240,15797760,16124160,11733760,8328192,8979200
1371360504.19,0,35,88,0,5511936,11999488,13308416,11012352,6622976,5311744,6554624,4130560
1371360505.18,0,57,78,0,15475968,9904128,2098176,9647104,3543552,3035136,10558208,12190976
1371360506.18,0,60,67,0,5061120,14034944,6031616,3874048,6425088,10557184,9439744,1378304
1371360507.17,0,50,74,0,11097600,12915968,4152576,9963520,15406080,14748416,4982272,12190976
1371360508.17,0,41,90,0,7021824,11540480,1989632,3999232,2885376,3281152,15992064,1245952
1371360509.17,0,17,94,0,9378304,15147264,11999488,16126208,2428416,3280128,8061440,2361600
1371360510.16,0,16,90,0,2896384,9715712,2892032,10291968,10358016,7281920,10224640,7995904
1371360511.16,0,26,75,0,11142656,12069632,12716032,9975296,2101504,13570816,16256000,8323840
1371360512.16,0,41,60,0,5386496,3542784,3936000,4657920,7734784,8524544,5245440,5114624
1371360513.15,0,48,70,0,7411456,14159616,867072,2816,14683136,3676160,9243904,9830912
1371360514.15,0,54,75,0,12655616,15343360,1579520,5969920,12785920,13117184,12519936,1115392
1371360515.15,0,54,74,0,15353088,6430976,15533056,13643776,7018752,10030592,14484992,14025728
1371360516.14,0,29,75,0,6643970,5154816,9149696,9925376,13920256,3477248,11931904,16320512
1371360517.14,0,35,57,0,2035456,13907968,7610624,69376,10618624,9118976,15075584,8521728
1371360518.14,0,20,67,0,6894848,1267712,2701568,10954752,2427136,8393216,6752000,7538944
1371360519.12,0,16,84,0,2630656,16325120,7675904,1815296,9182464,12981504,14354688,10420736
1371360520.12,0,35,88,0,10690816,14556672,6442496,2167296,2754048,15734528,6489856,15533824
1371360521.11,0,23,94,0,215040,3618304,10108160,11669248,1640704,7344896,1711872,14418944
1371360522.11,0,21,100,0,16255744,467712,4088832,16719616,331776,5836544,1251584,8913408
1371360523.11,0,30,81,0,13571072,6890240,3212544,7149824,9766144,14683392,8784384,14090752
1371360524.1,0,50,57,0,4402176,14493696,3540736,8137728,16654592,8276736,5964800,920064
1371360525.1,0,60,47,0,7478016,2051840,8455424,15612928,3285760,5713664,8262400,6294016
1371360526.1,0,70,35,0,15942144,6689536,9902080,10557696,8983808,4592128,9307648,13828864
1371360527.09,0,81,14,0,5512192,8461568,5375488,16123136,9247232,15536896,16452608,7407104
1371360528.09,0,61,41,0,14041856,13839872,7765504,676096,5118720,7087360,9047808,14419200
1371360529.09,0,56,63,0,6493696,7804928,9071104,4263424,3803904,14162944,16647680,12977408
1371360530.08,0,40,75,0,14372096,11946752,11116288,2109440,16517632,11014656,14485760,3081216
1371360531.08,0,47,81,0,9506560,4797952,15339008,7213312,14943744,4801792,3279104,5441280
1371360532.08,0,48,64,0,11803904,6302208,10103552,11930624,14884864,9965568,3869184,14747136
1371360533.07,0,63,37,0,7021824,10880768,11534848,11339520,10031360,5573376,3998720,7144448
1371360534.07,0,83,10,0,15469568,15804928,15599360,16715520,9111040,9181696,1509120,4195328
1371360535.07,0,77,24,0,8527104,3085056,5247744,3215616,15468544,2693888,1132800,9176064
1371360536.05,0,90,21,0,12065792,10886400,14224384,8198400,12521216,14229760,137216,10815488
1371360537.05,0,77,35,0,1981440,12663296,8929280,13571840,467200,13376768,3016448,15008768
1371360538.06,0,69,56,0,8913163,15018240,3296000,2901760,9775360,16328704,11473152,4327936
1371360539.04,0,80,40,0,6095360,14950912,3350272,5116928,14623488,6978560,1641216,4065024
1371360540.04,0,60,27,0,2579712,9060608,7800832,10816000,987648,3475456,10290176,8389376
1371360541.03,0,64,40,0,3805184,11800064,14763520,4205056,14093824,6040064,1116416,2949888
