timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371360195.28,0,0,0,0,1885704,4611845,12521729,412672,1910784,9576960,857088,1116160
1371360196.85,0,0,0,0,1897477,13754624,14124800,4990720,5133056,16062720,2165504,15994112
1371360197.85,0,0,0,0,16666624,9582336,12865538,10435072,14752000,12790016,5966336,11995392
1371360198.84,0,53,47,0,1836544,1336064,10171904,16355329,6826752,13773056,11340544,12979456
1371360199.84,0,77,54,0,15338240,598016,16048384,15194112,8339968,6637056,8193536,5047296
1371360200.84,0,77,66,0,13189888,8532480,8937985,10605312,4078080,15275264,6555648,659456
1371360201.83,0,83,80,0,9769984,13503232,8393472,16219649,5446656,3872000,12126208,6882304
1371360202.83,0,91,77,0,6557696,135168,1115648,2842624,14027776,16457216,2755328,9241344
1371360203.83,0,66,83,0,10820608,11016704,14237696,4786433,13111040,3214592,5510400,4458496
1371360204.82,0,74,78,0,5843712,12663808,9849600,15826688,9182720,15405568,2623232,14485248
1371360205.82,0,84,69,0,13769728,10032128,9329664,2830848,4526336,4922368,13830144,4851200
1371360206.83,0,83,63,0,4343808,13860864,1197312,5055488,12194304,7288064,2755328,5049088
1371360207.8,0,88,61,0,1969408,11800320,10988032,12681472,15736064,14421760,13960448,8717568
1371360208.8,0,94,64,0,3474688,6431232,16327936,8592641,1184768,13117952,13633792,14092800
1371360209.81,0,100,57,0,3085824,13639168,6567936,6497792,11082752,3488768,2362112,15141120
1371360210.79,0,94,66,0,8395264,7474688,3514624,9244160,9051648,3878912,3999488,7472128
1371360211.79,0,94,60,0,13318656,12986624,5382144,284160,7411456,5770496,2886400,13698560
1371360212.79,0,100,54,0,5312000,10228992,8344064,30720,15143168,13320960,8785152,67072
1371360213.78,0,94,51,0,10501120,13027328,3885824,5194496,16719104,1991168,3476480,9308160
1371360214.78,0,80,56,0,13517056,14336,7924736,2919681,10622976,11744000,14550272,1314304
1371360215.77,0,83,56,0,8784640,12337152,14103552,6844672,13767936,661760,3737600,15664640
1371360216.77,0,83,54,0,14227712,3284224,9577216,87296,9377280,1190912,5907456,460800
1371360217.77,0,70,66,0,9644288,12197376,11347200,6140160,5972736,2365952,6359040,12257024
1371360218.76,0,81,56,0,7747840,1722368,10793216,5121024,11753472,7025664,4457728,4000256
1371360219.76,0,78,63,0,10892800,10035968,16590848,1504512,8718848,11999232,11798272,4524800
1371360220.76,0,67,70,0,14443776,12389120,10095361,14867200,5054720,2439936,3936000,9701888
1371360221.75,0,67,69,0,13591808,3162112,5326592,3794432,6632960,8333056,16058624,13764608
1371360222.74,0,53,81,0,10038272,14828544,13445634,12219136,9112832,9249792,5510656,10748928
1371360223.75,0,47,81,0,12002304,5320192,15692288,2771201,8010240,11670528,9702656,11470592
1371360224.75,0,38,84,0,2957056,9112320,8041216,9499904,6818816,10753792,8065024,10356736
1371360225.73,0,38,80,0,10758144,9328640,15341824,15424512,2692096,8591104,13568512,5048064
1371360226.74,0,50,77,0,2914304,12651776,5729280,15644160,4854528,7745024,12782080,14880256
1371360227.72,0,56,75,0,12473344,16262656,5737984,6688257,3100928,16065280,12125696,1771008
1371360228.72,0,61,67,0,7812608,11941120,15417088,13879296,7538688,14161920,12390656,12193280
1371360229.72,0,67,70,0,12334336,11742208,4131072,13065728,1576960,14032384,15602432,1050624
1371360230.71,0,57,66,0,11353088,9464576,2982144,9283328,3083776,5117696,6358528,3541504
1371360231.71,0,66,63,0,5585152,1263872,14240256,5010944,13900032,9316608,1705472,13829376
1371360232.72,0,80,51,0,14166528,1975296,8458752,13837824,10101248,10820352,15336960,6488832
1371360233.71,0,69,60,0,8523520,1520896,7171584,3177217,2167296,470784,9176832,5243904
1371360234.7,0,69,63,0,4005376,10566656,4626432,9894912,9442304,16063744,7669504,13435904
1371360235.69,0,69,64,0,15810304,4728320,10767616,14195712,4538880,9905920,6818560,15401984
1371360236.69,0,60,77,0,3890944,3614208,15286784,9364224,16256256,272384,14222592,15860992
1371360237.69,0,63,70,0,12403968,6705920,6041600,15615489,16061440,15217664,5967872,263936
1371360238.68,0,69,61,0,920832,1857792,13792512,8800256,4880384,8068608,856064,16254976
1371360239.68,0,67,66,0,5377280,12395776,8158464,9350912,8197888,15343616,10227456,12192512
1371360240.68,0,63,66,0,1462784,6168576,15829760,11309568,1776384,15800832,6756096,7540480
1371360241.66,0,56,69,0,6692608,7223552,11474688,5864961,4721920,11934208,14619136,9766144
1371360242.67,0,47,83,0,951296,14361856,7796736,16302592,15928320,11409152,11278848,2360064
1371360243.67,0,48,80,0,14293760,7877888,11286528,8572928,11674880,14034176,6170368,3212032
1371360244.65,0,60,69,0,11479296,14566144,15670528,6379264,10621440,6107392,7868160,1902848
