timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371360092.91,25,0,0,0,8349952,7813376,3346176,12453376,16515584,5571072,8126464,15859712
1371360094.48,0,0,0,0,3532814,9448961,7419136,11298304,4932608,13377024,10229248,8259328
1371360095.48,0,0,0,0,1534208,10460160,7288576,5969408,13646592,7613952,10817280,5835520
1371360096.47,0,0,0,0,14427143,15859713,8164864,1560833,7838976,9861888,7999744,5648128
1371360097.46,0,43,38,0,3630596,15134976,11079424,7970560,1986560,10565120,13964800,15404800
1371360098.46,0,43,21,0,13854728,14971648,16320512,4656128,2163456,1248768,13306368,11732992
1371360099.45,0,38,8,0,8870918,3080195,16733952,7234560,6314752,1720576,4403200,8465152
1371360100.45,0,30,7,0,9979905,6626817,29952,2381056,818944,8726016,10759680,11276800
1371360101.45,0,14,1,0,3093505,6958848,11141376,6425088,12979712,6816512,16057600,1442560
1371360102.44,0,38,4,0,14954752,12458752,11862272,9967872,9115648,6363648,14751232,6686464
1371360103.44,0,48,21,0,6605057,11678720,16260352,12595456,6306048,9835776,13176576,7409920
1371360104.44,0,63,20,0,3546371,8475136,11278592,11672320,16129792,1383168,1245952,13829120
1371360105.43,0,74,23,0,9599235,4118784,15015168,2629376,12544,16129280,14881024,7741952
1371360106.43,0,47,14,0,14048264,1481985,14436352,4335104,13047808,10696960,203264,5904896
1371360107.43,0,38,7,0,2875904,10894592,4524800,4459776,11864064,3737344,11993856,6423040
1371360108.42,0,53,16,0,12081152,2298624,15598336,9056768,3937024,13117440,12785920,9438976
1371360109.42,0,60,35,0,10364417,5271040,6234624,14381824,4601856,6304000,5709568,11013120
1371360110.42,0,57,47,0,545281,2409728,9190912,15152384,3808000,7281664,14489344,13045248
1371360111.41,0,66,57,0,11350528,12613376,7883776,6563072,7474176,15869184,10360832,14551808
1371360112.41,0,50,64,0,7874816,3808512,16135424,11666944,1377792,7082240,1710848,15144192
1371360113.39,0,48,61,0,5247234,2328832,8333568,16341760,6832384,3090688,16517888,4608
1371360114.4,0,64,64,0,1317888,1780992,16525312,15860736,15732736,7870720,14163712,5441536
1371360115.4,0,83,50,0,8986368,9311488,10029056,12914176,9706240,5513984,16125184,12060928
1371360116.39,0,94,40,0,4401152,10231552,4391936,13447680,15602432,11544576,6098944,984576
1371360117.38,0,94,44,0,6057728,9573376,6426112,10423552,11535872,15206400,12453376,9109760
1371360118.38,0,93,51,0,11288320,13442816,7874304,1315328,3148288,9640960,538368,12781312
1371360119.37,0,67,74,0,9257216,11945216,9411328,8200960,3157760,9905152,3609856,4654848
1371360120.37,0,67,78,0,1133312,7541504,16331520,3610624,9705984,7482880,5510400,12323584
1371360121.38,0,66,69,0,15542784,4079872,268288,5574912,462080,8196352,12586240,14420736
1371360122.36,0,67,50,0,3388162,4675072,11342592,8325632,7672320,3090688,3475456,13304832
1371360123.36,0,56,44,0,2214656,2337536,8551936,15432704,10509312,8067584,13965312,13307392
1371360124.36,0,23,37,0,8770564,2460673,174336,15942144,11152896,16325376,7738624,5255168
1371360125.35,0,24,43,0,13069312,339200,13180416,11478016,8192,10360320,9377792,6690304
1371360126.35,0,3,47,0,14077186,12472834,9543168,2629376,14887424,4667392,465408,15994368
1371360127.35,0,17,48,0,12702723,993792,16664064,9061632,15419392,3416064,9183232,14681600
1371360128.34,0,23,29,0,10461698,4758017,3019776,10892032,15420928,10821120,12061440,9308672
1371360129.34,0,29,24,0,69120,5054720,4785920,10755328,12128512,1381632,2952960,6817024
1371360130.34,0,43,41,0,14890496,4526080,9241088,4793600,14554368,3279616,13109504,4983040
1371360131.33,0,41,40,0,16592128,14228224,16582656,1578496,5113600,9046528,8130048,5638144
1371360132.33,0,69,60,0,7947520,5837824,10227200,4720896,13501184,8131840,16647936,10421248
1371360133.32,0,63,64,0,11804416,12402944,15076864,7745024,1248256,13178368,12583680,13370112
1371360134.31,0,61,74,0,6435841,7231488,1601792,12881920,8141312,6502144,14357760,5704448
1371360135.32,0,77,69,0,15012352,13766144,14877184,2691840,8718336,1184512,594432,7997184
1371360136.31,0,69,77,0,15472896,7410432,15537408,14027520,13633280,2232064,3608064,722944
1371360137.31,0,57,81,0,7338240,9254912,10231040,11806208,3346688,7211520,16712960,3080704
1371360138.3,0,74,64,0,15152128,16587520,6494720,6489856,11012352,14425088,13895168,5375488
1371360139.29,0,69,57,0,9680905,15543296,9113344,15469824,789760,14228992,7673344,16648960
1371360140.29,0,64,43,0,16710405,10260992,599040,1123840,14100480,16067072,7482112,13437696
1371360141.3,0,66,35,0,5112577,3652096,5781760,15288832,5066496,12066048,10096128,2756864
1371360142.28,0,69,26,0,12258816,4000768,10487296,7670528,13770240,15339776,15338496,11601152
1371360143.28,0,48,34,0,11242763,2668545,3776000,14116352,15415808,11025408,11214336,7343104
1371360144.28,0,41,34,0,4975361,5097472,13581056,11017728,1910272,10166272,14551552,4523776
1371360145.27,0,51,29,0,6337792,5678848,1387008,12401152,9380864,3355648,5906944,13568512
1371360146.27,0,43,48,0,5253888,14950144,4271616,11149568,789504,13050624,2492928,11339520
1371360147.27,0,57,57,0,14833920,11540736,10368512,12192000,9310976,15407104,15401728,10946816
1371360148.26,0,61,66,0,13179136,13057792,6753536,15279872,923392,14094336,3805440,2557952
1371360149.26,0,69,61,0,7822592,15873024,16191488,6555904,13702400,4004608,12586752,5309440
1371360150.26,0,61,54,0,10703616,14698496,727808,12032,1644800,13114112,11014400,13501696
1371360151.24,0,51,44,0,10655492,13159424,9257216,7365120,13184256,10038272,14750720,1252096
