timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371617563.44,25,0,0,0,851968,131072,0,0,0,65536,0,0
1371617565.01,25,0,0,0,10092544,7929856,2031616,3080192,917504,655360,917504,393216
1371617566.01,25,0,0,0,14197270,7934487,11040260,5633280,1793024,8372736,13833729,12412928
1371617567.0,0,0,0,0,10287115,16664832,5415936,10176000,6503424,4923904,12989440,9182208
1371617568.0,0,0,0,0,8938257,6307589,14079232,6248192,6977792,2326528,5680640,14788352
1371617569.0,0,0,0,0,2117900,11931400,10303744,11637249,4257026,1618688,10008064,6896128
1371617569.98,26,0,0,0,8247554,3387649,8349184,4399360,9451776,266752,12125952,13175296
1371617570.98,0,30,50,0,3100967,11012358,738309,7378946,10492417,12947968,10993408,15618049
1371617571.99,0,27,43,0,12757269,6024455,15426561,15949056,637952,293376,5206528,6938368
1371617572.97,0,47,41,0,16621061,16323335,2916866,15788032,10749698,13721857,8746752,4483584
1371617573.97,0,50,44,0,5749264,5614081,1869568,4416768,13903360,4205824,3482880,10825728
1371617574.97,0,80,35,0,4330256,4778500,13736704,12846083,3591937,12356097,3895808,10782976
1371617575.96,0,100,40,0,1983233,3410688,852736,4850176,66048,4194816,10813696,11141632
1371617576.96,0,100,43,0,5947659,15083265,1912064,3512320,8209408,2448640,8207360,1974784
1371617577.96,0,100,40,0,6628360,14331905,11098880,6449664,15813120,3106816,12792320,1521152
1371617578.95,0,93,41,0,54786,5726465,895744,14037504,4601088,5182464,14951168,12925952
1371617579.95,0,94,40,0,9935876,10282246,3425537,14844673,16499969,7634177,1997569,11351041
1371617580.95,0,54,47,0,8987655,7164674,5870593,4768512,9068800,7087872,9705984,3482112
1371617581.93,26,54,47,0,14191877,3847681,6620672,12528128,2694144,14556928,5904896,13637120
1371617582.94,26,54,47,0,862209,11906818,9924864,13793536,6709248,9574656,5376,333056
1371617583.92,26,54,47,0,7681026,15578881,10582016,5713664,10232064,16661248,9641984,13768448
1371617584.92,0,54,30,0,13049356,16209930,12163840,3240192,3434241,4112898,3272448,10764800
1371617585.92,0,66,44,0,845338,5211652,4334091,13520642,3770113,13639937,1011713,14721025
1371617586.91,0,29,54,0,2924555,6891266,14231553,16376576,3315200,10888448,3482368,9860608
1371617587.91,26,29,54,0,13902348,11421445,918273,14898689,3422720,9216256,9260544,14245632
1371617588.91,0,56,56,0,16261145,9889792,16005377,8311552,13375233,11755008,2571264,6048000
1371617589.9,0,51,78,0,16580374,4624908,14856201,16299779,8610562,7625476,5195010,3296259
1371617590.9,0,44,69,0,2151443,15154950,9392132,8651010,11798529,12030720,10180352,15674624
1371617591.9,0,81,61,0,16290816,7168,15666176,2754304,13701376,6687232,8130304,3476480
1371617592.89,26,81,61,0,10480132,2995968,10214912,1399040,14436864,9249536,2231808,10890240
1371617593.89,0,64,44,0,3608340,15533331,4318721,14842625,1352193,8204289,6460417,1533953
1371617594.89,0,53,40,0,16533011,14864900,11383041,7698433,181505,13621760,480000,1338112
1371617595.88,0,83,24,0,15205138,356101,104960,13272576,14716928,10382337,15306752,4128000
1371617596.88,0,54,26,0,9361684,7973896,16238597,7161345,9784071,2611200,5619456,6716928
1371617597.88,0,67,40,0,3379209,2820,1404162,7695105,571648,8831232,14209792,10345216
1371617598.87,0,75,30,0,8267550,2052106,14709249,13143552,11638529,447745,6194944,6900224
1371617599.87,0,61,43,0,6637062,5226753,13405696,16488448,2238976,13125888,7151360,1707264
1371617600.87,0,74,43,0,4939781,15712001,5138688,12547328,15939328,6635264,8589824,6697984
1371617601.86,0,61,26,0,7030536,6723848,15586560,4492800,15101440,7305728,9875456,13317376
1371617602.85,0,61,30,0,1161476,1222146,7783424,749056,1826560,1217024,3949312,16257536
1371617603.84,26,61,30,0,16151828,9989889,1399298,11868929,1329664,1672448,7255296,11062272
1371617604.85,0,69,34,0,13742595,3229952,4202240,7022592,14159104,1316864,1843456,3541504
1371617605.85,0,60,35,0,7265057,4816658,5253384,15137281,8228099,2993665,15724801,16062978
1371617606.84,0,60,48,0,11397680,12353542,6751489,13878531,13668866,4756992,2978561,3709184
1371617607.83,0,61,38,0,13638682,1598722,2115840,7014656,16660224,4288256,6373376,14628864
1371617608.83,0,48,40,0,5529871,10831365,1253379,3120133,12116484,9912321,12318720,12202753
1371617609.82,0,67,47,0,12759305,11557888,10173440,9273088,10768384,4401920,9847552,340480
1371617610.82,0,83,29,0,7619609,13597189,12129792,16496384,1335809,10665472,9082880,14922752
1371617611.82,0,63,38,0,2455818,3405056,4338432,4791296,3938816,15799040,13177856,13307392
1371617612.81,0,51,38,0,4912135,6501120,9310464,269824,13894144,4195584,11928832,5244928
1371617613.81,0,38,29,0,8956163,7355914,5509124,13023744,9455362,4209409,14577153,1895168
1371617614.82,0,37,34,0,16659983,2167560,13194240,1452801,9337089,5111552,8707328,7568896
1371617615.8,26,37,34,0,8372993,12731136,13635328,3939840,13178880,399872,667904,15406080
1371617616.8,0,64,41,0,5530387,5168906,1907207,11719940,11873026,13741829,2581765,9809411
1371617617.8,0,81,37,0,15184667,13575693,16034564,2489603,13887489,11442178,15219713,14743299
1371617618.79,0,77,48,0,4853269,16390918,10941442,5439238,12598530,10485248,4149761,5937409
1371617619.79,0,51,60,0,12169218,14448901,1014529,14457601,11736321,6701056,4214784,8617472
1371617620.79,0,29,69,0,9982232,5696516,8843012,16651784,6065153,1138433,3663616,15409921
1371617621.77,0,41,66,0,1520675,15506432,4345088,12150016,8484608,15595008,12575744,3341312
1371617622.77,0,54,61,0,12010516,11972356,9071364,3560449,1201921,2708226,12508674,409346
1371617623.76,0,53,50,0,2305052,2363415,10466306,12777216,14096385,6203648,12254976,3706368
1371617624.77,0,47,38,0,3430153,12191749,15206402,9432832,8013312,10264832,6315008,13789952
1371617625.76,0,24,38,0,6954513,766469,12382209,10724608,3578624,11336960,9214720,7610113
1371617626.75,0,17,44,0,10394373,15672576,2242048,6950912,11601408,13307136,6292736,9638912
1371617627.75,0,38,57,0,1527305,10147591,3986180,3437315,8183811,9725954,13703425,2833153
1371617628.75,26,38,57,0,8559638,2986499,15575808,15744256,798465,11532288,5372161,3495937
1371617629.74,0,30,60,0,2296325,6001156,3615234,10032385,4613376,4545024,8670720,4792320
1371617630.74,0,26,75,0,8104961,13069824,11236608,159488,5579776,5051904,3542528,792064
1371617631.74,26,26,75,0,9937445,11954212,2019590,16147461,4381445,11748610,5325057,16083969
1371617632.73,0,16,69,0,6789377,13592832,11426048,7148032,4526848,7932928,8193536,2816
1371617633.72,0,14,47,0,10211113,7510282,2583552,2971392,5541377,8736257,7460865,13737985
1371617634.73,0,23,40,0,452870,9904897,5852928,2232832,8726016,1778176,4723968,9381632
1371617635.72,0,40,23,0,5927434,5103360,7683840,8794624,11879424,2908416,15962112,3619840
1371617636.72,0,60,13,0,3237635,9277184,10633984,14950400,12820224,13322496,5971712,4989184
1371617637.72,0,66,37,0,11825153,9573632,15467008,2627072,11929344,8325120,15860224,10291200
1371617638.7,0,75,38,0,1633039,525315,2009344,6209024,1503744,2737664,16431360,6999552
1371617639.71,26,75,38,0,2257160,10462208,4030720,3037440,11608320,6748928,14110720,937472
1371617640.71,0,78,30,0,12570125,11592960,1454080,12265216,12819200,14973184,15547136,1316352
1371617641.69,0,61,27,0,6442000,9419271,16107520,3735040,1237504,1747456,2383104,565248
1371617642.7,0,53,23,0,2524170,2714629,13300481,3243777,6215937,8250112,14117120,4948992
1371617643.68,0,47,47,0,9405960,14236928,2586881,5884160,6572288,8994560,14958336,9248256
1371617644.68,0,30,48,0,16529667,15190528,7341312,15347200,16523520,14818304,2757632,16323328
1371617645.68,0,35,57,0,12054019,199424,2491392,852736,1179904,12124416,14614784,11206912
1371617646.67,0,35,64,0,7539204,5387521,6479104,2120704,5400576,10173952,1665280,8798976
1371617647.67,0,20,37,0,15647259,9424141,7241986,8743936,7156993,6523392,10134272,10959104
1371617648.67,0,30,47,0,900097,7800321,16356352,14719744,10980608,15704320,15283968,5455360
1371617649.66,0,20,37,0,3424517,13368838,4545536,9776385,5259008,10832640,10190592,6235393
1371617650.66,0,13,35,0,15825921,9391361,13852416,9599232,12788992,9379328,2035968,7151616
1371617651.66,0,21,37,0,7423239,1301509,16284416,15537409,1679616,14118912,9284608,12873728
1371617652.65,0,1,26,0,12023554,7662337,536832,12665344,4528896,16323072,3411456,3026432
1371617653.65,0,1,29,0,10483465,8845064,11558402,4151296,13680896,11440384,5589504,12141312
1371617654.65,0,16,24,0,9961478,8950530,489984,12064257,14547456,14350336,4213504,14039552
1371617655.64,0,44,26,0,7134727,2325249,9996544,6898689,2387714,11494146,6971394,7854592
1371617656.63,0,48,43,0,7416085,9764364,6899212,4040967,775938,2704385,1521921,15710208
1371617657.63,0,56,44,0,9905175,247819,6475265,1225474,7513089,442369,14884354,9436672
1371617658.63,0,56,44,0,3702286,13337092,8875264,10414593,190976,16367361,12775169,10798849
1371617659.62,0,37,47,0,11695892,9310729,236546,520193,16383233,4239873,11369473,388608
1371617660.63,0,44,34,0,11212808,2525188,9683200,5413376,9323776,223488,11691776,2312960
1371617661.61,0,48,24,0,11292175,7529478,10677760,15304448,420609,10041601,15443456,875264
1371617662.61,0,23,23,0,700940,11119878,6312449,2851072,11824640,607744,13651968,12199680
