timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371617978.17,25,0,0,0,4849664,196608,131072,0,0,0,0,0
1371617979.73,25,0,0,0,14730240,7341824,7602432,1311744,12780032,1836032,5767424,6946816
1371617980.73,25,0,0,0,1541904,756748,13558017,932096,16283648,11025664,16658944,9586688
1371617981.72,0,0,0,0,15876352,13780992,4723968,12523008,3555584,5314304,10488832,8651776
1371617982.72,0,0,0,0,11739149,13343745,2254592,10188288,13586688,15733248,8923136,12454656
1371617983.72,0,0,0,0,5587968,8102912,13585664,8597760,7544320,7873536,201728,5639424
1371617984.71,0,43,30,0,9828096,14786304,11800064,5314048,3347968,12848896,16581632,11011584
1371617985.71,0,40,44,0,12661508,2321920,5520384,1711616,6893312,16648448,14942464,2163200
1371617986.71,0,44,67,0,3038721,8108544,326656,14566912,11883776,15544576,13896192,16188928
1371617987.7,0,57,81,0,3465473,502016,11212800,13799424,12723712,2703104,2295552,14550784
1371617988.7,0,78,94,0,7280896,2166784,10427136,15468288,2302208,16657920,3213568,12321792
1371617989.7,0,100,100,0,14615296,3742208,5249536,3155456,9898752,9387776,11275264,3539968
1371617990.69,0,100,88,0,8133632,8480512,11355392,7279360,13442560,7022848,7277824,1443072
1371617991.68,0,100,97,0,10498304,4989952,13720576,5245184,329984,15739648,6949120,9437952
1371617992.69,0,100,77,0,7544064,1258752,9701376,2561280,13702656,16553472,13633280,11796992
1371617993.67,0,94,60,0,6103808,3754496,6499072,10424832,4081664,1783552,15860736,11207680
1371617994.68,0,81,54,0,15028739,9848832,8530944,15409664,5914112,2362112,4587776,1311488
1371617995.67,0,84,34,0,459520,4929024,14877952,10363648,10945792,3162368,13569280,263168
1371617996.66,0,78,56,0,12857344,2956288,1973760,5114880,7867904,3945728,11863296,11469568
1371617997.67,0,70,80,0,9306880,3481856,14116864,6306816,13831168,13508096,16712192,8914176
1371617998.65,0,83,69,0,10629120,2911488,1656832,1836288,4003072,11154944,394496,16515328
1371617999.65,0,74,90,0,15408640,8397824,13647616,16332800,15467776,16065280,12388352,7078912
1371618000.65,0,41,69,0,10382082,15319552,5116416,13897984,7803136,6423808,15598080,7274752
1371618001.64,0,50,56,0,1513472,5968896,13183488,15599360,8522240,4659968,7867648,9242112
1371618002.64,0,60,60,0,7210240,9505792,9832960,13049600,4590080,12137984,10947584,1508608
1371618003.64,0,60,41,0,11540224,10958592,3869696,15870208,9050880,5445120,7868928,8062208
1371618004.63,0,87,44,0,3356416,11956480,6625280,12456960,9572864,8606720,5310208,16515840
1371618005.63,0,94,23,0,8014080,13381888,7603968,6164736,1444864,15025920,13635840,9569024
1371618006.63,0,84,20,0,1327367,5628928,11838464,7218944,8213248,490496,9177600,11666944
1371618007.62,0,90,34,0,2036224,3281408,16413184,11880192,337152,6835712,15403776,6489856
1371618008.61,0,87,48,0,13382144,12727296,3552768,15149056,8462592,5913344,3605248,9830656
1371618009.62,0,75,54,0,9756416,15179520,3739392,3366144,2209024,14435840,14620928,68096
1371618010.6,0,64,51,0,2304004,8649473,2429184,4578560,4546560,15220480,4133888,2032896
1371618011.61,0,57,47,0,12219138,8988160,16016384,8471808,12799488,8727296,10096896,5049088
1371618012.6,0,51,47,0,8139008,19712,15011328,9910784,2560768,7739392,396288,13632512
1371618013.59,0,38,66,0,13570821,11758080,289280,13388032,13578496,14355968,6620672,1770240
1371618014.59,0,56,70,0,11018496,9374464,3544320,1908992,1977088,6304000,4130304,15532800
1371618015.59,0,53,69,0,12267264,466176,15873024,14758656,5654528,6755328,12191232,67072
1371618016.58,0,53,78,0,10983424,2055680,14454016,11703808,7703296,5322240,8851968,3147520
1371618017.58,0,50,56,0,3402260,11942404,12802816,10280960,14701824,13709568,5376512,1511168
1371618018.57,0,47,56,0,14042624,7159808,3418624,2560512,16648192,2243840,10815488,12124928
1371618019.57,0,54,44,0,4599296,14688000,16519680,14552832,2825984,7740672,3605760,919808
1371618020.57,0,66,24,0,1445888,10621696,12260864,397056,15227136,269056,14681088,10159872
1371618021.56,0,90,30,0,1968128,13319168,6110720,15864576,11679744,9526784,15205632,7472640
1371618022.56,0,66,23,0,13046021,10368002,12608256,6302720,14756352,10033408,7734784,14156032
1371618023.56,0,57,34,0,2464256,5976576,2434304,2232320,12059904,10358528,7668480,15990784
1371618024.55,0,53,47,0,4727040,10234880,1253632,12654592,13439744,1316352,9635584,7734016
1371618025.55,0,47,57,0,12789504,10624256,14166528,6306304,2237696,13642496,1902848,5702400
1371618026.55,0,67,67,0,4069120,4538880,1323776,2570240,3227136,11486976,1049856,4719616
1371618027.53,0,66,69,0,3351307,1270016,8339456,9323520,4663808,4858368,5180672,10880256
1371618028.54,0,66,80,0,5266432,6295808,2102016,10440960,14621440,5183744,3150592,11076096
1371618029.55,0,54,83,0,1206784,14054656,12471808,14089984,5140736,6037760,12848384,12454400
1371618030.52,0,51,78,0,9519361,5125376,3541248,5248512,7213312,12720128,6553856,9437952
1371618031.53,0,51,91,0,14811648,4071936,5169152,9443840,8981248,10563072,854784,14419456
1371618032.53,0,61,70,0,5644544,5248768,13372160,3742976,15543296,16066816,15075584,8848640
1371618033.51,0,69,41,0,6491392,432128,11600896,7870720,6562304,2566912,10159872,8062464
1371618034.51,0,64,48,0,1957889,2764800,9968640,6820352,6424576,11603456,5243904,9502976
1371618035.52,0,81,13,0,5909248,14628608,15732224,16192768,10231040,12807168,7013120,2359808
1371618036.5,0,84,20,0,15537920,2237696,1592832,5649920,2374912,14189824,4589568,3539456
1371618037.5,0,88,43,0,11013632,11214080,2889728,10572288,10633216,9316352,12847104,14877440
1371618038.49,0,91,43,0,14228480,15935232,1969920,3952640,8794112,4727040,7473664,13894656
1371618039.49,0,63,66,0,6100481,6050048,1986816,15932416,11733760,5834752,12780288,16122112
1371618040.49,0,54,78,0,12327936,16521728,4754432,4469504,12986112,12598784,15270912,3737088
1371618041.48,0,56,69,0,15800832,1911552,11929344,7415040,8395520,8134400,12322560,14419712
1371618042.48,0,56,61,0,3287296,2182400,666368,16714240,10623232,1385984,1639168,3147776
1371618043.48,0,57,41,0,176642,3645440,204288,10685952,12983040,12126720,1900800,9634304
1371618044.46,0,56,40,0,5967360,6629120,13199616,9705472,6037504,13510912,1443072,16057088
1371618045.47,0,61,43,0,4140288,10030336,2688768,10491392,8390912,15800576,1377536,1442560
1371618046.47,0,67,47,0,3543552,12327936,9444352,5316608,3288832,3356160,8917504,7472384
1371618047.47,0,77,63,0,6821120,10957568,12288,6829056,5581056,16520448,3605504,12977152
1371618048.45,0,91,47,0,2443264,9774336,1121024,16654592,3674368,8949248,15664640,10813952
1371618049.45,0,87,53,0,7749120,6231296,14308352,7570944,483584,5660416,16713984,10093312
1371618050.44,0,75,60,0,9113856,15353856,15209728,13779456,4395264,334336,10619392,11928832
1371618051.44,0,66,54,0,8260103,14362882,1331457,6965760,6391040,16659712,1118464,12650496
1371618052.44,0,60,63,0,3215104,2892288,5572864,14832128,15796992,22016,10226176,2688768
1371618053.43,0,57,51,0,3505667,7707648,15743744,7619328,7090944,11425024,7869184,1443072
1371618054.43,0,43,56,0,2310658,7456768,1869312,2537472,2899968,11013376,15734272,1536
1371618055.43,0,63,64,0,12390656,10487808,1969152,4992256,199424,11281408,4196352,5244416
1371618056.43,0,57,74,0,7024640,6041344,12218880,3415296,15271168,12730624,14946304,10945536
1371618057.42,0,63,83,0,13643520,13708544,3570176,7286784,5970944,5008896,14615296,787968
1371618058.4,0,69,66,0,717569,15779842,983809,13062144,15453696,9648384,1314304,4196608
1371618059.41,0,48,51,0,10686233,7096324,10493185,9332992,2471168,4537344,4004096,1706496
1371618060.41,0,47,34,0,14686208,9062912,3674880,6429952,8855552,8858112,13437184,6095360
1371618061.4,0,29,26,0,6863617,7166464,13832192,15805952,15077888,9505280,7799808,3670272
1371618062.4,0,44,48,0,16455168,12518656,1653760,12129024,11667968,12327936,7932672,66560
1371618063.4,0,69,64,0,2299648,1776640,459264,13936128,10553856,886016,16255232,7864832
1371618064.38,0,56,88,0,4462336,4721152,12976640,16618240,1980928,11537408,12388864,1967104
1371618065.39,0,64,84,0,919040,6518016,6764800,16587264,11998976,12461312,984320,16320000
1371618066.39,0,54,67,0,16628228,13922048,5709056,6105856,7545600,5968128,7078656,7078400
1371618067.37,0,37,64,0,4592384,4811776,4478208,13443328,15928576,13374208,1117952,13371136
1371618068.37,0,40,50,0,15797504,997888,12589312,15475456,3351296,8981760,4261888,2558464
1371618069.38,0,27,74,0,15156224,8326400,11409920,3463936,4145152,1117696,14683136,3932928
1371618070.36,0,41,77,0,7538433,15151360,15084800,7289088,4073984,9324032,920576,12977408
