timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371616970.05,25,0,0,0,0,131072,65536,0,0,131072,0,0
1371616971.61,25,0,0,0,65536,0,0,0,0,0,0,0
1371616972.61,25,0,0,0,11805977,4454680,2059265,2825985,11750401,8650240,2524928,6245120
1371616973.6,0,0,0,0,13623296,6274816,8392193,941056,12145920,4156416,14292736,13109760
1371616974.6,0,0,0,0,16511754,7057408,10980864,11778304,5143296,4467200,5054976,9766912
1371616975.6,0,0,0,0,306703,6923782,12165632,14701569,2041345,4881408,4865280,726016
1371616976.59,0,40,30,0,8206601,14959361,16665856,12518400,13574656,6629120,15665664,6753792
1371616977.59,0,27,13,0,2143746,5657088,3868672,9110528,7740416,1246208,1967104,5570816
1371616978.59,0,38,14,0,16385287,15992579,13588481,13862400,13928960,15582720,1583104,11802112
1371616979.57,0,54,7,0,8297753,6616834,13544192,12662528,14067712,11132928,11416576,14622208
1371616980.58,0,47,26,0,14746892,15333889,13232385,10683905,9010944,16731136,6310400,15670272
1371616981.58,0,43,29,0,1291020,8208906,10285824,295424,8428544,14447872,13016064,11088128
1371616982.57,0,41,24,0,721179,10144002,12911873,1268224,9419264,11114496,6186496,10228736
1371616983.57,0,34,37,0,15752475,7817218,982016,4359680,3119616,1086976,1126144,5052416
1371616984.57,0,24,20,0,6087187,9452547,3828992,16690688,4082944,1518080,9448960,15930880
1371616985.55,0,44,27,0,1639438,4638977,6562560,8544256,16666368,8869376,9966336,70400
1371616986.56,0,37,37,0,5737230,7500545,14170625,2900992,7712512,5126400,7083264,660992
1371616987.56,0,41,41,0,9415191,10021632,2697729,14592,4831488,3305984,4810240,11019264
1371616988.54,0,54,44,0,14195222,12240129,12471040,6794496,2591232,6567168,10229504,9243392
1371616989.54,0,69,54,0,11583495,2442752,7483648,5251328,3293952,11154176,8132608,16454400
1371616990.53,0,70,53,0,11625748,3958017,2713088,1487104,15811584,16463104,4265984,5769984
1371616991.53,26,70,53,0,2577666,4728320,4392192,14159872,6227712,7079424,7996160,12845056
1371616992.54,0,47,41,0,1384966,9292800,1908224,12198656,8069632,1051904,7145216,13632512
1371616993.52,0,48,34,0,3224577,16041984,11544576,265984,14819328,15734784,133376,1508096
1371616994.52,26,48,34,0,7598084,9268736,9184000,1910528,928000,9128960,13832448,12845824
1371616995.52,26,48,34,0,3534871,15988480,6188032,8790528,14757632,5708800,14746880,4784640
1371616996.51,51,48,34,0,6033692,8169729,14343168,614145,9993985,14085120,4467200,1579264
1371616997.51,26,48,34,0,7741963,1398528,1184000,12661760,12664064,11079680,1836032,7667968
1371616998.51,26,48,34,0,13860371,3495681,6812160,9130755,14640388,16187650,13777920,15613184
1371616999.49,0,44,20,0,2686215,8229378,14574592,7760640,6365441,16247296,9117440,5048320
1371617000.5,26,44,20,0,7366657,10595840,6691584,2108160,13185536,9832960,5440256,2098176
1371617001.52,0,50,14,0,3048974,944911,3166979,14685444,849664,5092098,3869953,14897664
1371617002.49,0,67,17,0,8963602,10479104,2770432,76032,4918784,11021312,6492160,66560
1371617003.48,0,91,35,0,8094209,592128,16255232,9833728,10422528,5573632,2097920,12189952
1371617004.49,0,77,48,0,10815496,13429504,7218944,10585856,8609024,13708800,5643008,16585728
1371617005.47,0,78,43,0,11559438,11202306,12592129,4214784,641025,10127360,11285248,14368512
1371617006.47,26,78,43,0,4871690,8400896,6493184,12459264,2370048,329984,2819584,13304064
1371617007.47,0,81,48,0,6403603,13413889,6994944,12420352,14791936,1012736,11348224,13701888
1371617008.46,0,74,44,0,11243015,3563520,13053952,8538112,11290112,1192448,13765888,4392448
1371617009.46,0,93,41,0,11918860,9689088,14750976,8247040,1578241,8954368,1906432,5379840
1371617010.47,26,93,41,0,7161602,15568640,9255936,6889216,15668736,3478528,14157568,9961728
1371617011.45,0,94,66,0,11480586,8992256,6134016,13589504,12857856,3680768,11863296,2426624
1371617012.45,0,75,50,0,6175512,14981637,8700160,4990720,13126912,9199104,10755072,7145472
1371617013.45,26,75,50,0,7693582,10838785,13569792,3086592,4997376,13900544,15533056,13304832
1371617014.44,0,67,38,0,16598566,6640896,13308672,16124928,15343616,7409664,13173248,7865088
1371617015.44,26,67,38,0,1936400,13145860,5360129,7029249,63488,15038465,1650432,3677184
1371617016.43,26,67,38,0,5706499,9509632,8264960,9769472,5964544,9634304,15401728,10420480
1371617017.42,0,43,30,0,14653952,253696,659712,2828032,10423296,1382656,5248512,5440256
1371617018.43,0,30,30,0,11145991,5731073,11316482,1086720,6186496,10441984,10101248,5575680
1371617019.41,0,47,53,0,97028,3344385,9877504,16349952,11358208,6505728,10360320,9963776
1371617020.42,0,20,40,0,3436553,15802372,14354432,11084544,13965056,11866624,5248768,6688256
1371617021.42,0,40,53,0,2957571,7497728,10097408,1058816,2625024,16590080,13503232,9372416
1371617022.41,0,50,48,0,13132812,14298368,14622208,16128512,921088,10356992,3147776,9241344
1371617023.41,0,53,38,0,13686795,7079682,16139776,14240000,13261824,1918976,13456128,73216
1371617024.41,0,88,60,0,575258,15860741,2800385,10958849,1140482,39169,15209985,2787072
1371617025.39,0,80,50,0,6638859,15039232,5964800,1645824,12273920,5510144,2820096,3540480
1371617026.4,0,74,34,0,6723590,15321344,13902336,12193792,9448448,15535616,9702144,11665920
1371617027.39,0,88,37,0,7703059,16382464,7892992,13237248,9213697,9586690,12119552,10167552
1371617028.39,0,67,27,0,7862286,8643329,4009728,4790784,150528,15868928,15932160,15273472
1371617029.38,0,50,29,0,8390929,12090370,13131008,5973248,15750400,11805184,14487296,6358784
1371617030.37,0,38,29,0,13852162,9233922,13771520,5070080,12584704,12720384,12978688,5244928
1371617031.38,0,4,30,0,1417486,10248202,397314,15652354,12773890,7840000,7889152,3363840
1371617032.37,0,10,47,0,8161795,14278912,703488,9702656,12605696,1848064,9176576,16519424
1371617033.36,0,26,48,0,5394443,8879619,11775488,15100672,10977536,9958400,8333056,12853248
1371617034.36,0,44,56,0,2290691,14984192,13050368,16140032,13708544,8073984,11536640,15272192
1371617035.36,0,63,56,0,1882640,15343361,15095552,9596160,5224704,2128896,12599040,1706240
1371617036.35,0,56,60,0,2596106,1937408,14303488,287488,6958336,7278848,6556160,14617344
1371617037.35,0,54,61,0,6089217,7564032,2690560,3094784,9467904,1384448,13765120,10290944
1371617038.35,0,60,60,0,4796931,5716736,7341568,2304256,14560768,5839360,4198912,15664640
1371617039.34,0,47,47,0,8562689,5522688,4392192,2754048,1516800,3868160,7668736,5571072
