timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371626294.06,0,0,0,0,5368576,3497217,14882304,4077056,3148544,8920064,1909760,13701376
1371626295.63,0,0,0,0,16726784,5905664,11931904,6694656,12326656,15014144,2690048,12453376
1371626296.63,0,0,0,0,10292737,10138112,4999936,2706176,1648384,598016,5706752,2689792
1371626297.61,0,38,30,0,1398018,13967617,1639936,12523520,5440512,10559488,3082496,2688000
1371626298.61,0,35,37,0,13984771,3079681,12894208,13181952,3415552,6177536,12849408,10031360
1371626299.61,0,26,24,0,2017281,11034624,9765632,2032384,6358784,9700864,1972736,14027264
1371626300.6,0,50,27,0,2630400,3088128,2818304,1711360,8526080,8464384,199680,14091264
1371626301.6,0,60,50,0,981504,7174400,8413440,12674560,8401920,5458944,5448704,11212800
1371626302.6,0,74,54,0,12459776,7222272,1454848,4790784,5770752,10036480,989440,5901312
1371626303.58,0,78,61,0,9363976,8535041,1770752,14035200,11746304,12526080,11341824,395520
1371626304.58,0,78,56,0,7220736,12265216,1444864,1378560,14289408,12333824,12983552,15929856
1371626305.59,0,70,63,0,11804416,14622208,5516032,6695424,2492416,13963776,2295552,14353152
1371626306.58,0,67,60,0,4804864,9972480,15208960,9968896,7149568,16717056,15273984,1116160
1371626307.58,0,87,78,0,10819072,10952704,3676160,11213056,1182464,2630400,5835008,4589056
1371626308.58,0,87,87,0,5770496,16524800,527104,8399360,6686208,1915904,14288896,3671040
1371626309.57,0,90,81,0,4401408,9839616,13112064,11415552,10752512,5511168,461056,525312
1371626310.57,0,94,81,0,2361856,12729088,16588544,2300160,1379840,10560768,9047040,8259584
1371626311.56,0,93,83,0,3388672,6431488,13241856,9647872,1774592,2042112,3933696,4655104
1371626312.55,0,77,90,0,4328704,10302464,14755840,932608,4722432,6036736,3412992,787712
1371626313.55,0,77,80,0,2232576,5125632,6097408,12848896,9896960,4986112,7671552,12977664
1371626314.54,0,78,84,0,15222784,3082752,2757888,15210496,15340800,11867136,4721408,14025984
1371626315.54,0,88,81,0,3412992,8128512,16188416,10030848,9766400,12720384,1576448,15468800
1371626316.54,0,91,80,0,724224,15347456,16009472,1182976,9048064,336128,12256512,2950400
1371626317.53,0,75,96,0,10099456,3549952,6378496,471552,135424,4000768,10423040,6882816
1371626318.53,0,84,78,0,5310976,9640192,10027776,8260864,7680512,13248000,3343872,3802368
1371626319.53,0,69,83,0,14567425,7876608,4867840,9772288,16522496,3092224,13634560,4393472
1371626320.52,0,70,83,0,10687488,8390912,1184000,8397056,13441536,13767680,12649472,527104
1371626321.52,0,93,74,0,13254400,10554880,2692096,2035456,11865344,15602432,4851456,590848
1371626322.52,0,87,88,0,8719104,7805184,15280128,12977664,4655872,2763264,134144,6161920
1371626323.51,0,87,81,0,790784,11805952,13504512,14160384,7016448,12260864,14422528,7016192
1371626324.51,0,100,66,0,9178368,12521472,3933952,13828864,11865600,335616,15206400,2819840
1371626325.51,0,97,63,0,5389058,6368256,6236672,2237440,6503680,9973760,15797248,16648448
1371626326.49,0,94,61,0,10163456,8659200,4005632,14620416,1446912,7809792,11340800,14877952
1371626327.5,0,87,64,0,4392192,6821632,10110208,5511424,9131776,8262400,12191232,4589056
1371626328.5,0,69,84,0,8980480,15146240,3881216,11673856,16516352,11280384,7866368,4588800
1371626329.49,0,83,78,0,4003328,4724480,13698048,7801600,15862784,7350272,10356736,12059648
1371626330.48,0,93,70,0,10750720,9055744,2625792,7480320,9640960,2059776,13437184,262912
1371626331.48,0,100,66,0,11083776,11682560,15665920,10302720,9506816,3173120,6490624,7406336
1371626332.47,0,100,51,0,15404800,4274176,14424832,1120768,14290688,11039744,8523008,3933696
1371626333.47,0,100,61,0,3542016,11147776,12261120,15014912,1511936,14366208,14683136,7406336
1371626334.46,0,100,66,0,14427136,15799552,8395520,10820352,11998976,8794624,11743232,15403520
1371626335.46,0,100,51,0,16654336,5903360,2035712,13174272,15075584,10345728,15075328,4982528
1371626336.46,0,100,60,0,5836544,9056256,6103040,7427840,6955776,8278528,3802624,10815232
1371626337.45,0,87,57,0,13109504,4986624,16122880,5377792,9241600,13111296,5375488,6752000
1371626338.45,0,78,53,0,10625280,11669760,4719872,8066816,12722432,12004864,2100992,2230016
1371626339.45,0,54,61,0,3477504,12077312,11144448,16320512,15599360,6691840,11145216,3672320
1371626340.43,0,57,57,0,16460544,10952192,10629120,16195328,3875072,4935680,3474688,15992320
1371626341.44,0,43,64,0,4815105,1410048,6235136,14970880,16003840,5706496,10159616,10487296
1371626342.44,0,38,69,0,5575424,1712896,6556672,11019520,15075072,9776896,3868672,13959424
1371626343.42,0,53,69,0,14358016,8784128,5636352,15469824,13374464,1781760,16256256,11863808
1371626344.43,0,54,61,0,2361344,5122816,13833984,8848384,4656384,11287808,12979200,7997440
1371626345.43,0,74,56,0,15929088,13312256,6953984,10818048,9244160,13382656,1639936,13763328
1371626346.41,0,64,57,0,6033664,11807744,6689536,9510144,6032896,16584704,7737088,6292736
1371626347.41,0,54,74,0,16058368,10816512,15338752,7805184,15533312,11017216,11742976,7865600
1371626348.42,0,54,81,0,5443328,11406336,10430976,4918528,9767168,7292672,3282688,1836544
1371626349.4,0,51,83,0,8852736,4207360,14420224,13716224,11610112,2374400,6490624,1574144
1371626350.4,0,47,80,0,7204608,3411457,6320640,15680000,5189888,15936512,14289664,13241088
1371626351.4,0,40,81,0,15208704,2371072,6235904,12857856,7343104,4333824,13175040,11338496
1371626352.39,0,43,74,0,4001024,9769984,15141120,1251328,799488,8343808,5507328,3998976
1371626353.39,0,37,74,0,4651521,8457472,11338240,1707520,1574912,8259072,2491392,12648704
1371626354.38,0,37,83,0,12720128,6239232,750336,5586944,10893056,12851200,11014144,3934720
1371626355.37,0,27,87,0,11666176,8920832,4591104,4215552,13767680,12389376,10097152,14814208
1371626356.38,0,16,91,0,8651264,12985856,4854016,10490112,16585472,5184768,6556672,16385792
1371626357.37,0,26,91,0,14226432,8593408,11012864,406016,13832704,9582848,8064512,4982784
1371626358.37,0,30,81,0,13318656,7428864,12136960,14162688,5117952,14622208,14157312,14091008
1371626359.37,0,41,80,0,9581312,12130816,76544,11933184,4196864,8264192,9374976,525312
1371626360.35,0,47,83,0,264448,15408384,1451520,13176320,13307136,9713920,9772032,6882048
1371626361.36,0,63,64,0,15800064,10882560,7668224,11930368,12584704,8880640,4725504,3409920
1371626362.36,0,84,53,0,11929856,7673088,15992320,7344896,3812096,13464576,14486016,7931904
1371626363.34,0,87,51,0,3343360,1972992,2623232,10637568,12064512,2828288,4530432,10945024
1371626364.34,0,80,50,0,1775616,2430720,5571072,9703936,16255488,8392192,10291712,12257280
1371626365.34,0,66,66,0,10684672,14551808,1836800,12526848,10883328,13645056,7997696,13305088
1371626366.33,0,48,88,0,15274496,7607808,1315584,8988928,4327680,2824192,4862464,4915968
1371626367.33,0,43,87,0,1669377,9753088,11565568,15180800,14163456,5923584,788480,6556672
1371626368.33,0,47,75,0,1586432,11352576,15927040,5966848,14888192,15279360,5506816,10355456
1371626369.32,0,37,74,0,11412224,10507520,12858880,5769216,4131072,15082752,13568256,11667712
1371626370.32,0,37,66,0,9575680,1910016,6163968,13837312,16585216,6691584,5508352,5965056
1371626371.32,0,38,67,0,10553088,9443328,14620416,10949888,2689024,1118208,10224640,918272
1371626372.3,0,41,80,0,4395008,1973248,6031872,205824,9307904,1783296,2237440,8323840
1371626373.31,0,41,81,0,10093824,13838592,726784,6361088,5899264,5314048,4130304,7669248
1371626374.3,0,41,75,0,7022080,6240000,9504512,12982528,2432768,2759424,7147520,1115648
1371626375.3,0,53,56,0,2430208,13191424,5246464,10031360,2628608,9134848,10159360,14025472
1371626376.3,0,47,60,0,2624000,9638656,9317632,6489856,16589312,12589824,11864320,7603968
1371626377.28,0,56,57,0,1513216,4532736,15805696,6656,3935744,1333504,2362368,5833728
1371626378.29,0,61,67,0,4917248,5245952,7672064,665344,1643008,3613696,6883584,8848640
1371626379.29,0,61,77,0,16651520,16123648,8327424,7407360,8853504,2301952,15467520,6882560
1371626380.27,0,57,67,0,11404288,1844992,13176320,14223360,3152384,14618368,10292224,9896448
1371626381.27,0,56,74,0,15207168,12590848,2831872,8273152,6098944,10839296,7669504,14747648
1371626382.28,0,54,61,0,7667457,2705408,6558976,6164224,11740928,12136192,2560256,10555904
1371626383.26,0,29,53,0,8134145,16013825,7806720,14688512,16324096,1446656,1379328,8001280
1371626384.26,0,24,57,0,14450433,1628672,14626560,5920000,12001792,11678464,14355200,790784
1371626385.26,0,26,53,0,14364160,13378304,8851968,13245696,5836544,16333312,2493952,10356736
1371626386.25,0,26,51,0,864256,14425088,8192256,4524800,9374720,9310720,15274240,15010304
1371626387.25,0,47,60,0,8194560,3290624,10627584,2491136,16386048,7157504,15012096,16319744
1371626388.25,0,57,66,0,2363648,16520448,5253376,988672,9438976,16199168,9309184,15075072
1371626389.24,0,57,67,0,859904,5053952,8662272,1380096,16712704,6702336,7539200,7800576
1371626390.24,0,69,57,0,6497792,6439168,920064,12322560,5449216,11305216,5512192,7015680
1371626391.24,0,54,57,0,4370688,3286785,12138240,8614912,3299328,2959360,14355712,16189952
1371626392.22,0,44,63,0,12523264,4859136,1918976,2500608,5247488,3414528,7668736,14944256
1371626393.23,0,53,56,0,7019008,10750208,15800576,9832448,8064000,1269760,5638400,4327680
1371626394.22,0,37,74,0,14356224,4988928,8586240,14685184,2560512,1445376,7144704,2426368
1371626395.21,0,34,64,0,11615746,16182272,11476992,1511424,13110272,12652032,5181440,15470848
1371626396.21,0,30,53,0,1983495,4311040,3694592,12989184,12668928,7417344,201728,13768704
1371626397.2,0,14,57,0,13375232,14302976,6490624,4142336,14356992,14034432,8194560,2098688
1371626398.21,0,10,74,0,4459008,8267776,13714432,8226048,13516800,12919552,7541760,5702912
1371626399.2,0,27,81,0,12322816,5642496,11666432,13899520,8589824,16062976,4719872,14288128
1371626400.19,0,37,90,0,7998208,2231552,11999232,3674880,14879232,9770752,5378816,14156288
1371626401.19,0,27,90,0,1883649,7893504,1917952,1452800,6832640,10885376,5246976,4721152
1371626402.19,0,29,90,0,11946752,1712128,14109184,11015680,14488320,13703424,14616832,3213312
1371626403.18,0,23,97,0,10171904,14818560,11999232,16520704,8652544,7736832,985856,15336960
1371626404.18,0,23,94,0,14288128,13049344,13569536,7220992,5632,5711872,16712192,14485248
1371626405.18,0,34,97,0,7997184,2498304,7017216,4727296,2231808,5183744,4850944,13698048
1371626406.17,0,40,87,0,926464,9968128,2622976,4657664,9046016,6034944,8653568,5571072
1371626407.17,0,51,69,0,2754304,207616,14353408,4526080,3279616,14627072,8731904,14224384
1371626408.17,0,60,60,0,16389120,4393728,1511424,13567232,2167808,10561536,7800576,14354432
1371626409.16,0,53,61,0,16585984,9126400,10365696,13050880,10686208,13571072,13763840,12452864
1371626410.16,0,50,57,0,12912897,3611392,3670272,7213056,14092800,6688512,6226688,16187648
1371626411.16,0,48,66,0,11475712,5586176,2439424,2229760,12258560,10373120,6489344,4326144
1371626412.14,0,54,63,0,7016192,7933184,10683136,529920,135424,6707968,4654848,2557184
1371626413.15,0,63,66,0,8718080,11669248,10754560,4404992,855040,5186816,13436416,2427904
1371626414.13,0,60,75,0,11408640,5127168,2179840,3084032,3083008,6234880,722176,5900544
1371626415.14,0,54,80,0,10948864,9579264,2036480,8395008,9570816,10688768,8193280,15991552
1371626416.13,0,40,90,0,1246976,13506304,11669760,8917760,7998976,5643008,12000000,6424576
1371626417.12,0,40,87,0,13831936,1774080,6895360,5968384,11414272,335616,1974784,11670272
1371626418.12,0,40,91,0,2041856,16715520,14173696,6692096,3677184,13770496,1844992,8789760
1371626419.13,0,50,96,0,13375232,9307392,10170368,8915968,12060416,13974272,531200,4261888
1371626420.11,0,53,97,0,8062208,9505536,12525824,9636608,2363648,9970944,16720384,15535872
1371626421.11,0,54,78,0,14924033,13385728,7080192,2623488,1642752,2566656,11076096,7340288
1371626422.11,0,43,70,0,4670212,2716928,9645824,12270336,15866112,10292736,14749184,15142400
1371626423.1,0,37,66,0,12266496,5517568,1325312,1841408,11025664,11482624,7342848,11471104
1371626424.1,0,34,69,0,8592896,332288,7217408,922880,13896448,4595456,5246464,1639424
1371626425.1,0,23,87,0,15666944,14301184,5309184,13975296,9902336,8261888,11864320,8455424
1371626426.09,0,43,80,0,16188416,13438208,11142912,3607040,14617600,11081728,15408896,16582144
1371626427.09,0,44,78,0,594688,530944,2234112,6227968,6949632,12917504,15926272,3016192
1371626428.09,0,38,83,0,1315584,8001792,2953216,3287040,1115136,12062208,5377792,15403776
1371626429.08,0,44,88,0,12980224,70656,13180672,1450240,4352,4331776,10291456,9242112
1371626430.08,0,44,84,0,9177088,11741440,2560000,16518656,7606272,4275456,13502208,13435904
1371626431.08,0,44,83,0,9767424,5384192,5310464,4137472,3805952,13575424,2230016,16254976
1371626432.07,0,38,70,0,14815748,8048640,11222016,14695168,7883776,8723200,7145984,7276544
1371626433.06,0,43,61,0,9766912,13182720,8198912,10291968,593408,8530688,5057280,6752256
1371626434.05,0,44,63,0,13572864,14949632,10950912,1117952,1514240,211968,6489088,9111040
1371626435.05,0,30,60,0,12780288,420096,9836544,9571840,6491392,11865600,5113088,2426368
1371626436.05,0,57,53,0,5181440,8784896,6949632,4460544,592384,5853952,460800,10029056
1371626437.04,0,60,60,0,16254720,1579008,14891776,9177600,13637888,6700032,15534336,11207936
1371626438.04,0,60,61,0,12124672,15669248,5966592,10097920,10423040,3092736,15861248,4523264
1371626439.04,0,67,74,0,9179648,7479808,1850880,11079424,16059648,11935744,1445376,12519168
