timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371619242.81,0,0,0,0,7026177,6953984,9175296,16187648,10486528,12322304,15794688,2425344
1371619244.38,0,0,0,0,1067008,13134848,5770496,2366208,12585472,15599360,15140608,10619392
1371619245.38,0,0,0,0,10099968,16582656,2168576,14027008,6751232,5704192,6160896,10944768
1371619246.37,0,47,53,0,12529920,5774336,11097088,2757888,3737856,12130560,7276800,11078400
1371619247.36,0,69,51,0,5048320,13571072,5965824,855296,5707776,12329728,10751488,6423808
1371619248.37,0,81,63,0,14121217,10099200,7475200,2718464,15804416,4795648,8654848,11477760
1371619249.35,0,84,74,0,4486919,7488768,7382784,7819520,2714624,5910016,15867904,10490880
1371619250.35,0,77,74,0,2241024,3742976,13838080,2176512,15666176,15535360,1313024,3148800
1371619251.36,0,67,84,0,7803904,5313280,16599040,14356480,4264192,4663808,15532800,5767680
1371619252.34,0,69,78,0,1784064,8131072,3410176,11343104,9705216,8261632,15337472,13698304
1371619253.34,0,90,69,0,12523520,15407104,1252608,10290688,8259328,7289600,1639936,9045248
1371619254.35,0,84,56,0,2467840,16414464,925184,7472640,12716544,11733504,14352896,15860480
1371619255.33,0,66,56,0,6884608,4008704,9846016,8720640,12259328,723712,13042944,13107968
1371619256.33,0,63,61,0,10304768,6555648,9900800,6232320,2822400,15601920,6686208,10422528
1371619257.33,0,56,60,0,10695680,9115648,13371136,11079168,7803392,2823936,7602944,14942720
1371619258.32,0,75,63,0,10487296,13179136,5508096,8593152,10894848,16717312,5571840,8127488
1371619259.32,0,81,61,0,5190400,6295552,13438720,6690304,4003328,5834752,1836032,197888
1371619260.32,0,93,44,0,15800576,396032,14746880,7209984,10692352,9445632,2623488,7473152
1371619261.31,0,90,38,0,16597504,273664,5508096,4198912,14585600,15018496,7603712,9308416
1371619262.31,0,77,35,0,15403520,1211904,1907712,4722176,14027776,11014656,12978176,10946560
1371619263.3,0,74,34,0,1962497,5981696,5445888,13319424,13248512,13375744,3868928,2950912
1371619264.3,0,64,43,0,10040832,4264448,461312,8789504,267776,5710848,4721152,14944000
1371619265.3,0,64,54,0,12605952,5708288,9902592,6689024,1051136,10627072,4915968,4850432
1371619266.28,0,74,63,0,6231552,15338752,11077376,2372096,8003840,13177600,7931648,13763584
1371619267.29,0,78,66,0,10096640,7808768,15613952,8071168,9771264,6563584,11340032,5179648
1371619268.28,0,57,67,0,7559690,519936,11561728,5073152,15801856,5711360,16388864,4590336
1371619269.27,0,54,75,0,9774848,13566720,3875840,16717824,1641472,11345920,2098432,512
1371619270.28,0,48,75,0,4423425,2236672,8325888,10493440,11601920,13175296,9830656,9765120
1371619271.28,0,40,78,0,9441024,8330240,16203776,7946496,3877632,1576960,67072,4785664
1371619272.26,0,61,80,0,1904384,10883328,15159552,7671296,16059648,14502144,9176576,4522752
1371619273.26,0,53,84,0,11475456,15404032,14440192,1005312,12387840,7219712,11207936,10813952
1371619274.26,0,63,87,0,5577728,2693888,4458240,7221504,10946560,4397568,3738624,9569280
1371619275.25,0,60,78,0,14757633,9061889,14977792,6896128,6694912,15346944,4719872,12059904
1371619276.25,0,38,74,0,4308739,2670080,9068544,12527360,12264192,5315328,2362112,16581888
1371619277.25,0,24,66,0,10228480,3105536,13923072,5316352,396800,7540480,3539968,1311744
1371619278.24,0,17,69,0,863488,4268544,10234368,4669184,6951168,5445120,3539968,12976384
1371619279.24,0,24,69,0,7747840,6503168,660224,9376512,6557696,5508864,8000000,11076864
1371619280.24,0,43,69,0,13515520,9114880,4067584,7412224,15401472,6891008,1770496,9700608
1371619281.23,0,41,66,0,1995521,565248,737792,1466368,1516288,15929600,6162944,12388096
