timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371625793.56,0,0,0,0,16547841,12307456,15290368,11612416,10688000,6955520,15273728,13830400
1371625795.13,0,0,0,0,13070849,12729600,2708736,13185536,8858112,7817216,15082752,8594688
1371625796.13,0,0,0,0,10955264,8267008,8982528,15273216,269312,7552512,8391680,14749440
1371625797.11,0,30,34,0,10134272,11626752,3479040,12259840,9836288,13635584,396032,10028032
1371625798.11,0,34,48,0,14363648,12788224,15475712,13112320,7147520,6297088,10159616,7995904
1371625799.12,0,23,70,0,1720832,2106112,340992,5729280,11864832,5182208,6424320,12976896
1371625800.1,0,29,74,0,10232576,2450176,8141056,14104320,7210240,14899968,9570304,7406336
1371625801.1,0,29,70,0,9624065,13518337,1003008,6957056,6626560,14038272,6886656,4523776
1371625802.1,0,24,69,0,6255360,1057536,16652032,12403712,5576960,5509888,5047552,16581632
1371625803.09,0,30,64,0,6423808,7474688,16471808,14556672,9312768,13048064,10748928,7078656
1371625804.09,0,29,51,0,9571584,477952,2625792,15405312,10752512,10036736,6236416,1050880
1371625805.09,0,37,81,0,16646656,10556160,531456,6269952,4395264,670208,7734784,3998976
1371625806.08,0,51,61,0,13571072,10624000,8523264,5179904,12388352,1319680,14223616,13370624
1371625807.08,0,63,34,0,264960,7745536,11537920,5445632,2433792,6959104,15669760,10421248
1371625808.08,0,63,53,0,866304,14689536,9259520,9179136,1446400,15740416,16193536,1508864
1371625809.07,0,64,44,0,15602176,10949888,4592384,13838848,11273472,12589568,16717056,9046272
1371625810.07,0,60,44,0,138240,13254912,9178624,2956544,10883840,11215872,3345920,16253440
1371625811.07,0,37,40,0,2205186,11699456,1707264,14422528,4922624,3279104,4129792,3145984
1371625812.06,0,44,17,0,5837056,3159552,8585472,12589568,16518144,11747840,9656064,4326912
1371625813.06,0,60,1,0,8588288,11143680,7997696,1839104,14682880,2174976,790528,3015936
1371625814.05,0,60,23,0,11076608,4916736,7280896,1848576,11273984,11673344,8064256,9503744
1371625815.04,0,80,29,0,14822912,8144640,6235136,10487552,11274240,8270080,11733504,11075840
1371625816.05,0,67,48,0,9243136,15549440,8993536,15477248,5315328,15412736,8192768,6555136
1371625817.03,0,61,56,0,1905152,13902080,13446912,5703936,2100480,6764544,5637632,11732480
1371625818.03,0,61,38,0,1968640,15480320,7934976,14565120,2503168,5650944,330240,329728
1371625819.04,0,74,34,0,1181184,13642496,132352,13179136,133632,3824896,2626816,9701632
1371625820.02,0,84,30,0,11405568,9180160,12389632,2373632,789248,13585152,14682112,9635072
1371625821.02,0,87,13,0,7342592,14564608,14417920,11803392,5711872,16531712,3215104,6096128
1371625822.03,0,88,7,0,14025728,7813120,8659968,7473664,2101760,7616256,5246976,2756096
1371625823.01,0,81,17,0,16391424,13385728,10758144,7873024,529152,15357696,15927296,8259072
1371625824.01,0,75,17,0,7606784,7149568,2369536,6818816,6691328,8528128,8521728,2164992
1371625825.01,0,67,38,0,15009792,8009472,7214080,4860672,2295040,4859904,13436672,1050368
1371625826.0,0,74,41,0,7418112,474624,1772288,12072448,10489088,552960,11995648,11928576
1371625827.0,0,66,34,0,8060673,14916864,8455680,1064192,8985344,12338432,14681856,14814208
1371625828.0,0,53,48,0,11421952,9580032,15222528,9986048,9835264,12720384,7867392,14682368
1371625828.99,0,63,34,0,7413504,12331776,13441024,12324096,9180672,4939008,16387072,13436160
1371625829.99,0,54,34,0,13632512,6499840,2364160,730112,16657920,9381120,5182720,2819328
1371625830.99,0,57,54,0,16257792,134656,14689280,2169600,10686464,2694912,4720384,8324096
1371625831.97,0,88,17,0,3609088,332544,921088,3481344,12068096,7850752,6621952,5244416
1371625832.97,0,90,26,0,9898752,13174784,15142656,2367232,3479040,10308864,6751232,11600640
1371625833.96,0,94,35,0,16259072,12196608,1769728,11286784,7080192,11352064,1902336,11011840
1371625834.96,0,93,26,0,13643520,11878144,11408384,8015360,7216384,13449216,4001792,5112576
1371625835.96,0,77,41,0,16525568,13840384,10164480,202240,15600896,4796416,2689792,5243648
1371625836.96,0,69,37,0,12387328,9449216,15405568,5182976,9833216,13714944,16189184,14156544
1371625837.96,0,53,37,0,2894850,3376384,86528,9259264,10891776,1319680,9048320,460032
1371625838.95,0,51,38,0,14102528,8007168,2754304,8468736,4986368,15671552,4466176,9175808
1371625839.94,0,47,41,0,8656384,12650752,12389120,530944,9711360,8457216,659712,2492160
1371625840.94,0,44,38,0,332288,1057024,4261888,10162944,13639680,1060608,11276800,3999488
1371625841.94,0,54,47,0,12585216,9181184,9260032,11675392,13899520,6171904,7877120,12715520
1371625842.93,0,40,57,0,1009921,14476032,3771392,285441,14569472,11416320,6040320,16190720
1371625843.93,0,44,53,0,1263113,14525440,6434560,8869120,8008448,1412608,7541760,6752512
1371625844.93,0,23,47,0,12355100,9465092,4854528,4678400,5317632,5001728,4001536,13895936
1371625845.92,0,21,41,0,14100736,1459200,12339968,15541504,16394752,1716224,11666688,10356992
1371625846.92,0,29,40,0,12590592,9703168,12595712,599296,8595200,15864064,15666176,5441536
1371625847.92,0,21,63,0,4921088,15868928,1147648,13734912,5915648,538368,12080640,10880256
1371625848.9,0,41,77,0,14320385,12920832,12192256,5966592,199424,2238208,13176064,15008256
1371625849.9,0,53,53,0,4987136,474112,2950144,8524032,3937280,10962432,3150080,8261376
1371625850.91,0,63,43,0,15995392,13711104,3935232,2115840,8269824,2114048,4918528,9375232
1371625851.89,0,74,27,0,3282432,10558464,14824960,6297088,2832384,11613952,10028544,12650240
1371625852.9,0,63,44,0,8464640,7152128,11482368,3617280,11151360,14360320,15927296,67584
1371625853.88,0,51,69,0,13241856,11671296,16589824,16652800,1381632,11932928,11863296,13042432
1371625854.88,0,53,60,0,14225152,14426368,13174784,10291712,3477504,12787200,5572096,1180672
1371625855.88,0,51,60,0,13306880,6822912,6165760,4067072,15076864,12000000,1247488,6817024
1371625856.87,0,56,57,0,12849152,6563840,7671040,3620096,11077888,14692096,8457472,14288128
1371625857.87,0,61,47,0,1121280,4529152,8655104,13111552,11805184,16456192,11013376,1836800
1371625858.87,0,61,60,0,7280896,8652288,13638912,8928512,2508032,1457152,15076352,14221824
1371625859.86,0,57,63,0,14290944,11814912,10424576,11159552,3345152,2304000,15074304,11274240
1371625860.86,0,67,57,0,16190720,4864,15212032,12730624,923904,6457088,7734272,5047296
1371625861.86,0,87,43,0,6427648,7213056,6555136,16648448,2629120,3366912,13435904,5440512
1371625862.85,0,80,34,0,4268544,7684096,6558720,13240320,5310464,15539200,6690560,4393216
