timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371618398.02,25,0,0,0,13257728,1920000,4260352,10029056,11800320,1574400,1704192,3604736
1371618399.59,0,0,0,0,2480896,14222592,5505280,16187392,10682624,14614528,4915200,1638400
1371618400.59,0,0,0,0,15322376,635904,5050624,7214080,12256768,9110784,7995648,4653568
1371618401.57,0,0,0,0,10475267,9323264,10488064,5506560,15861760,14027264,9175552,13893888
1371618402.58,0,41,51,0,9442594,4105730,13030400,2698240,1668608,15873792,6400,8131072
1371618403.58,0,54,75,0,926720,2105088,471040,6948352,11406080,5835264,9570048,3802112
1371618404.56,0,70,83,0,873986,4011008,2758144,15143680,2952704,7605760,8323584,7865088
1371618405.56,0,84,93,0,5732868,7260160,3680512,422144,10101248,1978368,395264,15731968
1371618406.57,0,100,91,0,7016962,529664,16459264,11602944,15215616,1970432,329472,10682880
1371618407.55,0,100,54,0,7227905,11822080,7540224,11080448,11096832,7737088,14614784,11993600
1371618408.55,0,94,48,0,8744704,13930496,4466432,12064768,11077376,6755328,1246976,6555904
1371618409.55,0,90,61,0,13543168,416768,10526976,857856,11602176,8788480,3212544,6425344
1371618410.54,0,90,64,0,12231168,6201344,14322176,13786368,2439680,5921024,919552,11865088
1371618411.54,0,81,61,0,13010439,3119360,3999744,9243392,1903616,5769728,16713472,11338496
1371618412.54,0,96,51,0,1266944,9839872,14814720,9307648,4002560,15015680,3015680,10224384
1371618413.53,0,100,30,0,2953472,12260864,855808,4132608,3157760,4198400,4065280,263680
1371618414.53,0,97,40,0,10962176,16388608,5379584,15945472,2497280,11936000,462080,3280128
1371618415.53,0,91,63,0,4174596,11570688,15872768,16390144,4657920,3016960,10486272,16580608
1371618416.52,0,91,67,0,11077888,2299648,13372416,6490880,6099200,1256192,4720640,329216
1371618417.52,0,77,88,0,16452864,12721408,11083776,15340544,9700864,14878976,7998720,13304832
1371618418.51,0,84,70,0,7607808,14684672,2111232,4524032,11734272,481536,8521984,67072
1371618419.51,0,100,67,0,4331520,5246976,15802112,7871744,9585664,11357696,7276032,14550784
1371618420.5,0,100,87,0,12005376,15671552,2696704,11350016,2561536,2893056,6033408,12321536
1371618421.5,0,100,81,0,15799298,7878400,11939584,14561024,16585216,7152128,2756864,8259584
1371618422.49,0,96,97,0,6890496,133632,9850624,14820096,12258304,14039296,7080704,12519424
1371618423.49,0,91,100,0,989440,9310464,2757888,1842176,7869184,2630912,9963776,11470080
1371618424.48,0,83,100,0,2753282,4118784,11008000,146944,7871232,9650176,15402496,7473664
1371618425.48,0,84,100,0,16193280,793088,5643264,5518080,3411968,13245952,6818304,8389632
1371618426.48,0,83,100,0,8329472,1121536,5392128,3085312,1909504,3419904,3999232,14747392
1371618427.47,0,88,94,0,3218944,12323840,13568256,5312000,5443328,467456,15599616,7865600
1371618428.47,0,100,64,0,9702144,8925696,4458752,3280640,8719616,4276480,13894656,14353408
1371618429.47,0,100,53,0,13044480,13572352,7021312,3869696,1056512,15410176,12519680,9373440
1371618430.46,0,100,38,0,13684741,8749312,338688,15932160,14293248,8467456,12256000,9175040
1371618431.47,0,100,54,0,10851584,3805696,5909760,4736000,12587264,7620352,6227200,10945792
1371618432.46,0,87,78,0,13480448,12739840,9716992,15867904,1576960,7151104,13960704,9111296
1371618433.45,0,78,87,0,1727744,1187328,8919552,12324096,10946304,2362624,14811392,8716288
1371618434.45,0,80,100,0,4134656,16255488,12745216,12981760,12263168,7680768,11143680,11404032
1371618435.45,0,60,87,0,283650,9461504,11998720,13110272,5574144,11536384,459264,9109760
1371618436.43,0,60,96,0,9769984,1181696,5508864,4291328,13780224,6428416,1280,7078912
1371618437.44,0,66,81,0,10831616,14697472,15472896,11545088,15416576,9059072,10552320,6424064
1371618438.42,0,69,69,0,9976320,16061952,14556928,14430720,6496512,9844224,12388608,15664640
1371618439.42,0,90,84,0,2436096,13111296,12518400,13383936,5512448,13314816,3738880,1050880
1371618440.43,0,100,64,0,11220736,9048064,16256000,11803392,11736576,14432768,7341312,3213568
1371618441.42,0,96,77,0,7804162,10923264,9832960,15909888,7282432,2108160,4655104,10161408
1371618442.41,0,77,78,0,9183233,11561728,13905152,7687680,11409920,5573632,13828864,3342592
1371618443.42,0,60,90,0,12593152,404480,11772928,8303360,6954752,7479296,3541248,11601408
1371618444.4,0,44,100,0,10883840,6629376,1136128,14168320,3217920,14231808,4853760,13566464
1371618445.4,0,57,94,0,7818240,1648640,15403776,7951872,7278592,10566912,12519680,2818816
1371618446.4,0,74,97,0,15345408,12326144,4530176,8154368,4000256,16132352,16189440,2360576
1371618447.39,0,94,66,0,1192960,5379328,8129536,593920,8269568,6238208,6294272,12977920
1371618448.39,0,100,60,0,9113856,4864,2626048,12012032,4984064,5657856,15205888,2687744
1371618449.39,0,94,57,0,16380165,14270208,13096960,13198592,14390784,11814144,2362112,1837824
1371618450.38,0,100,48,0,15994368,12127232,4918272,2304768,16388352,2629888,6686976,7473664
1371618451.38,0,93,57,0,4854784,6492928,1118464,10818816,13703168,8985344,657152,14812672
1371618452.38,0,96,50,0,8920576,72704,3152896,12402688,8135936,11376128,9177344,9307136
1371618453.37,0,100,47,0,1908736,8526848,9635840,10692096,14750720,5710080,11601408,8718080
1371618454.37,0,97,40,0,1643520,15694080,140544,5712896,7670784,7151360,13830656,4393728
1371618455.37,0,88,60,0,10294784,16454656,12065536,15962624,3081728,9510144,8916480,15598848
1371618456.35,0,74,80,0,2636800,662528,2232320,3383552,11406848,8204544,1444352,4915712
1371618457.36,0,70,80,0,5969920,10228992,9768192,13114368,7412480,2037504,6620160,3933184
1371618458.35,0,88,69,0,14616576,470528,3672576,4789760,13707008,6833920,16647424,12649728
1371618459.34,0,94,60,0,5460224,6697984,16158464,4942848,865792,3693568,13441024,16122880
1371618460.34,0,100,50,0,11143168,8331776,12911872,867072,10225152,2043136,5965824,3933952
1371618461.33,0,81,53,0,7924483,4783360,4186112,10492672,16724992,3480064,15665920,6686976
1371618462.33,0,61,83,0,7157248,1512704,5845504,2768640,2297088,15207936,67328,12191744
1371618463.33,0,64,67,0,11933952,10366976,9702656,14555136,5378304,7216896,14749696,14025216
1371618464.32,0,50,66,0,7243522,4429056,16463872,620544,13053184,1777152,5900288,2426112
1371618465.32,0,56,80,0,15795200,594688,8729600,9067520,6038016,7147776,13044224,15139584
1371618466.32,0,63,77,0,870656,16389376,11743744,4349184,13373696,11150848,8259584,1115136
1371618467.31,0,69,87,0,7279616,7866624,3673600,13978368,6038016,2573312,14551040,12649216
1371618468.31,0,81,93,0,8704,2428416,14227200,7820288,11081472,14887680,2491904,8783360
1371618469.31,0,91,80,0,10240768,210688,4462848,2706688,8658432,3552256,3475456,6685952
1371618470.3,0,100,53,0,6824960,4007424,13373184,4008960,13183232,5227008,591104,8979456
1371618471.3,0,100,44,0,13700608,12854272,5508096,12066560,15669248,9448448,13831680,1508608
1371618472.3,0,88,51,0,10824704,4591104,16587520,7357952,16715264,13306880,1377536,6163712
1371618473.29,0,64,35,0,4241667,8018944,659200,9241344,2361856,8389376,10748160,15597568
1371618474.28,0,50,50,0,3874304,15739136,3875328,401920,8065024,1056256,15467264,4260608
1371618475.28,0,50,56,0,16062976,15600384,16650752,4854272,13961984,9771008,14027776,9307392
1371618476.27,0,61,37,0,6164992,11998208,14621184,11862784,858624,14358528,8455936,3409152
1371618477.28,0,83,50,0,8610560,11347712,395520,9254912,6889984,1781248,5179136,10880000
1371618478.26,0,81,57,0,6300928,12650496,12588288,10364416,7999744,13897984,7865856,984064
1371618479.26,0,77,61,0,15995136,9836032,2497536,14374656,4538112,14688512,12453376,2690304
1371618480.26,0,74,70,0,16188416,1708288,6038528,10035968,1052160,4530432,9768960,8128000
1371618481.25,0,61,84,0,13506305,13511680,5713664,9650944,8392192,8850944,3023360,10356992
1371618482.25,0,60,81,0,1796352,9313280,13046016,3619840,7737344,1906944,266240,14682112
1371618483.25,0,63,70,0,1947137,4598272,6752768,988928,11797760,3742464,14091776,14156800
1371618484.24,0,51,74,0,4207616,624384,2735872,5804288,2714880,535040,10552576,15271168
1371618485.23,0,50,48,0,14594562,14713856,8326912,13897728,8787712,7605248,4260352,16187392
1371618486.24,0,50,54,0,11422208,14420480,3684864,8601856,10229504,14951168,12847104,7603200
1371618487.23,0,56,57,0,16589056,11081216,1912064,13635840,5381632,5389056,6424576,9175552
1371618488.23,0,57,61,0,2623744,5908736,7548928,2775808,9178880,10622720,14879232,9307904
1371618489.23,0,75,77,0,2364416,14949376,9131776,68352,536832,3294976,6292736,5899008
1371618490.21,0,78,63,0,5902848,3083008,2427392,16453120,1640960,3935488,8586496,8454912
1371618491.22,0,67,83,0,13963264,15930624,10235904,624896,13371392,12265984,5834240,8258560
1371618492.21,0,69,80,0,9317632,15281664,11291136,12737280,14360320,14755584,13961728,2035200
1371618493.2,0,43,61,0,7256833,7622656,2426880,3146752,11600640,13697280,12386304,8912896
1371618494.2,0,48,53,0,5526272,5118720,2495744,1776896,3092736,16527360,7212032,16385024
1371618495.21,0,60,27,0,6756608,7544320,10684416,8917504,1640448,13053696,10027776,12583424
1371618496.19,0,64,21,0,9900032,7152128,9448960,14099200,2234368,16722432,14354176,8456192
1371618497.19,0,81,57,0,4922624,135168,138752,15982080,5121536,7679232,3410176,15075072
1371618498.18,0,69,74,0,9885697,4344064,813312,3563008,1978368,15148288,14287872,2425856
1371618499.18,0,66,81,0,9834496,11537408,14162944,12849920,11344384,14427392,12454144,4260608
1371618500.18,0,57,70,0,10521858,4318208,8858112,14568448,4929024,15869952,10488576,6949120
1371618501.17,0,64,60,0,7604736,11673344,2704384,3367680,10170368,15811328,9046016,7800064
1371618502.17,0,67,56,0,8727808,2046464,11219200,12793600,9508096,15671552,10684416,15008768
1371618503.17,0,61,61,0,4274432,8265216,995072,15338752,1707264,6231808,6882560,2295040
1371618504.16,0,66,75,0,2361600,10623232,136192,9710848,10423808,4855552,11340288,1901568
1371618505.16,0,81,54,0,6754048,14682112,15671296,14615808,9832704,12554240,7277824,14092032
1371618506.16,0,80,54,0,13118464,12658432,15213568,4862976,3348736,2826496,6883328,9373184
1371618507.15,0,75,51,0,16324864,10833408,7282944,4273664,4656640,14686720,6620928,16189696
1371618508.14,0,57,61,0,13434114,2918400,12989441,15419136,12127744,10294528,15337728,12323584
1371618509.14,0,29,88,0,1033217,16190720,6629120,10225920,12583936,10749184,2753280,5047552
1371618510.13,0,27,100,0,8269568,5505280,3677184,6383104,3083008,465664,2098176,9897216
1371618511.13,0,26,100,0,1248768,9571072,5640192,9779200,986624,15927552,7341312,4327168
1371618512.14,0,37,100,0,2239232,14426880,2648320,7032064,8328960,9116672,11406080,13960448
1371618513.12,0,40,97,0,8281858,1730560,12797696,12918016,11085824,7085056,6292480,7931392
1371618514.12,0,41,91,0,13833728,987648,8147200,14044672,8129536,12987136,133376,15337728
1371618515.12,0,50,70,0,6108672,14031616,14486272,11669760,13831936,201984,14158592,3998464
1371618516.11,0,56,66,0,5705728,2229760,15868160,8202496,12785152,2890240,6294784,10814720
1371618517.11,0,60,69,0,14419714,7085312,8015360,1120256,1456128,6888960,9570560,15729664
1371618518.1,0,69,51,0,2258944,9771520,16260096,14164736,4069888,3038208,14287872,12124928
1371618519.1,0,61,61,0,7290371,13711361,6855169,12927744,9858048,3951104,9771264,13633536
1371618520.1,0,50,69,0,4998144,3872000,15412992,3887872,14946304,10357760,9897216,6358528
1371618521.09,0,54,54,0,7474176,3748096,7667968,15144192,16518144,9248256,2033152,13959680
1371618522.08,0,41,77,0,3546880,16717312,203776,580864,4198144,5845760,10423040,9372928
1371618523.09,0,38,69,0,15126274,5596929,3954176,13865216,9445888,9117696,11472896,7931648
1371618524.08,0,53,44,0,11809280,4536320,7866368,1189632,2758400,6503424,7407360,11798016
1371618525.08,0,48,50,0,4548096,10680320,9970688,16604928,9384192,868352,11668736,5964544
1371618526.07,0,43,30,0,14823943,8587777,4410624,3389696,11698944,2963200,6362624,15140608
1371618527.06,0,44,34,0,9525248,6850304,78592,7950592,2768128,6558976,16452352,3146496
1371618528.06,0,26,63,0,2434048,12852992,15685888,12432128,16519424,15011328,5180416,5899776
1371618529.07,0,27,69,0,2437888,10628352,5971456,7153152,1904640,14295552,7996672,8848128
1371618530.05,0,30,77,0,6479872,12722432,15083008,3281408,2493440,7867392,6947328,11010560
1371618531.05,0,35,84,0,6692608,6308352,5185536,4548608,7213824,7017472,8850688,12781568
1371618532.05,0,41,51,0,8331264,99328,1902592,12198144,13177088,136448,12521472,5572864
1371618533.04,0,41,53,0,855808,13044480,9311232,10427648,15342592,15274496,13175552,8193536
1371618534.04,0,51,50,0,15605248,10883584,4587776,1654272,9246976,1060096,2048,13436672
1371618535.04,0,60,48,0,9180672,8397056,11280128,1002496,5311744,4206848,5443072,11011328
1371618536.03,0,54,61,0,3537920,86785,2887937,8673792,15411200,13444864,11865344,3213312
1371618537.03,0,61,63,0,4657408,12458240,990720,108288,340736,2200320,6948864,3998976
1371618538.02,0,64,63,0,4589824,13971200,7406080,12817152,15015680,15898880,6820096,1967104
1371618539.02,0,60,60,0,4657920,1523200,8527872,3030272,5573888,10558464,8131328,8783616
1371618540.02,0,90,43,0,1709312,6095872,2097920,5902592,2365952,14829312,8325376,6554368
1371618541.01,0,90,38,0,12258816,14754304,2961408,6447616,12197888,9149696,4265472,9372672
1371618542.01,0,88,40,0,15279872,2233856,7285760,2693888,14751488,5583872,5310976,197632
1371618543.01,0,87,44,0,7083520,2831872,14962688,6178048,14490624,5381376,15144192,8718592
1371618543.99,0,61,63,0,3498241,8678400,13778944,16339200,13704960,10689280,10422272,1640192
1371618544.99,0,47,74,0,13182720,3157760,11674880,15878912,16715264,10031104,15666432,14156800
1371618545.99,0,43,75,0,11668992,10621952,13318912,14158336,1449472,11608576,12977152,11207680
1371618546.98,0,51,70,0,14878720,8916992,1710336,2631424,3478272,73984,3016192,7144448
1371618547.98,0,61,56,0,15536384,12919296,14812416,12259328,12653056,14490368,8586752,262656
1371618548.98,0,74,51,0,6689280,14289408,11341824,1054720,7670784,10098432,10946304,15073792
1371618549.97,0,74,48,0,6425088,5119232,1182208,15281408,8064000,15016448,9573376,12387584
1371618550.97,0,75,38,0,14097152,2759168,1312768,10296320,15866624,4268544,67072,1180672
1371618551.98,0,67,53,0,12458496,11935232,341248,2697728,6103296,14358528,8717824,2754304
1371618552.96,0,64,48,0,5180160,12656896,12323584,5580032,6757120,10949888,14355456,15402240
1371618553.96,0,64,50,0,2756096,5970432,7742464,2824448,2364928,9117696,2100736,12387328
1371618554.96,0,60,48,0,9201152,10690816,6365696,9438720,6438400,8656640,2232832,16647424
1371618555.95,0,63,48,0,6758144,3278336,333824,14556416,10950400,15865088,10618368,13436416
1371618556.94,0,66,53,0,2496768,3747840,15742464,3096576,15212288,538880,12848384,67584
1371618557.93,0,63,54,0,4459520,15605504,15538688,3096832,2104832,7545600,9570048,14812160
1371618558.93,0,56,74,0,7151104,13637888,14618624,806912,16388352,5836800,13109504,2032896
1371618559.94,0,60,67,0,10685440,13635584,9123584,10030336,12132352,16199168,16712960,15076096
1371618560.92,0,57,63,0,9510144,15279360,15472128,14097152,5775104,5445120,1837312,460800
1371618561.92,0,64,60,0,14683648,1181952,394752,1913856,16125952,12857344,11666688,12323072
1371618562.92,0,77,48,0,6231296,10948864,15605760,3611392,5451520,8662784,592384,7144192
1371618563.91,0,70,41,0,12787200,14631168,14487552,5380864,8460288,11541504,15926272,14091008
1371618564.91,0,69,51,0,10624768,7147520,11087616,14297600,2235904,1446912,68352,9242624
1371618565.91,0,63,50,0,12796672,13187840,3873536,2308352,8392960,4468480,14288384,10289664
1371618566.9,0,57,60,0,3021568,2826240,16403200,3290368,15732992,6764032,11340032,5571840
