timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371625112.6,0,0,0,0,9890050,13220352,10039808,2764800,4265472,1385984,13180416,11012608
1371625114.17,0,0,0,0,14908161,3744768,8140800,15537408,8653312,7080448,7932928,2621952
1371625115.17,0,0,0,0,270848,6164736,10559232,10167296,10294016,8998656,14550784,7930880
1371625116.15,0,40,30,0,6410752,9952512,12016128,8459264,3674624,15613952,7670016,16059392
1371625117.15,0,29,13,0,13439498,14724865,10560512,1389312,6844416,927744,337664,9508096
1371625118.16,0,14,30,0,206849,3323136,2251521,13785856,993280,14030848,8392192,6100480
1371625119.14,0,1,54,0,8954368,12819968,11315712,14191105,6104832,7874048,659200,11995136
1371625120.14,0,1,78,0,10877446,16603648,14190592,7179008,6964992,9712128,11666944,9505536
1371625121.14,0,1,100,0,14586624,8931840,16652288,5800449,9246976,7089664,4724224,9243648
1371625122.13,0,1,100,0,5717248,2826496,6221568,7172353,14699776,15998976,8849920,6949376
1371625123.13,0,7,100,0,15802624,14952704,9097217,2142464,13635840,8861952,7868416,11341312
1371625124.13,0,3,100,0,11934208,6825216,2755840,2564097,7606528,12983808,4130304,8980992
1371625125.12,0,14,97,0,3939328,10564352,8848384,10038016,4204544,13967360,15273472,9899264
1371625126.12,0,34,83,0,1776896,7936256,16062464,12037376,5315072,6706944,6949376,15664128
1371625127.12,0,51,57,0,11669248,14624000,6627584,2441472,8134656,3693312,9374208,656896
1371625128.1,0,57,43,0,284160,13397760,10955264,169472,6625792,14761216,3672832,2166272
1371625129.1,0,56,57,0,9376256,12914176,2799616,1454336,7361280,14893056,12193536,722688
1371625130.11,0,44,57,0,8194560,15223040,10048000,159488,16262656,15145728,7670016,9306880
1371625131.09,0,24,80,0,3287552,14369024,11739648,15387649,7016704,6958848,1314560,11011328
1371625132.1,0,17,90,0,10889984,7092736,13314304,12529409,14162688,13902336,202496,791808
1371625133.08,0,1,100,0,8664064,2109440,9669632,9851137,10367488,2036736,1314048,5179392
1371625134.08,0,4,100,0,10491648,16132096,6991104,10660352,15411712,5195520,8983808,15729920
1371625135.08,0,8,100,0,2296576,2499072,9315840,7559169,14558464,536832,16386304,12847360
1371625136.07,0,3,100,0,6892544,2100736,9396736,6304514,9308928,14032896,15863808,15599104
1371625137.07,0,21,96,0,14947332,1530112,8273408,8126721,592896,6056704,15603456,4918528
1371625138.07,0,23,87,0,15668992,12074240,15308032,1321472,10296320,2438400,15992064,6554368
1371625139.06,0,27,74,0,5387264,8339456,15552000,8012544,330496,6171648,12262912,1314048
1371625140.06,0,40,54,0,14041856,8729088,3739392,8960256,2302720,10168576,8457728,132352
1371625141.06,0,41,51,0,12260352,3162112,732160,5669632,10358272,10573056,5637376,4985088
1371625142.05,0,37,44,0,15218183,15811585,15796480,14221056,7214336,13323520,4197120,11732224
1371625143.04,0,41,48,0,3607808,14687232,209664,13967617,16719360,3180288,4395776,1443072
1371625144.05,0,34,60,0,6493952,2960128,2719232,1309441,660480,8269568,10094336,13435648
1371625145.04,0,26,74,0,9780224,3674624,12870656,3190785,3087872,10638336,15600896,12389888
1371625146.04,0,21,77,0,16126208,11353600,5579264,2714624,6708992,5770752,15273216,7669248
1371625147.04,0,27,66,0,11869952,8069888,10818048,12340992,11536384,15101952,6952960,3343872
1371625148.03,0,51,48,0,12914688,15405568,12718336,10459392,797696,11505408,13306112,10355968
1371625149.03,0,48,48,0,14884352,1787392,13572608,8520962,12324864,6110208,10096384,8393984
1371625150.03,0,66,47,0,11929088,9377536,603392,5910528,13114880,6965248,9377792,13895936
