timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371618741.09,0,0,0,0,4814336,7591936,4592384,5840384,10819072,132352,9568512,3801344
1371618742.66,0,0,0,0,605952,14379776,8917760,9507072,15404800,10881536,5243904,2491648
1371618743.65,0,0,0,0,2827008,14157568,8327424,8391680,3410688,10554112,12911872,7275264
1371618744.64,0,38,30,0,9162757,10688257,14880256,267520,6490368,15863296,9372928,1312512
1371618745.64,0,44,34,0,3968775,9268992,8660224,1380608,12527872,11343616,1459712,12866816
1371618746.64,0,48,44,0,2853120,5726720,8875520,9706240,4337152,13242624,16122880,8391424
1371618747.63,0,57,51,0,15273733,13041152,12490496,13182976,16205568,219136,15087104,732416
1371618748.63,0,54,81,0,7296512,16260608,16484611,6079488,4599296,7678208,14355456,15992832
1371618749.63,0,50,93,0,5328128,18432,2966528,3131392,10885888,9443072,11278592,13308160
1371618750.62,0,51,100,0,8333056,14561024,6193922,5926400,4334336,3623424,919808,15732224
1371618751.62,0,41,100,0,8459776,3831808,4669440,321536,5796352,5903872,3869696,13634560
1371618752.62,0,48,97,0,5444352,4987136,14093314,9605120,10884864,5388032,656896,14746880
1371618753.61,0,40,100,0,20992,13714432,1153793,1888256,9526528,9638144,6623744,12651264
1371618754.61,0,47,93,0,7085568,16664320,16312832,1014784,6629888,5133312,11732992,14945024
1371618755.61,0,53,97,0,9964800,8864512,7518208,4650752,213248,8865024,986112,12323584
1371618756.59,0,60,91,0,4208640,4137984,8721921,1131008,15673344,9060608,11340288,13501184
1371618757.6,0,74,83,0,12316673,535808,4399104,13447424,6489344,15078400,14222080,590336
1371618758.6,0,66,88,0,11361792,6704896,10088704,3571201,11674112,4403456,9242880,9241856
1371618759.59,0,81,77,0,9577728,11343872,16717568,2367232,9440000,12471808,4327680,4721408
1371618760.58,0,83,75,0,1975296,6167808,8865792,8702720,3678976,7556352,14880000,10290688
1371618761.57,0,75,83,0,11209472,6913024,16078592,1961217,4723712,2041088,13700096,3542016
1371618762.57,0,83,75,0,5379584,6570496,9472000,10064128,219904,6772480,15731200,12586496
