timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371625450.54,0,0,0,0,6601488,16190721,8538625,7344384,2967296,1651200,10816256,9047552
1371625452.1,0,0,0,0,2969344,11474176,7406848,8733440,12916480,4210432,8194816,6096384
1371625453.1,0,0,0,0,10168320,6251008,4924416,10429696,3869696,11087360,6293504,12190976
1371625454.09,0,37,30,0,4629764,14047488,4787712,6492928,1446656,4985088,10093568,3736064
1371625455.09,0,43,47,0,2100736,4396544,5901568,144640,2103808,13639936,723200,6096640
1371625456.09,0,40,53,0,5727493,11342849,8157952,9534976,11823616,2178816,8000256,4725248
1371625457.08,0,48,48,0,11698944,2715136,4931584,14748672,13117184,13848576,6163456,3540480
1371625458.08,0,64,54,0,3504640,3363840,13118464,7417088,3022848,9663744,13241856,10095360
1371625459.08,0,60,44,0,11806208,2510592,15928064,14234112,10488576,4005632,5839872,8456448
1371625460.06,0,74,56,0,7016448,1643264,15744256,10687232,5115904,4532480,9579520,7145216
1371625461.06,0,60,60,0,9170944,5466112,5835776,6301696,1315328,463360,13107968,13238528
1371625462.07,0,40,69,0,1658375,3970816,10564608,15810560,333312,9444096,4458240,8454912
1371625463.05,0,38,67,0,13007361,9253888,7804416,2689792,11733760,8261376,7799296,5308928
1371625464.06,0,37,29,0,2919168,669953,16192256,1185280,13378816,11433984,6108928,6886400
1371625465.06,0,34,29,0,378626,16244994,1932800,14969600,14884608,10836224,1062144,4071936
1371625466.04,0,30,30,0,14244357,14305792,13771008,5116416,10618368,15796736,6161920,15598080
1371625467.04,0,30,53,0,9247488,15469056,13376768,6504192,14617344,12522496,6954752,5178368
1371625468.04,0,27,83,0,15600384,12924416,16062464,8864512,6557440,1058816,4196864,14418688
1371625469.03,0,60,84,0,5775104,2100736,10031872,9061632,10099712,7124736,3942400,2304
1371625470.03,0,54,81,0,12763398,7601152,6692352,14125568,10691584,268544,6161152,13567488
1371625471.02,0,48,63,0,14473730,14364929,946944,11944704,9638400,14036992,1053184,656384
1371625472.02,0,41,48,0,13323008,10008576,13907456,137728,933632,6497024,16329216,5178112
1371625473.02,0,17,50,0,13142016,245760,668160,3758848,10889984,9846528,6822656,3475968
1371625474.01,0,38,38,0,6476304,11460096,16651520,16467200,149760,6129408,2238464,8128768
1371625475.01,0,47,26,0,8272139,199938,210944,12543488,14965504,6980096,12395264,2886400
1371625476.01,0,48,38,0,9064706,2056704,933376,14637056,5390336,12133376,9571072,2163712
1371625477.0,0,57,30,0,13285377,9060096,197376,8137472,2571520,16659968,4397312,10947584
1371625478.0,0,54,48,0,15214592,15749120,15739904,2648064,4073984,3034368,11732736,2885376
1371625479.0,0,63,57,0,6371584,6562048,2297600,595456,1116416,15344896,132608,15864064
1371625479.98,0,48,54,0,7287302,8777985,13664768,16577024,2659072,8590592,8457728,9439232
1371625480.99,0,38,53,0,9169920,13127424,14422272,10225664,8720384,4067328,12583424,15597824
1371625481.99,0,47,47,0,3422464,10683648,10620416,14882304,4204032,12066560,10489344,15467520
1371625482.97,0,27,37,0,4217857,555520,3609600,2098688,11732992,14551552,196864,15073536
1371625483.97,0,48,20,0,8014592,16756992,4002560,15276800,3681792,142336,6625792,13241088
1371625484.97,0,44,38,0,10497025,15355904,13190912,13180672,8783104,70656,14549760,11534592
1371625485.96,0,34,48,0,7276288,9835264,8273152,4790528,16392448,14489856,15009536,12190720
1371625486.96,0,29,54,0,14944001,3287809,9987584,5768448,11804416,14553600,13110784,5705216
1371625487.96,0,23,63,0,11894272,14917376,8133376,9575936,10423296,1184768,1573632,12190464
1371625488.95,0,11,51,0,11415303,709634,13863680,7248640,5645312,6694656,2886144,15863552
1371625489.95,0,21,40,0,11545344,3545856,7930368,11156224,7485440,16594432,8914688,133888
1371625490.94,0,26,57,0,12640257,3261440,57088,6344960,10442752,16003328,8136192,4130304
1371625491.94,0,30,84,0,8654592,11089408,13046528,9554944,11470848,13774848,268288,11011072
1371625492.94,0,47,88,0,4216591,6385408,10755840,3622400,3289344,9576448,4722176,4196096
1371625493.93,0,47,84,0,7414784,4667136,922368,11083264,13702400,1784832,12715520,11470848
1371625494.93,0,70,63,0,7933696,16455680,3414528,15796224,665088,12209664,11078912,4588288
1371625495.93,0,83,47,0,14552576,6366208,14945024,5255680,15533568,11417344,8916224,8980224
1371625496.92,0,88,53,0,12179968,11672064,6096896,12655872,11928576,12718848,14221568,721664
1371625497.92,0,78,63,0,6945537,8268288,15018752,15537664,7017472,8198400,4916224,9502976
1371625498.92,0,56,81,0,5197828,16185600,13554688,3895808,14100736,15223552,1380608,267264
1371625499.9,0,47,66,0,11277574,8259585,14813184,16207616,16467968,14302464,7672576,2033152
1371625500.9,0,40,47,0,8792322,9627137,14626816,7355648,11879680,6641920,2106112,15206912
1371625501.9,0,44,41,0,14163968,13451008,12978688,6964736,9378304,10434048,2429184,7080960
1371625502.89,0,35,26,0,7713025,5927680,729600,4785664,16647936,13698560,9437440,8061440
1371625503.89,0,17,37,0,1323779,14919937,1590784,3189248,6764544,7148800,10619136,6948864
1371625504.89,0,21,54,0,7488000,9904640,3215616,14031360,4987392,11800832,3933952,3672576
1371625505.88,0,11,61,0,6363648,9516288,5899008,4312320,7963904,12656128,68096,3998464
1371625506.88,0,16,78,0,14240512,1403136,7155200,2913280,6038272,792320,12330240,15337216
1371625507.88,0,37,78,0,5403905,2106624,2167296,70912,4920064,5968128,5179392,4391680
1371625508.86,0,21,83,0,10015242,9544961,13431552,9751808,7293184,10168576,4067072,16713728
1371625509.87,0,35,80,0,16582660,6433536,6041856,13643776,8393472,1588224,7214592,16582656
1371625510.86,0,47,75,0,5335808,3680000,15277312,2365952,16452864,13048576,15991552,6554880
1371625511.86,0,38,78,0,15472899,4360192,217344,9382912,13382400,7346432,788480,788224
1371625512.86,0,56,74,0,11953920,1323008,6829056,3677184,10426112,12988672,2428160,4261632
1371625513.84,0,53,81,0,200704,7547904,2690816,6519808,3215104,1192960,1248768,11863808
1371625514.84,0,53,75,0,12587264,6042112,2754560,16592896,13382912,6628096,10422784,16517376
1371625515.84,0,57,83,0,15814912,13846272,7407360,2929920,14886912,6170112,8194560,2559488
1371625516.83,0,41,93,0,10556160,12211712,3617024,7576064,7806720,15930624,526336,11077120
1371625517.84,0,40,96,0,16450048,10818560,12393216,1989632,12783872,8725248,15795968,5377792
1371625518.83,0,30,100,0,14879232,7213568,804608,2237184,12783872,13373440,853248,655872
1371625519.82,0,30,100,0,8041736,1193216,9307392,8069888,11542272,6097920,657408,13239296
1371625520.82,0,40,87,0,395778,15497984,5638400,13913856,2965248,8199936,12653568,1377536
1371625521.82,0,37,87,0,11079168,472832,12986624,8150016,14878720,9642496,4720896,15205376
1371625522.81,0,47,80,0,10625539,9515264,10049024,8065537,7096320,4819968,12849408,3344640
1371625523.81,0,35,81,0,15667969,8168448,865792,15147520,7869440,8194816,16122112,3145984
1371625524.81,0,37,94,0,16194304,16669184,2631424,1028352,9838336,15217920,1116416,6555136
1371625525.8,0,57,69,0,12261376,8324864,5572096,5379072,71168,8804096,16390144,5440768
1371625526.8,0,50,56,0,3103745,7350016,2362368,6230272,3214336,13175296,15401984,13369600
1371625527.8,0,61,70,0,6887680,14296320,2246144,6822400,16254720,8132352,1903872,7736576
1371625528.78,0,53,61,0,9245195,4719617,677888,5136128,11349504,8004864,10028544,14289920
